Year Mon Day gs1 gs10
1978 7 1 8.39 8.64
1978 8 1 8.31 8.41
1978 9 1 8.64 8.42
1978 10 1 9.14 8.64
1978 11 1 10.01 8.81
1978 12 1 10.3 9.01
1979 1 1 10.41 9.1
1979 2 1 10.24 9.1
1979 3 1 10.25 9.12
1979 4 1 10.12 9.18
1979 5 1 10.12 9.25
1979 6 1 9.57 8.91
1979 7 1 9.64 8.95
1979 8 1 9.98 9.03
1979 9 1 10.84 9.33
1979 10 1 12.44 10.3
1979 11 1 12.39 10.65
1979 12 1 11.98 10.39
1980 1 1 12.06 10.8
1980 2 1 13.92 12.41
1980 3 1 15.82 12.75
1980 4 1 13.3 11.47
1980 5 1 9.39 10.18
1980 6 1 8.16 9.78
1980 7 1 8.65 10.25
1980 8 1 10.24 11.1
1980 9 1 11.52 11.51
1980 10 1 12.49 11.75
1980 11 1 14.15 12.68
1980 12 1 14.88 12.84
1981 1 1 14.08 12.57
1981 2 1 14.57 13.19
1981 3 1 13.71 13.12
1981 4 1 14.32 13.68
1981 5 1 16.2 14.1
1981 6 1 14.86 13.47
1981 7 1 15.72 14.28
1981 8 1 16.72 14.94
1981 9 1 16.52 15.32
1981 10 1 15.38 15.15
1981 11 1 12.41 13.39
1981 12 1 12.85 13.72
1982 1 1 14.32 14.59
1982 2 1 14.73 14.43
1982 3 1 13.95 13.86
1982 4 1 13.98 13.87
1982 5 1 13.34 13.62
1982 6 1 14.07 14.3
1982 7 1 13.24 13.95
1982 8 1 11.43 13.06
1982 9 1 10.85 12.34
1982 10 1 9.32 10.91
1982 11 1 9.16 10.55
1982 12 1 8.91 10.54
1983 1 1 8.62 10.46
1983 2 1 8.92 10.72
1983 3 1 9.04 10.51
1983 4 1 8.98 10.4
1983 5 1 8.9 10.38
1983 6 1 9.66 10.85
1983 7 1 10.2 11.38
1983 8 1 10.53 11.85
1983 9 1 10.16 11.65
1983 10 1 9.81 11.54
1983 11 1 9.94 11.69
1983 12 1 10.11 11.83
1984 1 1 9.9 11.67
1984 2 1 10.04 11.84
1984 3 1 10.59 12.32
1984 4 1 10.9 12.63
1984 5 1 11.66 13.41
1984 6 1 12.08 13.56
1984 7 1 12.03 13.36
1984 8 1 11.82 12.72
1984 9 1 11.58 12.52
1984 10 1 10.9 12.16
1984 11 1 9.82 11.57
1984 12 1 9.33 11.5
1985 1 1 9.02 11.38
1985 2 1 9.29 11.51
1985 3 1 9.86 11.86
1985 4 1 9.14 11.43
1985 5 1 8.46 10.85
1985 6 1 7.8 10.16
1985 7 1 7.86 10.31
1985 8 1 8.05 10.33
1985 9 1 8.07 10.37
1985 10 1 8.01 10.24
1985 11 1 7.88 9.78
1985 12 1 7.67 9.26
1986 1 1 7.73 9.19
1986 2 1 7.61 8.7
1986 3 1 7.03 7.78
1986 4 1 6.44 7.3
1986 5 1 6.65 7.71
1986 6 1 6.73 7.8
1986 7 1 6.27 7.3
1986 8 1 5.93 7.17
1986 9 1 5.77 7.45
1986 10 1 5.72 7.43
1986 11 1 5.8 7.25
1986 12 1 5.87 7.11
1987 1 1 5.78 7.08
1987 2 1 5.96 7.25
1987 3 1 6.03 7.25
1987 4 1 6.5 8.02
1987 5 1 7 8.61
1987 6 1 6.8 8.4
1987 7 1 6.68 8.45
1987 8 1 7.03 8.76
1987 9 1 7.67 9.42
1987 10 1 7.59 9.52
1987 11 1 6.96 8.86
1987 12 1 7.17 8.99
1988 1 1 6.99 8.67
1988 2 1 6.64 8.21
1988 3 1 6.71 8.37
1988 4 1 7.01 8.72
1988 5 1 7.4 9.09
1988 6 1 7.49 8.92
1988 7 1 7.75 9.06
1988 8 1 8.17 9.26
1988 9 1 8.09 8.98
1988 10 1 8.11 8.8
1988 11 1 8.48 8.96
1988 12 1 8.99 9.11
1989 1 1 9.05 9.09
1989 2 1 9.25 9.17
1989 3 1 9.57 9.36
1989 4 1 9.36 9.18
1989 5 1 8.98 8.86
1989 6 1 8.44 8.28
1989 7 1 7.89 8.02
1989 8 1 8.18 8.11
1989 9 1 8.22 8.19
1989 10 1 7.99 8.01
1989 11 1 7.77 7.87
1989 12 1 7.72 7.84
1990 1 1 7.92 8.21
1990 2 1 8.11 8.47
1990 3 1 8.35 8.59
1990 4 1 8.4 8.79
1990 5 1 8.32 8.76
1990 6 1 8.1 8.48
1990 7 1 7.94 8.47
1990 8 1 7.78 8.75
1990 9 1 7.76 8.89
1990 10 1 7.55 8.72
1990 11 1 7.31 8.39
1990 12 1 7.05 8.08
1991 1 1 6.64 8.09
1991 2 1 6.27 7.85
1991 3 1 6.4 8.11
1991 4 1 6.24 8.04
1991 5 1 6.13 8.07
1991 6 1 6.36 8.28
1991 7 1 6.31 8.27
1991 8 1 5.78 7.9
1991 9 1 5.57 7.65
1991 10 1 5.33 7.53
1991 11 1 4.89 7.42
1991 12 1 4.38 7.09
1992 1 1 4.15 7.03
1992 2 1 4.29 7.34
1992 3 1 4.63 7.54
1992 4 1 4.3 7.48
1992 5 1 4.19 7.39
1992 6 1 4.17 7.26
1992 7 1 3.6 6.84
1992 8 1 3.47 6.59
1992 9 1 3.18 6.42
1992 10 1 3.3 6.59
1992 11 1 3.68 6.87
1992 12 1 3.71 6.77
1993 1 1 3.5 6.6
1993 2 1 3.39 6.26
1993 3 1 3.33 5.98
1993 4 1 3.24 5.97
1993 5 1 3.36 6.04
1993 6 1 3.54 5.96
1993 7 1 3.47 5.81
1993 8 1 3.44 5.68
1993 9 1 3.36 5.36
1993 10 1 3.39 5.33
1993 11 1 3.58 5.72
1993 12 1 3.61 5.77
1994 1 1 3.54 5.75
1994 2 1 3.87 5.97
1994 3 1 4.32 6.48
1994 4 1 4.82 6.97
1994 5 1 5.31 7.18
1994 6 1 5.27 7.1
1994 7 1 5.48 7.3
1994 8 1 5.56 7.24
1994 9 1 5.76 7.46
1994 10 1 6.11 7.74
1994 11 1 6.54 7.96
1994 12 1 7.14 7.81
1995 1 1 7.05 7.78
1995 2 1 6.7 7.47
1995 3 1 6.43 7.2
1995 4 1 6.27 7.06
1995 5 1 6 6.63
1995 6 1 5.64 6.17
1995 7 1 5.59 6.28
1995 8 1 5.75 6.49
1995 9 1 5.62 6.2
1995 10 1 5.59 6.04
1995 11 1 5.43 5.93
1995 12 1 5.31 5.71
1996 1 1 5.09 5.65
1996 2 1 4.94 5.81
1996 3 1 5.34 6.27
1996 4 1 5.54 6.51
1996 5 1 5.64 6.74
1996 6 1 5.81 6.91
1996 7 1 5.85 6.87
1996 8 1 5.67 6.64
1996 9 1 5.83 6.83
1996 10 1 5.55 6.53
1996 11 1 5.42 6.2
1996 12 1 5.47 6.3
1997 1 1 5.61 6.58
1997 2 1 5.53 6.42
1997 3 1 5.8 6.69
1997 4 1 5.99 6.89
1997 5 1 5.87 6.71
1997 6 1 5.69 6.49
1997 7 1 5.54 6.22
1997 8 1 5.56 6.3
1997 9 1 5.52 6.21
1997 10 1 5.46 6.03
1997 11 1 5.46 5.88
1997 12 1 5.53 5.81
1998 1 1 5.24 5.54
1998 2 1 5.31 5.57
1998 3 1 5.39 5.65
1998 4 1 5.38 5.64
1998 5 1 5.44 5.65
1998 6 1 5.41 5.5
1998 7 1 5.36 5.46
1998 8 1 5.21 5.34
1998 9 1 4.71 4.81
1998 10 1 4.12 4.53
1998 11 1 4.53 4.83
1998 12 1 4.52 4.65
1999 1 1 4.51 4.72
1999 2 1 4.7 5
1999 3 1 4.78 5.23
1999 4 1 4.69 5.18
1999 5 1 4.85 5.54
1999 6 1 5.1 5.9
1999 7 1 5.03 5.79
1999 8 1 5.2 5.94
1999 9 1 5.25 5.92
1999 10 1 5.43 6.11
1999 11 1 5.55 6.03
1999 12 1 5.84 6.28
2000 1 1 6.12 6.66
2000 2 1 6.22 6.52
2000 3 1 6.22 6.26
2000 4 1 6.15 5.99
2000 5 1 6.33 6.44
2000 6 1 6.17 6.1
2000 7 1 6.08 6.05
2000 8 1 6.18 5.83
2000 9 1 6.13 5.8
2000 10 1 6.01 5.74
2000 11 1 6.09 5.72
2000 12 1 5.6 5.24
2001 1 1 4.81 5.16
2001 2 1 4.68 5.1
2001 3 1 4.3 4.89
2001 4 1 3.98 5.14
2001 5 1 3.78 5.39
2001 6 1 3.58 5.28
2001 7 1 3.62 5.24
2001 8 1 3.47 4.97
2001 9 1 2.82 4.73
2001 10 1 2.33 4.57
2001 11 1 2.18 4.65
2001 12 1 2.22 5.09
2002 1 1 2.16 5.04
2002 2 1 2.23 4.91
2002 3 1 2.57 5.28
2002 4 1 2.48 5.21
2002 5 1 2.35 5.16
2002 6 1 2.2 4.93
2002 7 1 1.96 4.65
2002 8 1 1.76 4.26
2002 9 1 1.72 3.87
2002 10 1 1.65 3.94
2002 11 1 1.49 4.05
2002 12 1 1.45 4.03
2003 1 1 1.36 4.05
2003 2 1 1.3 3.9
2003 3 1 1.24 3.81
2003 4 1 1.27 3.96
2003 5 1 1.18 3.57
2003 6 1 1.01 3.33
2003 7 1 1.12 3.98
2003 8 1 1.31 4.45
2003 9 1 1.24 4.27
2003 10 1 1.25 4.29
2003 11 1 1.34 4.3
2003 12 1 1.31 4.27
2004 1 1 1.24 4.15
2004 2 1 1.24 4.08
2004 3 1 1.19 3.83
2004 4 1 1.43 4.35
2004 5 1 1.78 4.72
2004 6 1 2.12 4.73
2004 7 1 2.1 4.5
2004 8 1 2.02 4.28
2004 9 1 2.12 4.13
2004 10 1 2.23 4.1
2004 11 1 2.5 4.19
2004 12 1 2.67 4.23
2005 1 1 2.86 4.22
2005 2 1 3.03 4.17
2005 3 1 3.3 4.5
2005 4 1 3.32 4.34
2005 5 1 3.33 4.14
2005 6 1 3.36 4
2005 7 1 3.64 4.18
2005 8 1 3.87 4.26
2005 9 1 3.85 4.2
2005 10 1 4.18 4.46
2005 11 1 4.33 4.54
2005 12 1 4.35 4.47
2006 1 1 4.45 4.42
2006 2 1 4.68 4.57
2006 3 1 4.77 4.72
2006 4 1 4.9 4.99
2006 5 1 5 5.11
2006 6 1 5.16 5.11
2006 7 1 5.22 5.09
2006 8 1 5.08 4.88
2006 9 1 4.97 4.72
2006 10 1 5.01 4.73
2006 11 1 5.01 4.6
2006 12 1 4.94 4.56
2007 1 1 5.06 4.76
2007 2 1 5.05 4.72
2007 3 1 4.92 4.56
2007 4 1 4.93 4.69
2007 5 1 4.91 4.75
2007 6 1 4.96 5.1
2007 7 1 4.96 5
2007 8 1 4.47 4.67
2007 9 1 4.14 4.52
2007 10 1 4.1 4.53
2007 11 1 3.5 4.15
2007 12 1 3.26 4.1
2008 1 1 2.71 3.74
2008 2 1 2.05 3.74
2008 3 1 1.54 3.51
2008 4 1 1.74 3.68
2008 5 1 2.06 3.88
2008 6 1 2.42 4.1
2008 7 1 2.28 4.01
2008 8 1 2.18 3.89
2008 9 1 1.91 3.69
2008 10 1 1.42 3.81
2008 11 1 1.07 3.53
2008 12 1 0.49 2.42
2009 1 1 0.44 2.52
2009 2 1 0.62 2.87
2009 3 1 0.64 2.82
2009 4 1 0.55 2.93
2009 5 1 0.5 3.29
2009 6 1 0.51 3.72
2009 7 1 0.48 3.56
2009 8 1 0.46 3.59
2009 9 1 0.4 3.4
2009 10 1 0.37 3.39
