lnfuture lnspot    cost
6.08404  6.08541  -0.165010
6.08382  6.08536  -0.165010
6.08382  6.08539  -0.165010
6.08404  6.08555  -0.165010
6.08393  6.08555  -0.165010
6.08336  6.08539  -0.165010
6.08347  6.08534  -0.165010
6.08370  6.08543  -0.165010
6.08370  6.08546  -0.165010
6.08336  6.08532  -0.165010
6.08359  6.08532  -0.165010
6.08370  6.08516  -0.165010
6.08370  6.08511  -0.165010
6.08370  6.08511  -0.165010
6.08359  6.08507  -0.165010
6.08382  6.08507  -0.165010
6.08359  6.08498  -0.165010
6.08347  6.08496  -0.165010
6.08347  6.08482  -0.165010
6.08359  6.08498  -0.165010
6.08370  6.08516  -0.165010
6.08393  6.08530  -0.165010
6.08393  6.08521  -0.165010
6.08404  6.08541  -0.165010
6.08427  6.08564  -0.165010
6.08416  6.08566  -0.165010
6.08404  6.08575  -0.165010
6.08404  6.08568  -0.165010
6.08393  6.08557  -0.165010
6.08404  6.08568  -0.165010
6.08370  6.08566  -0.165010
6.08404  6.08546  -0.165010
6.08382  6.08548  -0.165010
6.08382  6.08564  -0.165010
6.08393  6.08559  -0.165010
6.08404  6.08548  -0.165010
6.08382  6.08566  -0.165010
6.08370  6.08575  -0.165010
6.08370  6.08580  -0.165010
6.08370  6.08559  -0.165010
6.08382  6.08552  -0.165010
6.08382  6.08539  -0.165010
6.08382  6.08552  -0.165010
6.08370  6.08550  -0.165010
6.08382  6.08548  -0.165010
6.08393  6.08566  -0.165010
6.08404  6.08559  -0.165010
6.08393  6.08548  -0.165010
6.08393  6.08562  -0.165010
6.08404  6.08557  -0.165010
6.08393  6.08536  -0.165010
6.08427  6.08552  -0.165010
6.08427  6.08550  -0.165010
6.08393  6.08541  -0.165010
6.08416  6.08555  -0.165010
6.08439  6.08564  -0.165010
6.08427  6.08548  -0.165010
6.08427  6.08555  -0.165010
6.08427  6.08543  -0.165010
6.08439  6.08552  -0.165010
6.08404  6.08543  -0.165010
6.08393  6.08546  -0.165010
6.08393  6.08555  -0.165010
6.08404  6.08555  -0.165010
6.08404  6.08555  -0.165010
6.08393  6.08539  -0.165010
6.08393  6.08564  -0.165010
6.08416  6.08550  -0.165010
6.08404  6.08543  -0.165010
6.08393  6.08543  -0.165010
6.08404  6.08539  -0.165010
6.08427  6.08536  -0.165010
6.08404  6.08521  -0.165010
6.08404  6.08552  -0.165010
6.08450  6.08557  -0.165010
6.08496  6.08559  -0.165010
6.08564  6.08559  -0.165010
6.08507  6.08564  -0.165010
6.08461  6.08552  -0.165010
6.08496  6.08568  -0.165010
6.08507  6.08573  -0.165010
6.08496  6.08571  -0.165010
6.08507  6.08580  -0.165010
6.08541  6.08589  -0.165010
6.08541  6.08591  -0.165010
6.08518  6.08596  -0.165010
6.08552  6.08596  -0.165010
6.08587  6.08616  -0.165010
6.08575  6.08625  -0.165010
6.08564  6.08630  -0.165010
6.08575  6.08628  -0.165010
6.08575  6.08659  -0.165010
6.08587  6.08657  -0.165010
6.08598  6.08666  -0.165010
6.08655  6.08666  -0.165010
6.08609  6.08657  -0.165010
6.08609  6.08668  -0.165010
6.08598  6.08662  -0.165010
6.08587  6.08652  -0.165010
6.08552  6.08657  -0.165010
6.08552  6.08655  -0.165010
6.08541  6.08648  -0.165010
6.08552  6.08652  -0.165010
6.08552  6.08657  -0.165010
6.08518  6.08657  -0.165010
6.08530  6.08664  -0.165010
6.08541  6.08659  -0.165010
6.08552  6.08659  -0.165010
6.08575  6.08671  -0.165010
6.08587  6.08671  -0.165010
6.08575  6.08668  -0.165010
6.08609  6.08677  -0.165010
6.08575  6.08675  -0.165010
6.08575  6.08671  -0.165010
6.08564  6.08673  -0.165010
6.08552  6.08659  -0.165010
6.08541  6.08673  -0.165010
6.08552  6.08657  -0.165010
6.08552  6.08659  -0.165010
6.08564  6.08650  -0.165010
6.08552  6.08648  -0.165010
6.08564  6.08650  -0.165010
6.08575  6.08657  -0.165010
6.08541  6.08646  -0.165010
6.08541  6.08666  -0.165010
6.08541  6.08662  -0.165010
6.08564  6.08666  -0.165010
6.08564  6.08659  -0.165010
6.08552  6.08664  -0.165010
6.08575  6.08659  -0.165010
6.08598  6.08659  -0.165010
6.08609  6.08671  -0.165010
6.08609  6.08664  -0.165010
6.08587  6.08662  -0.165010
6.08621  6.08677  -0.165010
6.08609  6.08677  -0.165010
6.08632  6.08687  -0.165010
6.08632  6.08696  -0.165010
6.08632  6.08700  -0.165010
6.08632  6.08703  -0.165010
6.08632  6.08707  -0.165010
6.08598  6.08703  -0.165010
6.08598  6.08682  -0.165010
6.08575  6.08684  -0.165010
6.08575  6.08684  -0.165010
6.08575  6.08680  -0.165010
6.08575  6.08687  -0.165010
6.08598  6.08684  -0.165010
6.08575  6.08671  -0.165010
6.08575  6.08673  -0.165010
6.08575  6.08664  -0.165010
6.08564  6.08666  -0.165010
6.08587  6.08673  -0.165010
6.08598  6.08677  -0.165010
6.08575  6.08687  -0.165010
6.08587  6.08687  -0.165010
6.08575  6.08691  -0.165010
6.08587  6.08691  -0.165010
6.08598  6.08689  -0.165010
6.08609  6.08698  -0.165010
6.08598  6.08696  -0.165010
6.08587  6.08687  -0.165010
6.08575  6.08693  -0.165010
6.08575  6.08684  -0.165010
6.08587  6.08687  -0.165010
6.08575  6.08687  -0.165010
6.08564  6.08689  -0.165010
6.08621  6.08698  -0.165010
6.08564  6.08693  -0.165010
6.08541  6.08675  -0.165010
6.08564  6.08671  -0.165010
6.08564  6.08682  -0.165010
6.08552  6.08687  -0.165010
6.08496  6.08677  -0.165010
6.08484  6.08666  -0.165010
6.08473  6.08659  -0.165010
6.08484  6.08662  -0.165010
6.08473  6.08666  -0.165010
6.08473  6.08648  -0.165010
6.08461  6.08630  -0.165010
6.08461  6.08611  -0.165010
6.08450  6.08611  -0.165010
6.08427  6.08614  -0.165010
6.08439  6.08616  -0.165010
6.08427  6.08616  -0.165010
6.08450  6.08614  -0.165010
6.08439  6.08614  -0.165010
6.08439  6.08607  -0.165010
6.08450  6.08614  -0.165010
6.08450  6.08630  -0.165010
6.08450  6.08623  -0.165010
6.08450  6.08628  -0.165010
6.08439  6.08623  -0.165010
6.08404  6.08614  -0.165010
6.08393  6.08600  -0.165010
6.08382  6.08580  -0.165010
6.08393  6.08580  -0.165010
6.08427  6.08600  -0.165010
6.08416  6.08600  -0.165010
6.08393  6.08582  -0.165010
6.08416  6.08584  -0.165010
6.08450  6.08589  -0.165010
6.08450  6.08589  -0.165010
6.08450  6.08591  -0.165010
6.08450  6.08593  -0.165010
6.08461  6.08596  -0.165010
6.08530  6.08614  -0.165010
6.08530  6.08621  -0.165010
6.08507  6.08623  -0.165010
6.08484  6.08632  -0.165010
6.08507  6.08639  -0.165010
6.08473  6.08605  -0.165010
6.08518  6.08623  -0.165010
6.08507  6.08632  -0.165010
6.08564  6.08632  -0.165010
6.08609  6.08664  -0.165010
6.08552  6.08632  -0.165010
6.08598  6.08657  -0.165010
6.08643  6.08662  -0.165010
6.08655  6.08668  -0.165010
6.08632  6.08677  -0.165010
6.08609  6.08671  -0.165010
6.08621  6.08703  -0.165010
6.08587  6.08700  -0.165010
6.08598  6.08705  -0.165010
6.08598  6.08709  -0.165010
6.08609  6.08712  -0.165010
6.08632  6.08709  -0.165010
6.08643  6.08707  -0.165010
6.08677  6.08714  -0.165010
6.08655  6.08721  -0.165010
6.08655  6.08732  -0.165010
6.08643  6.08734  -0.165010
6.08655  6.08746  -0.165010
6.08677  6.08752  -0.165010
6.08666  6.08771  -0.165010
6.08700  6.08780  -0.165010
6.08666  6.08764  -0.165010
6.08643  6.08762  -0.165010
6.08655  6.08762  -0.165010
6.08643  6.08796  -0.165010
6.08666  6.08780  -0.165010
6.08723  6.08802  -0.165010
6.08780  6.08793  -0.165010
6.08802  6.08793  -0.165010
6.08859  6.08818  -0.165010
6.08848  6.08848  -0.165010
6.08882  6.08871  -0.165010
6.08950  6.08886  -0.165010
6.09007  6.08925  -0.165010
6.08995  6.08959  -0.165010
6.08995  6.08970  -0.165010
6.08995  6.08991  -0.165010
6.09007  6.09004  -0.165010
6.08973  6.09018  -0.165010
6.08973  6.09029  -0.165010
6.08995  6.09036  -0.165010
6.08984  6.09029  -0.165010
6.08961  6.09025  -0.165010
6.08939  6.09018  -0.165010
6.08995  6.09047  -0.165010
6.08950  6.09034  -0.165010
6.09029  6.09038  -0.165010
6.08973  6.09029  -0.165010
6.09040  6.09036  -0.165010
6.09086  6.09036  -0.165010
6.09108  6.09052  -0.165010
6.09063  6.09090  -0.165010
6.09029  6.09106  -0.165010
6.09007  6.09099  -0.165010
6.09007  6.09093  -0.165010
6.09018  6.09081  -0.165010
6.09018  6.09086  -0.165010
6.09029  6.09077  -0.165010
6.09052  6.09095  -0.165010
6.09097  6.09102  -0.165010
6.09086  6.09086  -0.165010
6.09108  6.09102  -0.165010
6.09120  6.09117  -0.165010
6.09086  6.09129  -0.165010
6.09063  6.09147  -0.165010
6.09074  6.09163  -0.165010
6.09063  6.09167  -0.165010
6.09063  6.09169  -0.165010
6.09108  6.09174  -0.165010
6.09086  6.09178  -0.165010
6.09131  6.09190  -0.165010
6.09222  6.09203  -0.165010
6.09233  6.09231  -0.165010
6.09222  6.09244  -0.165010
6.09210  6.09255  -0.165010
6.09210  6.09258  -0.165010
6.09199  6.09244  -0.165010
6.09188  6.09249  -0.165010
6.09188  6.09237  -0.165010
6.09199  6.09242  -0.165010
6.09210  6.09233  -0.165010
6.09222  6.09233  -0.165010
6.09222  6.09224  -0.165010
6.09210  6.09231  -0.165010
6.09210  6.09242  -0.165010
6.09199  6.09233  -0.165010
6.09199  6.09237  -0.165010
6.09244  6.09321  -0.145880
6.09312  6.09339  -0.145880
6.09267  6.09325  -0.145880
6.09244  6.09319  -0.145880
6.09222  6.09325  -0.145880
6.09222  6.09305  -0.145880
6.09233  6.09316  -0.145880
6.09222  6.09298  -0.145880
6.09222  6.09294  -0.145880
6.09244  6.09312  -0.145880
6.09222  6.09307  -0.145880
6.09255  6.09310  -0.145880
6.09267  6.09319  -0.145880
6.09323  6.09319  -0.145880
6.09357  6.09346  -0.145880
6.09380  6.09359  -0.145880
6.09380  6.09391  -0.145880
6.09368  6.09416  -0.145880
6.09436  6.09418  -0.145880
6.09481  6.09429  -0.145880
6.09492  6.09438  -0.145880
6.09470  6.09452  -0.145880
6.09481  6.09456  -0.145880
6.09481  6.09477  -0.145880
6.09492  6.09474  -0.145880
6.09537  6.09486  -0.145880
6.09627  6.09495  -0.145880
6.09627  6.09517  -0.145880
6.09605  6.09540  -0.145880
6.09560  6.09571  -0.145880
6.09526  6.09571  -0.145880
6.09526  6.09587  -0.145880
6.09526  6.09614  -0.145880
6.09549  6.09614  -0.145880
6.09504  6.09610  -0.145880
6.09492  6.09619  -0.145880
6.09492  6.09603  -0.145880
6.09481  6.09614  -0.145880
6.09481  6.09616  -0.145880
6.09526  6.09627  -0.145880
6.09492  6.09634  -0.145880
6.09504  6.09614  -0.145880
6.09492  6.09610  -0.145880
6.09458  6.09612  -0.145880
6.09425  6.09591  -0.145880
6.09470  6.09569  -0.145880
6.09470  6.09558  -0.145880
6.09413  6.09558  -0.145880
6.09380  6.09551  -0.145880
6.09402  6.09535  -0.145880
6.09413  6.09513  -0.145880
6.09368  6.09490  -0.145880
6.09357  6.09486  -0.145880
6.09368  6.09465  -0.145880
6.09402  6.09472  -0.145880
6.09357  6.09458  -0.145880
6.09346  6.09443  -0.145880
6.09357  6.09443  -0.145880
6.09255  6.09452  -0.145880
6.09278  6.09436  -0.145880
6.09301  6.09420  -0.145880
6.09312  6.09411  -0.145880
6.09312  6.09409  -0.145880
6.09312  6.09395  -0.145880
6.09323  6.09393  -0.145880
6.09334  6.09409  -0.145880
6.09334  6.09395  -0.145880
6.09301  6.09400  -0.145880
6.09289  6.09389  -0.145880
6.09312  6.09386  -0.145880
6.09267  6.09375  -0.145880
6.09278  6.09377  -0.145880
6.09244  6.09350  -0.145880
6.09255  6.09350  -0.145880
6.09255  6.09330  -0.145880
6.09244  6.09328  -0.145880
6.09289  6.09321  -0.145880
6.09289  6.09319  -0.145880
6.09289  6.09323  -0.145880
6.09255  6.09298  -0.145880
6.09244  6.09303  -0.145880
6.09278  6.09310  -0.145880
6.09312  6.09321  -0.145880
6.09334  6.09328  -0.145880
6.09368  6.09325  -0.145880
6.09380  6.09330  -0.145880
6.09380  6.09343  -0.145880
6.09346  6.09352  -0.145880
6.09357  6.09364  -0.145880
6.09368  6.09366  -0.145880
6.09402  6.09384  -0.145880
6.09380  6.09391  -0.145880
6.09402  6.09398  -0.145880
6.09425  6.09407  -0.145880
6.09391  6.09400  -0.145880
6.09391  6.09400  -0.145880
6.09413  6.09402  -0.145880
6.09380  6.09393  -0.145880
6.09380  6.09389  -0.145880
6.09391  6.09407  -0.145880
6.09380  6.09404  -0.145880
6.09402  6.09400  -0.145880
6.09391  6.09411  -0.145880
6.09402  6.09416  -0.145880
6.09425  6.09425  -0.145880
6.09402  6.09436  -0.145880
6.09402  6.09443  -0.145880
6.09425  6.09454  -0.145880
6.09458  6.09449  -0.145880
6.09413  6.09447  -0.145880
6.09402  6.09445  -0.145880
6.09402  6.09461  -0.145880
6.09357  6.09458  -0.145880
6.09402  6.09443  -0.145880
6.09413  6.09477  -0.145880
6.09402  6.09474  -0.145880
6.09402  6.09477  -0.145880
6.09402  6.09488  -0.145880
6.09391  6.09486  -0.145880
6.09391  6.09483  -0.145880
6.09391  6.09465  -0.145880
6.09413  6.09483  -0.145880
6.09413  6.09492  -0.145880
6.09413  6.09504  -0.145880
6.09402  6.09495  -0.145880
6.09425  6.09497  -0.145880
6.09425  6.09495  -0.145880
6.09425  6.09499  -0.145880
6.09425  6.09490  -0.145880
6.09436  6.09497  -0.145880
6.09470  6.09488  -0.145880
6.09458  6.09488  -0.145880
6.09458  6.09488  -0.145880
6.09470  6.09492  -0.145880
6.09458  6.09490  -0.145880
6.09470  6.09483  -0.145880
6.09481  6.09495  -0.145880
6.09470  6.09477  -0.145880
6.09481  6.09495  -0.145880
6.09447  6.09510  -0.145880
6.09447  6.09515  -0.145880
6.09458  6.09519  -0.145880
6.09436  6.09513  -0.145880
6.09436  6.09513  -0.145880
6.09447  6.09519  -0.145880
6.09458  6.09510  -0.145880
6.09470  6.09497  -0.145880
6.09470  6.09499  -0.145880
6.09447  6.09506  -0.145880
6.09447  6.09490  -0.145880
6.09447  6.09495  -0.145880
6.09447  6.09497  -0.145880
6.09447  6.09497  -0.145880
6.09458  6.09504  -0.145880
6.09447  6.09513  -0.145880
6.09447  6.09483  -0.145880
6.09447  6.09492  -0.145880
6.09470  6.09490  -0.145880
6.09458  6.09481  -0.145880
6.09492  6.09492  -0.145880
6.09481  6.09488  -0.145880
6.09458  6.09481  -0.145880
6.09470  6.09495  -0.145880
6.09492  6.09501  -0.145880
6.09515  6.09497  -0.145880
6.09526  6.09495  -0.145880
6.09504  6.09495  -0.145880
6.09504  6.09499  -0.145880
6.09515  6.09510  -0.145880
6.09515  6.09517  -0.145880
6.09537  6.09522  -0.145880
6.09526  6.09510  -0.145880
6.09504  6.09506  -0.145880
6.09492  6.09501  -0.145880
6.09492  6.09513  -0.145880
6.09504  6.09535  -0.145880
6.09537  6.09535  -0.145880
6.09526  6.09546  -0.145880
6.09526  6.09555  -0.145880
6.09549  6.09562  -0.145880
6.09549  6.09549  -0.145880
6.09549  6.09562  -0.145880
6.09549  6.09576  -0.145880
6.09549  6.09576  -0.145880
6.09549  6.09587  -0.145880
6.09583  6.09596  -0.145880
6.09583  6.09585  -0.145880
6.09571  6.09589  -0.145880
6.09526  6.09587  -0.145880
6.09526  6.09594  -0.145880
6.09526  6.09585  -0.145880
6.09537  6.09589  -0.145880
6.09549  6.09589  -0.145880
6.09526  6.09596  -0.145880
6.09549  6.09591  -0.145880
6.09549  6.09598  -0.145880
6.09549  6.09591  -0.145880
6.09549  6.09598  -0.145880
6.09526  6.09598  -0.145880
6.09515  6.09598  -0.145880
6.09537  6.09605  -0.145880
6.09560  6.09603  -0.145880
6.09560  6.09600  -0.145880
6.09583  6.09612  -0.145880
6.09605  6.09603  -0.145880
6.09594  6.09627  -0.145880
6.09583  6.09627  -0.145880
6.09594  6.09625  -0.145880
6.09639  6.09634  -0.145880
6.09672  6.09632  -0.145880
6.09639  6.09639  -0.145880
6.09661  6.09652  -0.145880
6.09650  6.09661  -0.145880
6.09695  6.09677  -0.145880
6.09740  6.09684  -0.145880
6.09706  6.09682  -0.145880
6.09762  6.09691  -0.145880
6.09740  6.09704  -0.145880
6.09718  6.09718  -0.145880
6.09695  6.09729  -0.145880
6.09672  6.09731  -0.145880
6.09661  6.09726  -0.145880
6.09718  6.09724  -0.145880
6.09695  6.09726  -0.145880
6.09672  6.09711  -0.145880
6.09672  6.09715  -0.145880
6.09650  6.09718  -0.145880
6.09695  6.09715  -0.145880
6.09751  6.09715  -0.145880
6.09740  6.09715  -0.145880
6.09718  6.09722  -0.145880
6.09729  6.09711  -0.145880
6.09785  6.09738  -0.145880
6.09852  6.09740  -0.145880
6.09852  6.09738  -0.145880
6.09819  6.09790  -0.145880
6.09819  6.09812  -0.145880
6.09841  6.09819  -0.145880
6.09807  6.09832  -0.145880
6.09841  6.09839  -0.145880
6.09774  6.09839  -0.145880
6.09751  6.09841  -0.145880
6.09729  6.09834  -0.145880
6.09672  6.09837  -0.145880
6.09695  6.09830  -0.145880
6.09695  6.09807  -0.145880
6.09684  6.09805  -0.145880
6.09718  6.09790  -0.145880
6.09706  6.09774  -0.145880
6.09695  6.09771  -0.145880
6.09695  6.09776  -0.145880
6.09672  6.09769  -0.145880
6.09672  6.09776  -0.145880
6.09605  6.09767  -0.145880
6.09627  6.09760  -0.145880
6.09650  6.09758  -0.145880
6.09639  6.09762  -0.145880
6.09639  6.09756  -0.145880
6.09627  6.09756  -0.145880
6.09639  6.09738  -0.145880
6.09661  6.09745  -0.145880
6.09627  6.09733  -0.145880
6.09616  6.09735  -0.145880
6.09627  6.09726  -0.145880
6.09594  6.09722  -0.145880
6.09560  6.09720  -0.145880
6.09515  6.09706  -0.145880
6.09481  6.09691  -0.145880
6.09537  6.09686  -0.145880
6.09549  6.09675  -0.145880
6.09560  6.09666  -0.145880
6.09537  6.09675  -0.145880
6.09526  6.09666  -0.145880
6.09537  6.09661  -0.145880
6.09504  6.09643  -0.145880
6.09492  6.09636  -0.145880
6.09402  6.09627  -0.145880
6.09334  6.09632  -0.145880
6.09368  6.09585  -0.145880
6.09380  6.09497  -0.145880
6.09436  6.09506  -0.145880
6.09458  6.09492  -0.145880
6.09458  6.09490  -0.145880
6.09481  6.09508  -0.145880
6.09515  6.09517  -0.145880
6.09515  6.09517  -0.145880
6.09537  6.09517  -0.145880
6.09560  6.09549  -0.145880
6.09594  6.09558  -0.145880
6.09549  6.09567  -0.145880
6.09560  6.09603  -0.145880
6.09571  6.09630  -0.145880
6.09571  6.09623  -0.145880
6.09594  6.09610  -0.145880
6.09515  6.09625  -0.145880
6.09537  6.09639  -0.145880
6.09537  6.09634  -0.145880
6.09537  6.09632  -0.145880
6.09537  6.09630  -0.145880
6.09504  6.09641  -0.145880
6.09492  6.09639  -0.145880
6.09492  6.09627  -0.145880
6.09481  6.09625  -0.145880
6.09492  6.09612  -0.145880
6.09470  6.09634  -0.145880
6.09458  6.09625  -0.145880
6.09447  6.09587  -0.145880
6.09436  6.09591  -0.145880
6.09425  6.09578  -0.145880
6.09413  6.09564  -0.145880
6.09492  6.09562  -0.145880
6.09492  6.09580  -0.145880
6.09537  6.09574  -0.145880
6.09560  6.09574  -0.145880
6.09605  6.09580  -0.145880
6.09605  6.09589  -0.145880
6.09616  6.09596  -0.145880
6.09616  6.09594  -0.145880
6.09616  6.09610  -0.145880
6.09639  6.09639  -0.145880
6.09639  6.09655  -0.145880
6.09627  6.09675  -0.145880
6.09650  6.09691  -0.145880
6.09695  6.09697  -0.145880
6.09718  6.09713  -0.145880
6.09729  6.09726  -0.145880
6.09819  6.09745  -0.145880
6.09729  6.09774  -0.145880
6.09672  6.09771  -0.145880
6.09650  6.09785  -0.145880
6.09684  6.09778  -0.145880
6.09672  6.09785  -0.145880
6.09639  6.09774  -0.145880
6.09672  6.09771  -0.145880
6.09661  6.09762  -0.145880
6.09695  6.09771  -0.145880
6.09650  6.09765  -0.145880
6.09706  6.09767  -0.145880
6.09684  6.09758  -0.145880
6.09661  6.09760  -0.145880
6.09537  6.09754  -0.145880
6.09571  6.09749  -0.145880
6.09549  6.09729  -0.145880
6.09560  6.09702  -0.145880
6.09515  6.09691  -0.145880
6.09504  6.09666  -0.145880
6.09537  6.09672  -0.145880
6.09583  6.09682  -0.145880
6.09594  6.09668  -0.145880
6.09605  6.09661  -0.145880
6.09594  6.09670  -0.145880
6.09571  6.09684  -0.145880
6.09594  6.09684  -0.145880
6.09627  6.09679  -0.145880
6.09695  6.09684  -0.145880
6.09695  6.09686  -0.145880
6.09650  6.09711  -0.145880
6.09616  6.09702  -0.145880
6.09639  6.09699  -0.145880
6.09616  6.09706  -0.145880
6.09594  6.09722  -0.145880
6.09594  6.09726  -0.145880
6.09594  6.09706  -0.145880
6.09616  6.09708  -0.145880
6.09594  6.09699  -0.145880
6.09571  6.09697  -0.145880
6.09549  6.09688  -0.145880
6.09571  6.09682  -0.145880
6.09583  6.09691  -0.145880
6.09549  6.09682  -0.145880
6.09549  6.09670  -0.145880
6.09549  6.09668  -0.145880
6.09537  6.09675  -0.145880
6.09537  6.09672  -0.145880
6.09560  6.09684  -0.145880
6.09526  6.09677  -0.145880
6.09549  6.09672  -0.145880
6.09549  6.09668  -0.145880
6.09560  6.09679  -0.145880
6.09571  6.09695  -0.103760
6.09583  6.09713  -0.103760
6.09605  6.09711  -0.103760
6.09616  6.09722  -0.103760
6.09605  6.09708  -0.103760
6.09616  6.09713  -0.103760
6.09627  6.09745  -0.103760
6.09616  6.09749  -0.103760
6.09616  6.09762  -0.103760
6.09627  6.09762  -0.103760
6.09627  6.09745  -0.103760
6.09571  6.09733  -0.103760
6.09537  6.09720  -0.103760
6.09492  6.09695  -0.103760
6.09481  6.09663  -0.103760
6.09492  6.09655  -0.103760
6.09583  6.09682  -0.103760
6.09583  6.09672  -0.103760
6.09571  6.09679  -0.103760
6.09549  6.09677  -0.103760
6.09504  6.09655  -0.103760
6.09560  6.09655  -0.103760
6.09571  6.09652  -0.103760
6.09549  6.09648  -0.103760
6.09571  6.09672  -0.103760
6.09549  6.09668  -0.103760
6.09515  6.09679  -0.103760
6.09492  6.09663  -0.103760
6.09470  6.09648  -0.103760
6.09447  6.09636  -0.103760
6.09425  6.09585  -0.103760
6.09413  6.09542  -0.103760
6.09470  6.09549  -0.103760
6.09447  6.09535  -0.103760
6.09447  6.09553  -0.103760
6.09470  6.09558  -0.103760
6.09447  6.09546  -0.103760
6.09526  6.09553  -0.103760
6.09526  6.09560  -0.103760
6.09492  6.09567  -0.103760
6.09492  6.09571  -0.103760
6.09481  6.09562  -0.103760
6.09470  6.09564  -0.103760
6.09481  6.09564  -0.103760
6.09481  6.09578  -0.103760
6.09470  6.09562  -0.103760
6.09436  6.09560  -0.103760
6.09470  6.09564  -0.103760
6.09526  6.09571  -0.103760
6.09571  6.09567  -0.103760
6.09560  6.09574  -0.103760
6.09560  6.09569  -0.103760
6.09605  6.09578  -0.103760
6.09594  6.09576  -0.103760
6.09605  6.09594  -0.103760
6.09605  6.09589  -0.103760
6.09661  6.09605  -0.103760
6.09605  6.09619  -0.103760
6.09605  6.09634  -0.103760
6.09571  6.09632  -0.103760
6.09549  6.09639  -0.103760
6.09583  6.09650  -0.103760
6.09571  6.09643  -0.103760
6.09583  6.09659  -0.103760
6.09560  6.09661  -0.103760
6.09560  6.09657  -0.103760
6.09583  6.09668  -0.103760
6.09549  6.09648  -0.103760
6.09560  6.09657  -0.103760
6.09537  6.09657  -0.103760
6.09571  6.09663  -0.103760
6.09571  6.09666  -0.103760
6.09571  6.09679  -0.103760
6.09594  6.09682  -0.103760
6.09594  6.09682  -0.103760
6.09605  6.09688  -0.103760
6.09627  6.09699  -0.103760
6.09616  6.09713  -0.103760
6.09605  6.09731  -0.103760
6.09616  6.09735  -0.103760
6.09594  6.09740  -0.103760
6.09594  6.09729  -0.103760
6.09583  6.09738  -0.103760
6.09583  6.09740  -0.103760
6.09571  6.09729  -0.103760
6.09549  6.09720  -0.103760
6.09537  6.09726  -0.103760
6.09504  6.09691  -0.103760
6.09526  6.09682  -0.103760
6.09515  6.09663  -0.103760
6.09515  6.09672  -0.103760
6.09515  6.09659  -0.103760
6.09515  6.09659  -0.103760
6.09560  6.09666  -0.103760
6.09526  6.09657  -0.103760
6.09549  6.09652  -0.103760
6.09526  6.09657  -0.103760
6.09492  6.09652  -0.103760
6.09492  6.09652  -0.103760
6.09470  6.09648  -0.103760
6.09481  6.09627  -0.103760
6.09470  6.09619  -0.103760
6.09447  6.09621  -0.103760
6.09447  6.09630  -0.103760
6.09447  6.09610  -0.103760
6.09470  6.09594  -0.103760
6.09492  6.09587  -0.103760
6.09470  6.09587  -0.103760
6.09504  6.09580  -0.103760
6.09504  6.09583  -0.103760
6.09515  6.09585  -0.103760
6.09515  6.09580  -0.103760
6.09515  6.09589  -0.103760
6.09515  6.09587  -0.103760
