date            ibm           vw            ew
19400430      -0.013361      0.001196      0.013115
19400531      -0.161796     -0.220314     -0.269754
19400629      -0.047619      0.066664      0.066550
19400731       0.025271      0.032230      0.036805
19400831       0.005282      0.023962      0.023221
19400930       0.094571      0.023028      0.037207
19401031       0.017771      0.029705      0.049218
19401130       0.006349     -0.016348     -0.001669
19401231       0.017350      0.006811     -0.018789
19410131       0.000704     -0.040505     -0.007317
19410228      -0.014778     -0.014839     -0.019409
19410331       0.033750      0.009599      0.014308
19410430      -0.081807     -0.053065     -0.057382
19410531       0.066489      0.013858      0.010105
19410630       0.034913      0.058683      0.066908
19410731       0.025953      0.059519      0.130139
19410830      -0.007115     -0.000463     -0.007180
19410930       0.025478     -0.007494     -0.020448
19411031      -0.031348     -0.051786     -0.062030
19411129       0.003236     -0.019367     -0.034209
19411231      -0.016129     -0.046728     -0.081886
19420131      -0.111672      0.007158      0.130814
19420228      -0.037182     -0.024149     -0.017579
19420331      -0.036585     -0.065655     -0.052240
19420430      -0.008547     -0.043145     -0.046260
19420529       0.039332      0.061047      0.028879
19420630       0.105236      0.025482      0.025086
19420731       0.028463      0.034877      0.046405
19420831       0.018450      0.018656      0.028304
19420930       0.003623      0.026300      0.047557
19421031       0.020073      0.067688      0.101294
19421130       0.059034      0.002500     -0.013177
19421231       0.020270      0.050416      0.035554
19430130       0.079849      0.073303      0.168551
19430227       0.011382      0.059920      0.130930
19430331       0.042208      0.062077      0.112136
19430430       0.006231      0.006903      0.035466
19430529       0.049536      0.057158      0.084513
19430630       0.008929      0.016911      0.010979
19430731      -0.014749     -0.046205     -0.064335
19430831       0.032934      0.012986      0.003373
19430930       0.019006      0.024527      0.034867
19431030      -0.010043     -0.012218     -0.003943
19431130      -0.031884     -0.058529     -0.088584
19431231       0.045317      0.063623      0.098730
19440131      -0.028902      0.018072      0.045949
19440229      -0.021875      0.003686      0.013018
19440331       0.108065      0.024417      0.041526
19440429      -0.009461     -0.016341     -0.029289
19440531       0.013960      0.050955      0.066135
19440630       0.005848      0.056171      0.104935
19440731       0.012718     -0.015151     -0.012724
19440831       0.037675      0.015927      0.030082
19440930       0.006974      0.000191      0.000252
19441031      -0.036011      0.002504      0.000953
19441130       0.064655      0.016456      0.023183
19441230       0.006803      0.041224      0.069303
19450131      -0.015270      0.019194      0.043353
19450228       0.049712      0.064282      0.086339
19450331      -0.008997     -0.038728     -0.056802
19450430       0.044693      0.077474      0.088844
19450531       0.044118      0.018630      0.030017
19450630      -0.015484      0.003422      0.036565
19450731       0.005242     -0.022095     -0.035068
19450831       0.014342      0.061123      0.065928
19450929       0.041451      0.048051      0.062646
19451031       0.104478      0.039018      0.064522
19451130       0.099099      0.054546      0.097574
19451231      -0.018557      0.011763      0.024073
19460131       0.024160      0.063309      0.094677
19460228       0.033333     -0.057852     -0.066906
19460330       0.057500      0.058716      0.057922
19460430       0.125296      0.042899      0.052109
19460531       0.048319      0.039864      0.054749
19460628      -0.016129     -0.039140     -0.048887
19460731       0.012295     -0.025465     -0.040842
19460830      -0.062753     -0.063922     -0.075327
19460930      -0.082609     -0.100202     -0.135552
19461031      -0.009479     -0.014164     -0.011814
19461130       0.002990      0.001200     -0.002634
19461231       0.009610      0.050925      0.046908
19470131       0.051755      0.015128      0.030197
19470228      -0.038462     -0.011577     -0.007105
19470331      -0.011848     -0.017058     -0.030425
19470430      -0.071942     -0.047868     -0.081680
19470529       0.041344     -0.009997     -0.037321
19470630       0.030000      0.053652      0.057096
19470731       0.043689      0.041240      0.061670
19470829       0.000000     -0.017509     -0.017166
19470930       0.002342     -0.004419      0.005783
19471031       0.011682      0.024614      0.033156
19471129       0.055139     -0.018306     -0.029305
19471231       0.057560      0.030189      0.023863
19480131      -0.087500     -0.037266     -0.016276
19480228       0.078767     -0.043439     -0.059451
19480331       0.048507      0.082763      0.095843
19480430       0.007117      0.037775      0.040151
19480528       0.038869      0.074581      0.087630
19480630       0.000000     -0.000177     -0.012534
19480730      -0.047945     -0.050421     -0.053733
19480831       0.084532      0.003854     -0.001818
19480930      -0.048414     -0.029544     -0.042785
19481030       0.080702      0.060056      0.053201
19481130      -0.028409     -0.090626     -0.106320
19481231       0.049622      0.032202      0.013703
19490131       0.053365      0.003043      0.017749
19490228      -0.047923     -0.029464     -0.041302
19490331       0.048986      0.041521      0.059309
19490430       0.030596     -0.017866     -0.031490
19490531       0.000000     -0.027440     -0.043168
19490630      -0.047170      0.003093     -0.007713
19490729       0.102310      0.055845      0.062022
19490831       0.000000      0.026592      0.026020
19490930       0.060241      0.031831      0.043249
19491031       0.117898      0.031224      0.039025
19491130      -0.013977      0.018842      0.009400
19491231       0.176166      0.052102      0.070120
19500131       0.054626      0.017283      0.040293
19500228      -0.008772      0.014635      0.016102
19500331       0.037778      0.012198     -0.001770
19500429      -0.019272      0.040257      0.047443
19500531       0.021834      0.043689      0.033185
19500630      -0.098712     -0.057935     -0.075737
19500731      -0.095238      0.016118      0.050635
19500831       0.094737      0.050699      0.051892
19500929       0.028986      0.048804      0.055013
19501031      -0.009390     -0.001109     -0.005504
19501130       0.010664      0.028518      0.031622
19501230       0.017668      0.057703      0.084545
19510131       0.057292      0.058239      0.076248
19510228      -0.041379      0.014434      0.011586
19510331      -0.018072     -0.020949     -0.033890
19510430       0.006135      0.049613      0.040814
19510531      -0.002439     -0.022624     -0.024919
19510629      -0.017199     -0.025324     -0.044929
19510731       0.070000      0.071166      0.063332
19510831       0.039720      0.045082      0.047438
19510928      -0.020316      0.009177      0.023631
19511031      -0.064516     -0.022397     -0.023609
19511130       0.009852      0.005923      0.007185
19511231       0.071078      0.034898      0.015248
19520131      -0.032895      0.016906      0.017491
19520229      -0.048447     -0.024983     -0.020650
19520331       0.007874      0.045586      0.028864
19520430      -0.013021     -0.048900     -0.044936
19520529       0.060686      0.032874      0.024515
19520630       0.095000      0.039283      0.030728
19520731      -0.004566      0.011482      0.010652
19520829      -0.008028     -0.006584      0.000056
19520930      -0.019744     -0.018991     -0.015160
19521031       0.021327     -0.005456     -0.011717
19521128       0.071926      0.058795      0.055644
19521231       0.073967      0.031210      0.022641
19530130      -0.013815     -0.001342      0.024706
19530227       0.028017     -0.001711      0.012031
19530331       0.014737     -0.013417     -0.010486
19530430      -0.049793     -0.027474     -0.024027
19530529       0.050218      0.007141      0.005896
19530630      -0.030271     -0.016655     -0.031671
19530731       0.033369      0.025329      0.017571
19530831      -0.004167     -0.044092     -0.051874
19530930      -0.029412      0.003053     -0.011005
19531030       0.008658      0.047090      0.037834
19531130       0.032189      0.028267      0.021317
19531231       0.057098      0.000768     -0.015444
19540129       0.054656      0.052460      0.071683
19540226       0.044146      0.017482      0.013576
19540331       0.232472      0.037251      0.029150
19540430       0.005988      0.042851      0.016373
19540528       0.067708      0.031569      0.043151
19540630       0.048951      0.011477      0.012275
19540730      -0.005000      0.050368      0.071989
19540831      -0.048576     -0.022516     -0.009175
19540930       0.035336      0.064304      0.044308
19541029       0.063140     -0.016211     -0.006860
19541130       0.186196      0.095289      0.092199
19541231      -0.017639      0.055263      0.087724
19550131       0.026243      0.006994      0.014124
19550228       0.004038      0.031280      0.042781
19550331       0.067204     -0.001122      0.000530
19550429       0.078086      0.032281      0.022598
19550531      -0.021028      0.011856      0.007814
19550630      -0.007177      0.065800      0.034694
19550729       0.015663      0.020283      0.008001
19550831      -0.039146      0.004250      0.005764
19550930      -0.017327     -0.002034     -0.007751
19551031      -0.042821     -0.025728     -0.017815
19551130       0.047368      0.071558      0.055257
19551230       0.040491      0.016437      0.022836
19560131      -0.032258     -0.027987     -0.020746
19560229       0.051282      0.039532      0.033613
19560329       0.210269      0.068175      0.051383
19560430       0.070707      0.005093      0.003827
19560531       0.015330     -0.049186     -0.039964
19560629       0.139697      0.037157      0.021712
19560731       0.052094      0.050753      0.039967
19560831      -0.057282     -0.030342     -0.018161
19560928      -0.065015     -0.049677     -0.035938
19561031       0.030905      0.007221      0.007063
19561130       0.047109      0.004611      0.005277
19561231       0.106557      0.034934      0.023122
19570131      -0.040741     -0.032051      0.003613
19570228      -0.016409     -0.018698     -0.023299
19570329       0.021632      0.024087      0.022499
19570430       0.101059      0.045059      0.025909
19570531       0.059732      0.036599      0.022263
19570628       0.123939     -0.005107     -0.006747
19570731       0.016616      0.008920      0.005610
19570830      -0.059138     -0.050003     -0.050190
19570930      -0.049051     -0.057622     -0.052982
19571031      -0.006656     -0.041099     -0.065213
19571129       0.040536      0.025457      0.021027
19571231       0.008468     -0.037450     -0.049129
19580131       0.054098      0.049905      0.106481
19580228       0.023795     -0.014125     -0.011845
19580331       0.053272      0.033787      0.035918
19580430       0.014451      0.030773      0.030171
19580529      -0.004558      0.024569      0.039475
19580630       0.058065      0.029507      0.031729
19580731       0.001355      0.044915      0.054168
19580829       0.008525      0.019090      0.029878
19580930       0.096774      0.048638      0.052239
19581031       0.066176      0.027500      0.032975
19581128       0.029080      0.030526      0.042114
19581231       0.226790      0.052872      0.038790
19590130      -0.064953      0.009199      0.041502
19590227       0.058771      0.011294      0.028112
19590331       0.026465      0.004509      0.012223
19590430       0.079190      0.037947      0.025714
19590529       0.204352      0.019499      0.008206
19590630      -0.046809      0.000564      0.004149
19590731      -0.044643      0.034193      0.030062
19590831      -0.007009     -0.012437     -0.014839
19590930      -0.030624     -0.044885     -0.045760
19591030      -0.006075      0.015682      0.023206
19591130       0.067482      0.018454      0.015040
19591231       0.005161      0.028015      0.021177
19600129      -0.050770     -0.066354     -0.039202
19600229       0.006611      0.014202      0.008478
19600331       0.050239     -0.012847     -0.024876
19600429       0.030752     -0.015330     -0.019730
19600531       0.115470      0.033982      0.025546
19600630       0.035714      0.023039      0.021609
19600729       0.004789     -0.022708     -0.019598
19600831       0.023356      0.032258      0.037948
19600930      -0.037313     -0.058620     -0.059524
19601031      -0.009690     -0.004797     -0.023230
19601130       0.091487      0.048489      0.046495
19601230       0.064632      0.048457      0.037495
19610131       0.072513      0.063879      0.082048
19610228       0.062500      0.036972      0.060130
19610330       0.029630      0.030583      0.049888
19610428       0.027338      0.005664      0.009487
19610531       0.027521      0.025810      0.041572
19610630      -0.026612     -0.028499     -0.042415
19610731       0.024185      0.029924      0.011517
19610831       0.067967      0.026883      0.021358
19610929       0.035611     -0.019992     -0.029686
19611031       0.092007      0.027435      0.020988
19611130      -0.011745      0.045381      0.046461
19611229      -0.001724      0.000746     -0.003757
19620131      -0.063903     -0.036179     -0.007807
19620228      -0.007841      0.019502      0.015405
19620330      -0.007914     -0.004669     -0.006241
19620430      -0.147818     -0.063452     -0.068134
19620531      -0.133811     -0.084680     -0.098186
19620629      -0.135669     -0.082632     -0.085125
19620731       0.140752      0.065504      0.064000
19620831       0.025840      0.023414      0.037061
19620928      -0.107886     -0.050154     -0.063830
19621031      -0.021216      0.002184     -0.039528
19621130       0.153902      0.110137      0.121176
19621231      -0.021330      0.011865     -0.025561
19630131       0.086538      0.051848      0.089140
19630228      -0.054277     -0.021931     -0.014477
19630329       0.053158      0.032917      0.012027
19630430       0.101544      0.047439      0.026890
19630531       0.031267      0.020051      0.032306
19630628      -0.085909     -0.018030     -0.010383
19630731      -0.004011     -0.001718     -0.006304
19630830       0.025892      0.052684      0.042305
19630930       0.016301     -0.011898     -0.010373
19631031       0.092920      0.027708      0.012208
19631129      -0.015182     -0.005549     -0.016139
19631231       0.044822      0.021736     -0.004228
19640131       0.069034      0.025790      0.032092
19640228       0.052122      0.017207      0.025173
19640331       0.044376      0.017636      0.025510
19640430      -0.040387      0.004608      0.001004
19640528       0.054910      0.017403      0.007507
19640630      -0.006250      0.015080      0.010411
19640731      -0.031447      0.020118      0.030161
19640831      -0.043831     -0.011266     -0.006038
19640930      -0.009081      0.030480      0.038248
19641030      -0.037801      0.008869      0.018821
19641130      -0.014881      0.003089     -0.000516
19641231      -0.007273      0.003690     -0.012365
19650129       0.095238      0.038646      0.071403
19650226       0.019509      0.006947      0.032325
19650331      -0.003291     -0.009715      0.015393
19650430       0.067694      0.033652      0.041560
19650528      -0.011340     -0.004350     -0.005845
19650630      -0.041841     -0.051868     -0.083718
19650730       0.045852      0.016759      0.028633
19650831       0.044885      0.030883      0.041844
19650930       0.027054      0.031952      0.027420
19651029       0.040000      0.029271      0.058679
19651130      -0.012195      0.003065      0.046544
19651231      -0.049524      0.013545      0.042981
19660131      -0.006012      0.012122      0.064170
19660228       0.041331     -0.008621      0.028865
19660331       0.001942     -0.020923     -0.008889
19660429       0.080426      0.024837      0.046619
19660531      -0.021031     -0.052539     -0.086024
19660630      -0.029680     -0.010317     -0.004988
19660729      -0.027817     -0.012870     -0.016316
19660831      -0.056200     -0.075388     -0.100714
19660930      -0.009360     -0.006958     -0.018161
19661031       0.045669      0.042294     -0.014385
19661130       0.135843      0.017516      0.040725
19661230      -0.011968      0.006210      0.017306
19670131       0.075370      0.085530      0.172104
19670228       0.079099      0.010945      0.042368
19670331       0.048837      0.043384      0.058244
19670428       0.100887      0.041609      0.041928
19670531      -0.035234     -0.039293     -0.008098
19670630       0.067024      0.026903      0.081958
19670731       0.020603      0.049189      0.083251
19670831      -0.013589     -0.006282      0.006312
19670929       0.097049      0.034286      0.062963
19671031       0.082535     -0.027433     -0.020594
19671130       0.033024      0.007902      0.000878
19671229       0.024510      0.033699      0.080465
19680131      -0.051834     -0.036330      0.023902
19680229      -0.022204     -0.033624     -0.056118
19680329       0.056034      0.005116     -0.011218
19680430       0.106122      0.094148      0.143031
19680531       0.055793      0.027041      0.091309
19680628      -0.009104      0.011527      0.016225
19680730      -0.042403     -0.022024     -0.026210
19680830      -0.009151      0.018038      0.035918
19680930       0.000000      0.044454      0.068808
19681031      -0.081642      0.009041      0.006913
19681129       0.087134      0.058502      0.071994
19681231      -0.056180     -0.033873      0.005896
19690131      -0.059524     -0.006711     -0.001688
19690228      -0.007004     -0.053640     -0.085728
19690328       0.070303      0.030506      0.020290
19690430       0.044586      0.020526      0.003459
19690529      -0.025000      0.005040      0.006262
19690630       0.058777     -0.067387     -0.113404
19690731      -0.039230     -0.065172     -0.095823
19690829       0.066256      0.051490      0.052175
19690930       0.000725     -0.022590     -0.024618
19691031       0.044171      0.055638      0.092413
19691128      -0.006935     -0.032164     -0.055078
19691231       0.021008     -0.019681     -0.066178
19700130      -0.080247     -0.073254     -0.038830
19700227       0.018494      0.056706      0.040195
19700331      -0.005143     -0.004729     -0.023712
19700430      -0.119645     -0.105318     -0.161963
19700529      -0.063087     -0.064346     -0.090524
19700630      -0.100719     -0.051075     -0.073904
19700731       0.013800      0.074169      0.059258
19700831       0.055500      0.050036      0.061617
19700930       0.095775      0.047536      0.126098
19701030       0.011825     -0.018208     -0.058604
19701130       0.045068      0.050448      0.003021
19701231       0.034174      0.060723      0.081324
19710129       0.024390      0.052030      0.136096
19710226       0.037788      0.016913      0.047910
19710331       0.062407      0.044778      0.056603
19710430       0.000699      0.033332      0.027087
19710528      -0.082320     -0.036409     -0.049435
19710630      -0.030581      0.003119     -0.017240
19710730      -0.081230     -0.040283     -0.053634
19710831       0.048240      0.042511      0.041159
19710930      -0.000822     -0.005016     -0.004653
19711029      -0.010700     -0.040682     -0.057468
19711130       0.020965     -0.001262     -0.034150
19711231       0.101473      0.091257      0.117128
19720131       0.093611      0.028383      0.103892
19720229       0.005027      0.031349      0.041809
19720330       0.037313      0.008722     -0.000951
19720428       0.009810      0.005505      0.001231
19720531       0.033938      0.016375     -0.018121
19720630      -0.014456     -0.020896     -0.033775
19720731       0.022321     -0.004254     -0.029488
19720831       0.022707      0.035966      0.012252
19720929      -0.004896     -0.007671     -0.030725
19721031      -0.051661      0.008676     -0.013767
19721130       0.017769      0.049764      0.051096
19721229       0.028133      0.011243     -0.019873
19730131       0.083333     -0.027455     -0.026133
19730228      -0.005970     -0.044368     -0.072836
19730330       0.000000     -0.007851     -0.028981
19730430      -0.054461     -0.051759     -0.070620
19730531      -0.032261     -0.024503     -0.083582
19730629       0.007149     -0.008647     -0.037745
19730731      -0.007886      0.056954      0.105922
19730831      -0.039364     -0.029648     -0.044417
19730928      -0.142857      0.053937      0.072995
19731031       0.086240     -0.000427      0.000303
19731130      -0.050419     -0.120703     -0.175252
19731231      -0.068868      0.011425     -0.041764
19740131      -0.006079      0.004408      0.132374
19740228      -0.024852      0.002352      0.008623
19740329      -0.008933     -0.023365      0.008379
19740430      -0.036055     -0.045957     -0.055537
19740531      -0.059274     -0.041982     -0.072545
19740628       0.001176     -0.022942     -0.033483
19740731      -0.052291     -0.070879     -0.051915
19740830      -0.040298     -0.087756     -0.085788
19740930      -0.171875     -0.109718     -0.079025
19741031       0.189465      0.165585      0.088877
19741129      -0.054858     -0.041047     -0.051395
19741231      -0.052186     -0.027005     -0.080744
19750131       0.120536      0.141600      0.299260
19750228       0.152722      0.058411      0.053918
19750331      -0.041183      0.030191      0.081497
19750430       0.015729      0.046497      0.031093
19750530       0.031566      0.055140      0.072876
19750630      -0.027907      0.051473      0.071792
19750731      -0.089713     -0.060385     -0.008960
19750829      -0.011827     -0.023557     -0.048118
19750930       0.010738     -0.038010     -0.038867
19751031       0.127490      0.055857      0.014720
19751128       0.074794      0.031223      0.016796
19751231      -0.009387     -0.010998     -0.000599
19760130       0.149387      0.126011      0.190037
19760227      -0.001455      0.007314      0.106291
19760331       0.024939      0.026799      0.018109
19760430      -0.032920     -0.010389     -0.003810
19760528       0.019734     -0.009369     -0.019680
19760630       0.078422      0.044487      0.026510
19760730      -0.016712     -0.006157      0.002236
19760831       0.013780     -0.001435     -0.016673
19760930       0.028323      0.024484      0.016990
19761029      -0.034207     -0.020373     -0.022586
19761130       0.005520      0.005364      0.026686
19761231       0.029982      0.061591      0.102410
19770131      -0.013883     -0.036337      0.036903
19770228       0.011807     -0.015760      0.004400
19770331       0.001812     -0.009246      0.010654
19770429      -0.064195      0.004952      0.016931
19770531      -0.041546     -0.010785      0.002870
19770630       0.075356      0.051367      0.051503
19770729       0.015625     -0.012810      0.012362
19770831       0.010256     -0.013352     -0.001233
19770930      -0.027480      0.001574      0.014968
19771031      -0.014368     -0.039280     -0.023190
19771130       0.035957      0.045432      0.070872
19771230       0.035985      0.008218      0.021081
19780131      -0.029250     -0.055202     -0.011152
19780228      -0.042825     -0.009275      0.026008
19780331      -0.062687      0.034013      0.067839
19780428       0.129512      0.082841      0.079317
19780531      -0.018308      0.023238      0.067620
19780630      -0.003872     -0.010751      0.010292
19780731       0.092323      0.056749      0.052394
19780831       0.048950      0.042352      0.093545
19780929      -0.050964     -0.006891      0.006200
19781031      -0.046029     -0.110997     -0.177280
19781130       0.030766      0.033792      0.038205
19781229       0.107607      0.017710      0.014346
19790131       0.034338      0.049489      0.093661
19790228      -0.017198     -0.026766     -0.016269
19790330       0.051667      0.065618      0.084167
19790430      -0.003962      0.008522      0.028814
19790531      -0.021671     -0.013576     -0.006845
19790629      -0.034539      0.046850      0.054663
19790731      -0.049404      0.014991      0.021366
19790831       0.015914      0.064728      0.075616
19790928      -0.032143      0.001428     -0.001172
19791031      -0.079336     -0.072660     -0.097915
19791130       0.059880      0.063603      0.065295
19791231      -0.013410      0.028212      0.067485
19800131       0.066019      0.065607      0.105129
19800229      -0.062149      0.001015     -0.006301
19800331      -0.122047     -0.120224     -0.165043
19800430      -0.015695      0.052288      0.053461
19800530       0.024784      0.060090      0.071249
19800630       0.060948      0.037714      0.046176
19800731       0.110638      0.069438      0.089279
19800829       0.017011      0.023553      0.063984
19800930      -0.020992      0.029498      0.052459
19801031       0.038986      0.020093      0.047525
19801128       0.035422      0.104951      0.069205
19801231      -0.003670     -0.034409     -0.032416
19810130      -0.051565     -0.040085      0.005615
19810227       0.011417      0.015521      0.002150
19810331      -0.029183      0.046184      0.072674
19810430      -0.060120     -0.011268      0.027885
19810529       0.016802      0.013551      0.027187
19810630      -0.014894     -0.010242     -0.013194
19810731      -0.030238     -0.003080     -0.019980
19810831      -0.002494     -0.056279     -0.071906
19810930      -0.018141     -0.063772     -0.090061
19811030      -0.048499      0.060162      0.069728
19811130       0.074951      0.045849      0.021667
19811231       0.043578     -0.028096     -0.019694
19820129       0.118681     -0.026209     -0.017347
19820226      -0.013988     -0.051126     -0.047987
19820331      -0.034343     -0.010099     -0.012064
19820430       0.075314      0.043267      0.052242
19820528      -0.029416     -0.028212     -0.022490
19820630      -0.014228     -0.023912     -0.036699
19820730       0.082474     -0.020526     -0.014776
19820831       0.087390      0.119013      0.063285
19820930       0.040780      0.016761      0.033164
19821029       0.088586      0.118636      0.128447
19821130       0.093709      0.051935      0.092037
19821231       0.112717      0.014516      0.023447
19830131       0.027273      0.041850      0.117062
19830228       0.009962      0.030218      0.047266
19830331       0.027778      0.034673      0.050515
19830429       0.149877      0.074188      0.080687
19830531      -0.041026      0.013224      0.091740
19830630       0.080899      0.037837      0.046341
19830729       0.001040     -0.031567     -0.017556
19830831       0.000623      0.003464     -0.032920
19830930       0.061715      0.016059      0.000051
