Date         ibm         vw           ew          sp
19330930    -0.09492    -0.10568    -0.14956    -0.11362
19331031    -0.01610    -0.08252    -0.10762    -0.08850
19331129     0.12416     0.09961     0.06866     0.10268
19331230    -0.01199     0.02012     0.01500     0.02227
19340131     0.02977     0.12993     0.31767     0.10594
19340228    -0.02041    -0.02342     0.01009    -0.03671
19340331    -0.06597     0.00493     0.00757    -0.00093
19340430     0.07519    -0.01804     0.00176    -0.02698
19340531    -0.06643    -0.07072    -0.10644    -0.08126
19340630     0.05712     0.02520     0.00348     0.02081
19340731    -0.04387    -0.10824    -0.18560    -0.11519
19340831     0.02996     0.05955     0.09782     0.05415
19340929     0.03636    -0.00293    -0.01061    -0.00546
19341031    -0.01418    -0.02027    -0.02094    -0.03187
19341130     0.11151     0.08410     0.12713     0.08286
19341231     0.01650     0.00407     0.01498    -0.00419
19350131    -0.00656    -0.03212    -0.02993    -0.04211
19350228     0.04950    -0.01975    -0.05480    -0.03956
19350330     0.01022    -0.03737    -0.07576    -0.03089
19350430     0.09348     0.08955     0.10213     0.09563
19350531    -0.00862     0.03485     0.02473     0.03233
19350629     0.03478     0.05493     0.04069     0.06785
19350731     0.03390     0.07408     0.11144     0.08309
19350831    -0.00683     0.02788     0.08075     0.02166
19350930    -0.01376     0.02406     0.02387     0.02385
19351031     0.01406     0.07052     0.08074     0.07506
19351130     0.01248     0.05180     0.14510     0.03933
19351231     0.01494     0.04613     0.05980     0.03707
19360131     0.02453     0.06599     0.14937     0.06552
19360229    -0.04788     0.02608     0.04658     0.01677
19360331     0.03448     0.00867     0.00480     0.02543
19360430    -0.09244    -0.07854    -0.12137    -0.07708
19360529     0.02469     0.05054     0.05190     0.04575
19360630     0.04518     0.02600    -0.00058     0.03056
19360731    -0.04506     0.06395     0.08185     0.06806
19360831     0.02283     0.01135     0.02222     0.00883
19360930     0.02418     0.01471     0.03385     0.00125
19361031     0.00257     0.06999     0.06490     0.07495
19361130     0.11404     0.03422     0.09085     0.00407
19361231    -0.00131     0.00119     0.03008    -0.00579
19370130    -0.04437     0.03268     0.07578     0.03783
19370227    -0.01594     0.01329     0.02539     0.01458
19370331    -0.04539    -0.00421    -0.00004    -0.00940
19370430     0.01642    -0.07450    -0.10125    -0.08315
19370528    -0.07077    -0.00807    -0.02383    -0.01035
19370630     0.00331    -0.04074    -0.07614    -0.05289
19370731     0.07000     0.08420     0.09824     0.10260
19370831    -0.06542    -0.04541    -0.05158    -0.05536
19370930    -0.01500    -0.13501    -0.19222    -0.14214
19371030    -0.02222    -0.09483    -0.10209    -0.10174
19371130    -0.07692    -0.08336    -0.10861    -0.10113
19371231     0.04735    -0.04076    -0.09966    -0.05041
19380131     0.07130     0.00835     0.04305     0.01327
19380228     0.04778     0.05727     0.05946     0.06080
19380331    -0.10049    -0.23675    -0.28561    -0.25044
19380430     0.06923     0.14554     0.21607     0.14118
19380531     0.01799    -0.03914    -0.07025    -0.04433
19380630     0.09541     0.23617     0.30615     0.24703
19380730     0.06515     0.07184     0.12124     0.07266
19380831    -0.00612    -0.02733    -0.06247    -0.02742
19380930     0.01231     0.00889    -0.01539     0.01493
19381031     0.07055     0.07745     0.14520     0.07598
19381130     0.00860    -0.01833    -0.03619    -0.03341
19381231     0.05966     0.04059     0.03227     0.03771
19390131    -0.03986    -0.05974    -0.07552    -0.06889
19390228     0.03730     0.03480     0.04103     0.03252
19390331    -0.03406    -0.11918    -0.17215    -0.13543
19390429    -0.01488    -0.00264     0.00139    -0.00546
19390531     0.07024     0.06859     0.08612     0.06227
19390630    -0.00353    -0.05324    -0.08458    -0.06379
19390731     0.06857     0.10122     0.13471     0.10866
19390831    -0.09358    -0.06608    -0.10628    -0.07143
19390930    -0.01475     0.16001     0.39273     0.16458
19391031     0.08761    -0.00412    -0.00734    -0.01459
19391130     0.00000    -0.03659    -0.08084    -0.04910
19391230     0.03958     0.03007     0.01632     0.02377
19400131    -0.02896    -0.02464    -0.01849    -0.03523
19400229     0.05132     0.01429     0.02949     0.00664
19400330    -0.00679     0.01887     0.02624     0.00989
19400430    -0.01336     0.00130     0.01553    -0.00490
19400531    -0.16180    -0.22030    -0.26855    -0.23954
19400629    -0.04762     0.06658     0.06631     0.07659
19400731     0.02527     0.03251     0.03689     0.03106
19400831     0.00528     0.02358     0.02333     0.02624
19400930     0.09457     0.02299     0.03779     0.00947
19401031     0.01777     0.02994     0.04922     0.03940
19401130     0.00635    -0.01642    -0.00202    -0.04242
19401231     0.01735     0.00691    -0.01709    -0.00283
19410131     0.00070    -0.04055    -0.00688    -0.04820
19410228    -0.01478    -0.01492    -0.02048    -0.01490
19410331     0.03375     0.00951     0.01668     0.00403
19410430    -0.08181    -0.05299    -0.05497    -0.06526
19410531     0.06649     0.01428     0.00976     0.00430
19410630     0.03491     0.05837     0.06706     0.05348
19410731     0.02595     0.05841     0.12869     0.05482
19410830    -0.00711     0.00055    -0.00586    -0.00866
19410930     0.02548    -0.00743    -0.02112    -0.00971
19411031    -0.03135    -0.05155    -0.06222    -0.06863
19411129     0.00324    -0.01961    -0.03332    -0.04211
19411231    -0.01613    -0.04680    -0.08216    -0.04505
19420131    -0.11167     0.00578     0.13074     0.01381
19420228    -0.03718    -0.02284    -0.01651    -0.02497
19420331    -0.03659    -0.06555    -0.05221    -0.06752
19420430    -0.00855    -0.04318    -0.04437    -0.04370
19420529     0.03933     0.06145     0.03045     0.06397
19420630     0.10524     0.02502     0.02399     0.01840
19420731     0.02846     0.03481     0.04594     0.03133
19420831     0.01845     0.01870     0.02782     0.00701
19420930     0.00362     0.02630     0.04844     0.02668
19421031     0.02007     0.06795     0.10155     0.06441
19421130     0.05903     0.00143    -0.01367    -0.01380
19421231     0.02027     0.04963     0.03566     0.05167
19430130     0.07985     0.07537     0.16735     0.07165
19430227     0.01138     0.06006     0.13354     0.05062
19430331     0.04221     0.06168     0.11272     0.05273
19430430     0.00623     0.00687     0.03542     0.00086
19430529     0.04954     0.05704     0.08439     0.04487
19430630     0.00893     0.01702     0.01080     0.01982
19430731    -0.01475    -0.04626    -0.06396    -0.05425
19430831     0.03293     0.01294     0.00306     0.01027
19430930     0.01901     0.02418     0.03496     0.02373
19431030    -0.01004    -0.01223    -0.00397    -0.01325
19431130    -0.03188    -0.05834    -0.08835    -0.07550
19431231     0.04532     0.06327     0.09847     0.05898
19440131    -0.02890     0.01789     0.04536     0.01542
19440229    -0.02187     0.00428     0.01372    -0.00253
19440331     0.10806     0.02425     0.04130     0.01692
19440429    -0.00946    -0.01721    -0.02892    -0.01248
19440531     0.01396     0.05188     0.06612     0.04044
19440630     0.00585     0.05674     0.10543     0.05101
19440731     0.01272    -0.01511    -0.01260    -0.02080
19440831     0.03767     0.01527     0.02920     0.00865
19440930     0.00697     0.00035     0.00018    -0.00312
19441031    -0.03601     0.00271     0.00141     0.00000
19441130     0.06466     0.01539     0.02294     0.00391
19441230     0.00680     0.04222     0.06948     0.03507
19450131    -0.01527     0.01815     0.04291     0.01431
19450228     0.04971     0.06539     0.08652     0.06162
19450331    -0.00900    -0.03912    -0.05665    -0.04615
19450430     0.04469     0.07782     0.08895     0.08798
19450531     0.04412     0.01821     0.02963     0.01146
19450630    -0.01548     0.00412     0.03697    -0.00333
19450731     0.00524    -0.02223    -0.03518    -0.02005
19450831     0.01434     0.06067     0.06536     0.05798
19450929     0.04145     0.04804     0.06267     0.04191
19451031     0.10448     0.03921     0.06465     0.03032
19451130     0.09910     0.05481     0.09780     0.03243
19451231    -0.01856     0.01153     0.02390     0.00989
19460131     0.02416     0.06328     0.09439     0.06970
19460228     0.03333    -0.05791    -0.06691    -0.06947
19460330     0.05750     0.05960     0.05821     0.04630
19460430     0.12530     0.04151     0.05170     0.03761
19460531     0.04832     0.04071     0.05473     0.02239
19460628    -0.01613    -0.03947    -0.04899    -0.03910
19460731     0.01230    -0.02559    -0.04092    -0.02550
19460830    -0.06275    -0.06388    -0.07539    -0.07294
19460930    -0.08261    -0.10030    -0.13594    -0.10150
19461031    -0.00948    -0.01425    -0.01159    -0.00802
19461130     0.00299     0.00144    -0.00269    -0.01146
19461231     0.00961     0.05084     0.04688     0.04294
19470131     0.05175     0.01514     0.03026     0.02353
19470228    -0.03846    -0.01175    -0.00746    -0.01469
19470331    -0.01185    -0.01687    -0.02999    -0.01685
19470430    -0.07194    -0.04779    -0.08154    -0.03889
19470529     0.04134    -0.01013    -0.03723    -0.00892
19470630     0.03000     0.05364     0.05696     0.05260
19470731     0.04369     0.04141     0.06188     0.03616
19470829     0.00000    -0.01755    -0.01720    -0.02792
19470930     0.00234    -0.00447     0.00575    -0.01371
19471031     0.01168     0.02466     0.03314     0.02118
19471129     0.05514    -0.01810    -0.02906    -0.02852
19471231     0.05756     0.02987     0.02186     0.02068
19480131    -0.07917    -0.03702    -0.01590    -0.03987
19480228     0.06900    -0.04356    -0.05980    -0.04697
19480331     0.04851     0.08263     0.09607     0.07714
19480430     0.00712     0.03771     0.04087     0.02653
19480528     0.03887     0.07445     0.08712     0.07817
19480630     0.00000    -0.00000    -0.01237     0.00300
19480730    -0.04795    -0.05040    -0.05372    -0.05317
19480831     0.08453     0.00386    -0.00162     0.00757
19480930    -0.04841    -0.02941    -0.04276    -0.03006
19481030     0.08070     0.05976     0.05289     0.06779
19481130    -0.02841    -0.09055    -0.10624    -0.10822
19481231     0.04962     0.03212     0.01418     0.03051
19490131     0.05337     0.00296     0.01792     0.00132
19490228    -0.04792    -0.02872    -0.04133    -0.03942
19490331     0.04899     0.04083     0.05896     0.03010
19490430     0.03060    -0.01805    -0.03182    -0.02125
19490531     0.00000    -0.02735    -0.04272    -0.03731
19490630    -0.04717     0.00344    -0.00795    -0.00211
19490729     0.10231     0.05547     0.06231     0.06215
19490831     0.00000     0.02651     0.02576     0.01197
19490930     0.06024     0.03207     0.04370     0.02365
19491031     0.11790     0.03156     0.03928     0.02953
19491130    -0.01398     0.01922     0.01045     0.00125
19491231     0.17617     0.05261     0.06997     0.04359
19500131     0.05463     0.01632     0.04010     0.01730
19500228    -0.00877     0.01452     0.01566     0.00997
19500331     0.03778     0.01216    -0.00179     0.00407
19500429    -0.01927     0.04015     0.04773     0.04511
19500531     0.02183     0.04294     0.03282     0.03929
19500630    -0.09871    -0.05654    -0.07492    -0.05804
19500731    -0.09524     0.01595     0.05086     0.00848
19500831     0.09474     0.05034     0.05235     0.03251
19500929     0.02899     0.04879     0.05464     0.05592
19501031    -0.00939    -0.00141    -0.00560     0.00411
19501130     0.01066     0.02898     0.03243    -0.00102
19501230     0.01767     0.05720     0.08396     0.04613
19510131     0.05729     0.05794     0.07638     0.06124
19510228    -0.04138     0.01514     0.01154     0.00646
19510331    -0.01807    -0.02103    -0.03367    -0.01835
19510430     0.00613     0.04974     0.04066     0.04813
19510531    -0.00244    -0.02257    -0.02553    -0.04057
19510629    -0.01720    -0.02521    -0.04495    -0.02602
19510731     0.07000     0.07088     0.06312     0.06870
19510831     0.03972     0.04506     0.04751     0.03929
19510928    -0.02032     0.00902     0.02331    -0.00086
19511031    -0.06452    -0.02235    -0.02343    -0.01376
19511130     0.00985     0.00599     0.00742    -0.00262
19511231     0.07108     0.03495     0.01520     0.03890
19520131    -0.03289     0.01697     0.01750     0.01557
19520229    -0.04845    -0.02482    -0.02073    -0.03645
19520331     0.00787     0.04542     0.02921     0.04772
19520430    -0.01302    -0.04872    -0.04482    -0.04309
19520529     0.06069     0.03255     0.02389     0.02316
19520630     0.09500     0.03939     0.03110     0.04610
19520731    -0.00457     0.01189     0.01130     0.01763
19520829    -0.00803    -0.00697    -0.00029    -0.01457
19520930    -0.01974    -0.01922    -0.01550    -0.01958
19521031     0.02133    -0.00527    -0.01147    -0.00081
19521128     0.07193     0.05896     0.05566     0.04649
19521231     0.07397     0.03125     0.02271     0.03546
19530130    -0.01382    -0.00165     0.02436    -0.00715
19530227     0.02802    -0.00163     0.01199    -0.01820
19530331     0.01474    -0.01332    -0.01028    -0.02355
19530430    -0.04979    -0.02738    -0.02413    -0.02649
19530529     0.05022     0.00673     0.00578    -0.00325
19530630    -0.03027    -0.01629    -0.03146    -0.01630
19530731     0.03337     0.02519     0.01760     0.02527
19530831    -0.00417    -0.04399    -0.05168    -0.05778
19530930    -0.02941     0.00306    -0.01116     0.00129
19531030     0.00866     0.04703     0.03801     0.05096
19531130     0.03219     0.02825     0.02134     0.00896
19531231     0.05710     0.00066    -0.01561     0.00202
19540129     0.05466     0.05059     0.07132     0.05119
19540226     0.04415     0.01920     0.01386     0.00268
19540331     0.23247     0.03779     0.02935     0.03021
19540430     0.00599     0.04263     0.01639     0.04900
19540528     0.06957     0.03136     0.04319     0.03291
19540630     0.04712     0.01138     0.01207     0.00069
19540730    -0.00500     0.05043     0.07214     0.05717
19540831    -0.04858    -0.02252    -0.00924    -0.03400
19540930     0.03534     0.06429     0.04413     0.08314
19541029     0.06314    -0.01623    -0.00663    -0.01950
19541130     0.18620     0.09596     0.09200     0.08081
19541231    -0.01764     0.05529     0.08812     0.05082
19550131     0.02624     0.00706     0.01408     0.01807
19550228     0.00404     0.03136     0.04294     0.00355
19550331     0.06720    -0.00119     0.00094    -0.00490
19550429     0.07809     0.03226     0.02223     0.03773
19550531    -0.02103     0.01191     0.00807    -0.00132
19550630    -0.00718     0.06586     0.03471     0.08230
19550729     0.01566     0.02004     0.00785     0.06069
19550831    -0.03915     0.00436     0.00569    -0.00781
19550930    -0.01733    -0.00225    -0.00778     0.01135
19551031    -0.04282    -0.02568    -0.01773    -0.03046
19551130     0.04737     0.07155     0.05528     0.07487
19551230     0.04049     0.01653     0.02304    -0.00066
19560131    -0.03226    -0.02804    -0.02072    -0.03650
19560229     0.05128     0.03958     0.03367     0.03469
19560329     0.21027     0.06812     0.05139     0.06925
19560430     0.07071     0.00523     0.00377    -0.00206
19560531     0.01533    -0.04912    -0.03969    -0.06573
19560629     0.13970     0.03695     0.02154     0.03916
19560731     0.05209     0.05092     0.03986     0.05152
19560831    -0.05728    -0.02917    -0.01728    -0.03806
19560928    -0.06502    -0.05062    -0.03611    -0.04546
19561031     0.03091     0.00768     0.00680     0.00507
19561130     0.04711     0.00799     0.01074    -0.01097
19561231     0.10656     0.03073     0.01764     0.03527
19570131    -0.04074    -0.03211     0.00347    -0.04178
19570228    -0.01641    -0.01861    -0.02308    -0.03265
19570329     0.02163     0.02397     0.02223     0.01965
19570430     0.10106     0.04511     0.02582     0.03695
19570531     0.06162     0.03652     0.02154     0.03695
19570628     0.12394    -0.00564    -0.00675    -0.00127
19570731     0.01662     0.00964     0.00596     0.01140
19570830    -0.05914    -0.05011    -0.04985    -0.05615
19570930    -0.04905    -0.05757    -0.05221    -0.06192
19571031    -0.00666    -0.04115    -0.06619    -0.03206
19571129     0.04054     0.02543     0.02089     0.01607
19571231     0.00847    -0.03735    -0.04889    -0.04147
19580131     0.05410     0.04970     0.10635     0.04276
19580228     0.02379    -0.01402    -0.01180    -0.02062
19580331     0.05327     0.03374     0.03598     0.03085
19580430     0.01445     0.03078     0.03015     0.03183
19580529    -0.00456     0.02452     0.03928     0.01496
19580630     0.05806     0.02949     0.03181     0.02608
19580731     0.00136     0.04506     0.05429     0.04310
19580829     0.00853     0.01911     0.02992     0.01187
19580930     0.09677     0.04872     0.05246     0.04838
19581031     0.06618     0.02737     0.03246     0.02537
19581128     0.02908     0.03026     0.04205     0.02240
19581231     0.22679     0.05321     0.03906     0.05202
19590130    -0.06495     0.00907     0.04149     0.00380
19590227     0.05877     0.01106     0.02749    -0.00018
19590331     0.02647     0.00471     0.01279     0.00054
19590430     0.07919     0.03841     0.02559     0.03878
19590529     0.20435     0.01894     0.00759     0.01893
19590630    -0.04681     0.00095     0.00449    -0.00358
19590731    -0.04464     0.03403     0.03015     0.03489
19590831    -0.00701    -0.01266    -0.01507    -0.01504
19590930    -0.03062    -0.04488    -0.04590    -0.04564
19591030    -0.00608     0.01550     0.02322     0.01125
19591130     0.06748     0.01826     0.01487     0.01321
19591231     0.00516     0.02813     0.02124     0.02763
19600129    -0.05077    -0.06660    -0.03910    -0.07146
19600229     0.00661     0.01275     0.00813     0.00917
19600331     0.05024    -0.01115    -0.02447    -0.01390
19600429     0.03075    -0.01509    -0.01919    -0.01753
19600531     0.11547     0.03352     0.02533     0.02685
19600630     0.03571     0.02333     0.02136     0.01952
19600729     0.00479    -0.02097    -0.01807    -0.02477
19600831     0.02336     0.03020     0.03496     0.02612
19600930    -0.03731    -0.05836    -0.05880    -0.06039
19601031    -0.00969    -0.00476    -0.02299    -0.00243
19601130     0.09149     0.04845     0.04658     0.04027
19601230     0.06463     0.04841     0.03739     0.04627
19610131     0.07251     0.06418     0.08239     0.06316
19610228     0.06250     0.03680     0.05986     0.02687
19610330     0.02963     0.03062     0.05044     0.02554
19610428     0.02734     0.00563     0.00941     0.00384
19610531     0.02752     0.02581     0.04177     0.01914
19610630    -0.02661    -0.02839    -0.04238    -0.02885
19610731     0.02419     0.02988     0.01154     0.03280
19610831     0.06797     0.02682     0.02112     0.01962
19610929     0.03561    -0.01998    -0.02977    -0.01969
19611031     0.09201     0.02748     0.02110     0.02832
19611130    -0.01174     0.04540     0.04630     0.03935
19611229    -0.00172     0.00088    -0.00351     0.00322
19620131    -0.06390    -0.03616    -0.00789    -0.03788
19620228    -0.00784     0.01946     0.01544     0.01627
19620330    -0.00791    -0.00463    -0.00594    -0.00586
19620430    -0.14782    -0.06343    -0.06806    -0.06197
19620531    -0.13381    -0.08447    -0.09804    -0.08599
19620629    -0.13567    -0.08257    -0.08497    -0.08184
19620731     0.14075     0.06546     0.06378     0.06356
19620831     0.02584     0.02342     0.03734     0.01528
19620928    -0.10789    -0.05015    -0.06390    -0.04821
19621031    -0.02122     0.00220    -0.03969     0.00444
19621130     0.15390     0.11008     0.12109     0.10156
19621231    -0.02133     0.01186    -0.02560     0.01349
19630131     0.08654     0.05185     0.08914     0.04913
19630228    -0.05428    -0.02193    -0.01448    -0.02885
19630329     0.05316     0.03292     0.01203     0.03546
19630430     0.10154     0.04744     0.02689     0.04852
19630531     0.03127     0.02005     0.03231     0.01433
19630628    -0.08591    -0.01803    -0.01038    -0.02020
19630731    -0.00401    -0.00172    -0.00630    -0.00346
19630830     0.02589     0.05268     0.04231     0.04875
19630930     0.01630    -0.01190    -0.01037    -0.01103
19631031     0.09292     0.02771     0.01221     0.03222
19631129    -0.01518    -0.00555    -0.01614    -0.01054
19631231     0.04482     0.02174    -0.00423     0.02444
19640131     0.06903     0.02579     0.03209     0.02693
19640228     0.05212     0.01721     0.02517     0.00987
19640331     0.04438     0.01764     0.02551     0.01517
19640430    -0.04039     0.00461     0.00100     0.00608
19640528     0.05491     0.01740     0.00751     0.01145
19640630    -0.00625     0.01508     0.01041     0.01642
19640731    -0.03145     0.02012     0.03016     0.01824
19640831    -0.04383    -0.01127    -0.00604    -0.01623
19640930    -0.00908     0.03048     0.03825     0.02872
19641030    -0.03780     0.00887     0.01882     0.00808
19641130    -0.01488     0.00309    -0.00052    -0.00519
19641231    -0.00727     0.00369    -0.01236     0.00391
19650129     0.09524     0.03865     0.07140     0.03316
19650226     0.01951     0.00695     0.03232    -0.00148
19650331    -0.00329    -0.00971     0.01539    -0.01453
19650430     0.06769     0.03365     0.04156     0.03424
19650528    -0.01134    -0.00435    -0.00585    -0.00774
19650630    -0.04184    -0.05187    -0.08372    -0.04863
19650730     0.04585     0.01676     0.02863     0.01343
19650831     0.04489     0.03088     0.04184     0.02252
19650930     0.02705     0.03195     0.02742     0.03201
19651029     0.04000     0.02927     0.05868     0.02735
19651130    -0.01220     0.00307     0.04654    -0.00876
19651231    -0.04952     0.01354     0.04298     0.00895
19660131    -0.00601     0.01212     0.06417     0.00487
19660228     0.04133    -0.00862     0.02886    -0.01787
19660331     0.00194    -0.02092    -0.00889    -0.02182
19660429     0.08043     0.02484     0.04662     0.02051
19660531    -0.02103    -0.05254    -0.08602    -0.05414
19660630    -0.02968    -0.01032    -0.00499    -0.01614
19660729    -0.02782    -0.01287    -0.01632    -0.01345
19660831    -0.05620    -0.07539    -0.10071    -0.07775
19660930    -0.00936    -0.00696    -0.01816    -0.00700
19661031     0.04567     0.04229    -0.01439     0.04754
19661130     0.13584     0.01751     0.04072     0.00312
19661230    -0.01197     0.00621     0.01731    -0.00149
19670131     0.07537     0.08553     0.17210     0.07818
19670228     0.07910     0.01094     0.04237     0.00196
19670331     0.04884     0.04338     0.05824     0.03941
19670428     0.10089     0.04161     0.04193     0.04224
19670531    -0.03523    -0.03929    -0.00810    -0.05244
19670630     0.06702     0.02690     0.08196     0.01751
19670731     0.02060     0.04919     0.08325     0.04534
19670831    -0.01359    -0.00628     0.00631    -0.01172
19670929     0.09705     0.03428     0.06296     0.03279
19671031     0.08254    -0.02743    -0.02059    -0.02906
19671130     0.03302     0.00790     0.00088     0.00106
19671229     0.02451     0.03370     0.08046     0.02628
19680131    -0.05183    -0.03633     0.02390    -0.04385
19680229    -0.02220    -0.03363    -0.05612    -0.03122
19680329     0.05603     0.00512    -0.01122     0.00940
19680430     0.10612     0.09415     0.14303     0.08193
19680531     0.05579     0.02704     0.09131     0.01117
19680628    -0.00910     0.01153     0.01622     0.00912
19680730    -0.04240    -0.02202    -0.02621    -0.01848
19680830    -0.00915     0.01804     0.03592     0.01146
19680930     0.00000     0.04445     0.06881     0.03854
19681031    -0.08164     0.00904     0.00691     0.00721
19681129     0.08713     0.05851     0.07199     0.04796
19681231    -0.05618    -0.03387     0.00590    -0.04162
19690131    -0.05952    -0.00671    -0.00169    -0.00818
19690228    -0.00700    -0.05364    -0.08573    -0.04737
19690328     0.07030     0.03050     0.02029     0.03444
19690430     0.04459     0.02053     0.00346     0.02148
19690529    -0.02500     0.00504     0.00626    -0.00222
19690630     0.05878    -0.06739    -0.11340    -0.05558
19690731    -0.03923    -0.06517    -0.09582    -0.06018
19690829     0.06626     0.05149     0.05218     0.04007
19690930     0.00072    -0.02259    -0.02462    -0.02502
19691031     0.04417     0.05565     0.09253     0.04424
19691128    -0.00693    -0.03217    -0.05508    -0.03527
19691231     0.02101    -0.01968    -0.06618    -0.01865
19700130    -0.08025    -0.07325    -0.03883    -0.07647
19700227     0.01849     0.05671     0.04020     0.05269
19700331    -0.00514    -0.00473    -0.02371     0.00145
19700430    -0.11965    -0.10532    -0.16196    -0.09048
19700529    -0.06309    -0.06435    -0.09052    -0.06097
19700630    -0.10072    -0.05107    -0.07390    -0.05003
19700731     0.01380     0.07417     0.05926     0.07329
19700831     0.05550     0.05004     0.06162     0.04446
19700930     0.09577     0.04754     0.12610     0.03300
19701030     0.01183    -0.01821    -0.05860    -0.01140
19701130     0.04507     0.05045     0.00302     0.04745
19701231     0.03417     0.06072     0.08132     0.05677
19710129     0.02439     0.05203     0.13610     0.04048
19710226     0.03779     0.01691     0.04791     0.00907
19710331     0.06241     0.04478     0.05660     0.03680
19710430     0.00070     0.03333     0.02709     0.03629
19710528    -0.08232    -0.03641    -0.04944    -0.04156
19710630    -0.03058     0.00312    -0.01724     0.00070
