  ibm        sp5   summer
  3.2787   -7.2001  0
  5.5908    4.5260  0
 11.8050    3.6920  0
  4.7189    2.2143  0
 -1.6262   -3.9885  1
  1.2225   -2.5831  1
 -6.4805   -7.5737  1
 -8.6223  -10.7029  0
 -0.9525   -0.8052  0
  0.2986   -1.1526  0
  0.9564    4.2044  0
  5.0455    2.3257  0
 -3.9219   -1.4799  0
 -1.1921   -1.6994  0
 -7.4659   -3.9666  0
  4.0508   -0.8960  0
  2.9559    5.1263  1
  4.2762    3.5522  1
  0.0000   -2.8317  1
  0.2337   -1.3805  0
  1.1612    2.0959  0
  5.3674   -2.8935  0
  5.5964    2.0469  0
 -8.2480   -4.0687  0
  6.6724   -4.8109  0
  4.7370    7.4309  0
  0.7095    2.6184  0
  3.8134    7.5265  0
  0.0000    0.2995  1
 -4.9138   -5.4636  1
  8.1147    0.7541  1
 -4.9621   -3.0521  0
  7.7609    6.5591  0
 -2.8821  -11.4536  0
  4.8428    3.0054  0
  5.1995    0.1319  0
 -4.9106   -4.0218  0
  4.7828    2.9656  0
  3.0141   -2.1479  0
  0.0000   -3.8024  0
 -4.8319   -0.2112  1
  9.7408    6.0295  1
  0.0000    1.1899  1
  5.8495    2.3375  0
 11.1452    2.9102  0
 -1.4079    0.1249  0
 16.2263    4.2667  0
  5.3190    1.7152  0
 -0.8809    0.9921  0
  3.7084    0.4062  0
 -1.9458    4.4122  0
  2.1595    3.8538  0
-10.3928   -5.9792  1
-10.0086    0.8444  1
  9.0517    3.1993  1
  2.8578    5.4412  0
 -0.9434    0.4102  0
  1.0604   -0.1020  0
  1.7516    4.5098  0
  5.5709    5.9438  0
 -4.2260    0.6439  0
 -1.8235   -1.8520  0
  0.6111    4.7008  0
 -0.2443   -4.1416  0
 -1.7350   -2.6365  1
  6.7659    6.6443  1
  3.8951    3.8538  1
 -2.0529   -0.0860  0
 -6.6695   -1.3856  0
  0.9802   -0.2623  0
  6.8667    3.8163  0
 -3.3443    1.5450  0
 -4.9663   -3.7131  0
  0.7839    4.6616  0
 -1.3105   -4.4046  0
  5.8920    2.2896  0
  9.0754    4.5069  1
 -0.4581    1.7476  1
 -0.8062   -1.4677  1
 -1.9937   -1.9774  0
  2.1106   -0.0810  0
  6.9461    4.5442  0
  7.1362    3.4846  0
 -1.3916   -0.7176  0
  2.7635   -1.8368  0
  1.4632   -2.3832  0
 -5.1072   -2.6847  0
  4.9000   -0.3255  0
 -3.0738   -1.6434  1
  3.2825    2.4956  1
 -0.4179   -5.9517  1
 -2.9851    0.1289  0
  0.8623    4.9704  0
  3.1683    0.8920  0
  5.5529    0.2018  0
  5.3218    4.9923  0
  4.3203    0.2676  0
 20.9020    2.9763  0
  0.5972    4.7837  0
  6.7257    3.2380  0
  4.6044    0.0690  1
 -0.5013    5.5595  1
 -4.9800   -3.4591  1
  3.4730    7.9864  0
  6.1227   -1.9693  0
 17.0755    7.7711  0
 -1.7797    4.9571  0
  2.5902    1.7909  0
  0.4032    0.3544  0
  6.5038   -0.4912  0
  7.5191    3.7036  0
 -2.1254   -0.1321  0
 -0.7206    7.9088  1
  1.5539    5.8920  1
 -3.9937   -0.7841  1
 -1.7482    1.1286  0
 -4.3764   -3.0933  0
  4.6282    7.2200  0
  3.9692   -0.0660  0
 -3.2792   -3.7183  0
  5.0009    3.4102  0
 19.0844    6.6958  0
  6.8322   -0.2062  0
  1.5214   -6.7990  0
 13.0765    3.8413  1
  5.0779    5.0237  1
 -5.8986   -3.8803  1
 -6.7230   -4.6526  0
  3.0442    0.5057  0
  4.6034   -1.1031  0
 10.1256    3.4662  0
 -4.1593   -4.2678  0
 -1.6546   -3.3195  0
  2.1399    1.9459  0
  9.6273    3.6284  0
  5.9796    3.6284  0
 11.6840   -0.1271  1
  1.6483    1.1336  1
 -6.0961   -5.7788  1
 -5.0294   -6.3920  0
 -0.6682   -3.2585  0
  3.9740    1.5942  0
  0.8434   -4.2354  0
  5.2687    4.1871  0
  2.3511   -2.0836  0
  5.1900    3.0384  0
  1.4347    3.1334  0
 -0.4570    1.4849  0
  5.6437    2.5746  1
  0.1359    4.2197  1
  0.8494    1.1800  1
  9.2369    4.7246  0
  6.4082    2.5054  0
  2.8665    2.2153  0
 20.4401    5.0712  0
 -6.7155    0.3793  0
  5.7108   -0.0180  0
  2.6126    0.0540  0
  7.6211    3.8047  0
 18.5940    1.8753  0
 -4.7941   -0.3586  1
 -4.5667    3.4295  1
 -0.7035   -1.5154  1
 -3.1099   -4.6714  0
 -0.6099    1.1187  0
  6.5301    1.3124  0
  0.5147    2.7255  0
 -5.2104   -7.4142  0
  0.6588    0.9128  0
  4.9019   -1.3997  0
  3.0287   -1.7686  0
 10.9276    2.6496  0
  3.5087    1.9332  1
  0.4779   -2.5082  1
  2.3091    2.5785  1
 -3.8024   -6.2290  0
 -0.9737   -0.2433  0
  8.7544    3.9480  0
  6.2627    4.5231  0
  7.0002    6.1246  0
  6.0625    2.6515  0
  2.9200    2.5219  0
  2.6973    0.3833  0
  2.7148    1.8959  0
 -2.6971   -2.9274  1
  2.3902    3.2274  1
  6.5760    1.9430  1
  3.4991   -1.9886  0
  8.8020    2.7926  0
 -1.1810    3.8595  0
 -0.1722    0.3215  0
 -6.6033   -3.8616  0
 -0.7871    1.6139  0
 -0.7941   -0.5877  0
-15.9958   -6.3973  0
-14.3651   -8.9914  0
-14.5801   -8.5384  1
 13.1686    6.1622  1
  2.5512    1.5164  1
-11.4166   -4.9411  0
 -2.1448    0.4430  0
 14.3147    9.6727  0
 -2.1561    1.3400  0
  8.2998    4.7961  0
 -5.5809   -2.9274  0
  5.1795    3.4846  0
  9.6709    4.7380  0
  3.0791    1.4228  0
 -8.9826   -2.0407  1
 -0.4018   -0.3466  1
  2.5561    4.7599  1
  1.6169   -1.1091  0
  8.8853    3.1712  0
 -1.5296   -1.0596  0
  4.3845    2.4146  0
  6.6752    2.6574  0
  5.0807    0.9822  0
  4.3423    1.5056  0
 -4.1228    0.6062  0
  5.3456    1.1385  0
 -0.6270    1.6287  1
 -3.1955    1.8076  1
 -4.4820   -1.6363  1
 -0.9122    2.8315  0
 -3.8533    0.8048  0
 -1.4992   -0.5203  0
 -0.7297    0.3902  0
  9.0974    3.2622  0
  1.9322   -0.1481  0
 -0.3295   -1.4637  0
  6.5497    3.3667  0
 -1.1405   -0.7770  0
 -4.2741   -4.9852  1
  4.4830    1.3341  1
  4.3912    2.2270  1
  2.6691    3.1508  0
  3.9221    2.6983  0
 -1.2275   -0.8799  0
 -5.0788    0.8910  0
 -0.6028    0.4858  0
  4.0499   -1.8032  0
  0.1938   -2.2062  0
  7.7359    2.0303  0
 -2.1254   -5.5661  0
 -3.0129   -1.6272  1
 -2.8214   -1.3541  1
 -5.7841   -8.0939  1
 -0.9404   -0.7025  0
  4.4658    4.6445  0
 12.7373    0.3115  0
 -1.2042   -0.1491  0
  7.2665    7.5274  0
  7.6127    0.1958  0
  4.7685    3.8653  0
  9.6119    4.1372  0
 -3.5865   -5.3865  0
  6.4870    1.7358  1
  2.0391    4.4342  1
 -1.3683   -1.1789  1
  9.2625    3.2264  0
  7.9310   -2.9491  0
  3.2487    0.1059  0
  2.4214    2.5941  0
 -5.3222   -4.4840  0
 -2.2450   -3.1718  0
  5.4517    0.9356  0
 10.0858    7.8747  0
  5.4289    1.1108  0
 -0.9142    0.9079  1
 -4.3325   -1.8653  1
 -0.9192    1.1395  1
  0.0000    3.7816  0
 -8.5166    0.7184  0
  8.3541    4.6845  0
 -5.7820   -4.2511  0
 -6.1365   -0.8214  0
 -0.7025   -4.8529  0
  6.7939    3.3860  0
  4.3625    2.1253  0
 -2.5318   -0.2222  0
  5.7117   -5.7184  1
 -4.0020   -6.2067  1
  6.4157    3.9288  1
  0.0720   -2.5338  0
  4.3222    4.3289  0
 -0.6954   -3.5907  0
  2.0792   -1.8826  0
 -8.3653   -7.9552  0
  1.8321    5.1349  0
 -0.5153    0.1449  0
-12.7436   -9.4838  0
 -6.5168   -6.2908  0
-10.6161   -5.1325  1
  1.3706    7.0729  1
  5.4015    4.3500  1
  9.1457    3.2467  0
  1.1761   -1.1466  0
  4.4084    4.6359  0
  3.3599    5.5217  0
  2.4097    3.9682  0
  3.7094    0.9029  0
  6.0540    3.6139  0
  0.0700    3.5647  0
 -8.5906   -4.2448  0
 -3.1057    0.0700  1
 -8.4719   -4.2198  1
  4.7113    3.5464  1
 -0.0820   -0.6994  0
 -1.0758   -4.2688  0
  2.0753   -0.2553  0
  9.6646    8.2667  0
  8.9484    1.7958  0
  0.5017    2.4985  0
  3.6631    0.5893  0
  0.9762    0.4370  0
  3.3377    1.7132  0
 -1.4566   -2.2062  1
  2.2075    0.2327  1
  2.2456    3.3870  1
 -0.4912   -0.4872  0
 -5.3042    0.9277  0
  1.7614    4.4610  0
  2.7742    1.1761  0
  8.0040   -1.7258  0
 -0.5988   -3.8211  0
  0.0000   -0.1431  0
 -5.5999   -4.1656  0
 -3.2792   -1.9060  0
  0.7125   -0.6592  1
 -0.7921    3.7276  1
 -4.0156   -3.7370  1
-15.4154    3.9317  0
  8.2722   -0.1291  0
 -5.1736  -12.0880  0
 -7.1356    1.6434  0
 -0.6099   -1.0101  0
 -2.5164   -0.3627  0
 -0.8970   -2.3555  0
 -3.6726   -3.9833  0
 -6.1099   -3.4126  0
  0.1179   -1.4779  1
 -5.3707   -8.0982  1
 -4.1135   -9.4618  1
-18.8597  -12.7072  0
 17.3508   15.1046  0
 -5.6422   -5.4646  0
 -5.3601   -2.0356  0
 11.3811   11.5835  0
 14.2124    5.8165  0
 -4.2052    2.1458  0
  1.5608    4.6177  0
  3.1082    4.3155  0
 -2.8307    4.3366  1
 -9.3992   -7.0047  1
 -1.1901   -2.1295  1
  1.0683   -3.5264  0
 11.9994    5.9815  0
  7.2125    2.4410  0
 -0.9434   -1.1577  0
 13.9231   11.1819  0
 -0.1451   -1.1466  0
  2.4634    3.0229  0
 -3.3474   -1.1061  0
  1.9538   -1.4464  0
  7.5497    4.0114  1
 -1.6851   -0.8093  1
  1.3686   -0.5133  1
  2.7926    2.2387  0
 -3.4809   -2.2481  0
  0.5505   -0.7800  0
  2.9539    5.1168  0
 -1.3977   -5.1851  0
  1.1741   -2.1898  0
  0.1808   -1.4129  0
 -6.6354    0.0200  0
 -4.2438   -2.3852  0
  7.2656    4.4361  1
  1.5509   -1.6353  1
  1.0208   -2.1265  1
 -2.7865   -0.2483  0
 -1.4474   -4.4380  0
  3.5329    2.6613  0
  3.5348    0.2846  0
 -2.9686   -6.3483  0
 -4.3764   -2.5072  0
 -6.4741    2.4624  0
 12.1784    8.1967  0
 -1.8480    0.4221  0
 -0.3877   -1.7746  1
  8.8304    5.2507  1
  4.7790    2.5590  1
 -5.2304   -0.7286  0
 -4.7123   -9.6037  0
  3.0306    1.6503  0
 10.2205    1.4780  0
  3.3763    3.8980  0
 -1.7350   -3.7214  0
  5.0379    5.3683  0
 -0.3968    0.1669  0
 -2.1908   -2.6693  0
 -3.5151    3.7931  1
 -5.0662    0.8712  1
  1.5785    5.1719  1
 -3.2668    0.0000  0
 -8.2664   -7.1077  0
  5.8156    4.1737  0
 -1.3501    1.6631  0
  6.3932    5.6021  0
 -6.4165   -0.4390  0
-13.0166  -10.7351  0
 -1.5825    4.0316  0
  2.4478    4.5518  0
  5.9165    2.6613  1
 10.4936    6.3012  1
  1.6867    0.5823  1
 -2.1213    2.4859  0
  3.8249    1.5893  0
  3.4807    9.7472  0
 -0.3677   -3.4457  0
 -5.2947   -4.6819  0
  1.1355    1.3193  0
 -2.9614    3.5396  0
 -6.2003   -2.3740  0
  1.6660   -0.1661  0
 -1.5002   -1.0465  1
 -3.0707   -0.2212  1
 -0.2493   -6.4112  1
 -1.8306   -5.5333  0
 -4.9716    4.7980  0
  7.2274    3.5937  0
  4.2657   -3.0542  0
 11.2149   -1.7696  0
 -1.4089   -6.2461  0
 -3.4943   -1.0222  0
  7.2609    3.9230  0
 -2.9861   -3.9947  0
 -1.4332   -2.0499  1
  7.9246   -2.3258  1
  8.3780   10.9733  1
  3.9970    0.7581  0
  8.4883   10.4684  0
  8.9576    3.5483  0
 10.6807    1.5046  0
  2.6905    3.2593  0
  0.9911    1.8822  0
  2.7401    3.2554  0
 13.9658    7.2246  0
 -4.1895   -1.2427  0
  7.7794    3.4614  1
  0.1040   -3.3567  1
  0.0620    1.1256  1
  5.9890    1.0109  0
 -0.0991   -1.5286  0
 -6.8782    1.7280  0
  3.8644   -0.8869  0
 -6.6728   -0.9263  0
 -2.5964   -3.9635  0
  3.3444    1.3410  0
 -0.2192    0.5455  0
 -4.5416   -6.1195  0
 -1.8734    1.7319  1
  4.6196   -1.6587  1
 11.9834   10.1048  1
  0.4032   -0.3486  0
  1.1800   -0.0060  0
 -2.3340   -1.5225  0
  1.1227    2.2123  0
 10.2205    7.1474  0
 -0.9394    0.8643  0
 -5.3654   -0.2934  0
 -0.3948   -0.4601  0
  2.5171    5.2640  0
 -3.8637    1.2057  1
  5.9796   -0.4862  1
 -2.8173   -1.2062  1
 -2.1959   -3.5337  0
  4.7303    4.1631  0
  8.1119    6.3031  0
 10.6790    4.4074  0
 -2.6056    0.2367  0
  0.3135    6.9050  0
  0.4132    5.1444  0
  3.0869   -1.4251  0
 -1.7920    4.9009  0
 -3.9323    1.4011  1
-10.0439   -6.0472  1
  5.3986    6.8770  1
 -3.1109   -8.9312  0
 -8.4317    5.3285  0
  3.6534    2.1253  0
 -5.7682   -2.8698  0
  7.0384   12.3783  0
  8.8048    3.6255  0
  7.3399    2.6048  0
  6.4485   -1.1516  0
  0.6072    0.6012  0
  1.5509    4.6798  1
 -0.9273    4.7094  1
  5.1301    3.4363  1
-11.0574   -2.4467  0
-20.7516  -24.5427  0
 -9.0954   -8.9214  0
  4.1996    7.0328  0
 -2.7433    3.9634  0
  5.3910    4.0969  0
 -8.7783   -3.3908  0
  5.2052    0.9376  0
  0.1978    0.3175  0
 12.4180    4.2350  1
 -1.2842   -0.5425  1
-11.0451   -3.9365  1
  3.4160    3.8961  0
  6.0945    2.5629  0
 -2.4979   -1.9071  0
  2.8082    1.4583  0
  6.9330    6.8696  0
 -6.3408   -2.9367  0
-10.7418    2.0596  0
  4.3701    4.8876  0
 -2.8153    3.4537  0
  2.0312   -0.7951  1
  2.7547    8.4681  1
  2.8588    1.5401  1
 -6.9607   -0.6561  0
 -8.5972   -2.5502  0
 -1.4210    1.6405  0
 -3.6508    2.1194  0
  4.6702   -7.1303  0
  6.3444    0.8504  0
  2.1429    2.3970  0
  2.6730   -2.7258  0
 10.6178    8.8002  0
 -2.1050   -0.8930  1
 -5.2410   -0.5234  1
 -7.8470   -9.9058  1
  4.3222   -5.2536  0
 -0.9445   -0.6722  0
  8.5967    5.8203  0
 -0.5515    2.4527  0
 11.4828    4.0681  0
  2.5015    6.5113  0
-12.2767    2.1957  0
-10.0373    0.0350  0
  4.1228    3.7854  0
 -8.8624   -4.9075  1
  4.1593    4.3883  1
 -3.1759    1.9459  1
  6.7359   -1.9325  0
 -5.3264    1.1790  0
 -4.7312   -4.4924  0
 -3.8575   10.5791  0
  1.1177   -2.0101  0
 -2.1510    0.9515  0
 -3.9625   -2.2072  0
  8.3265    2.7508  0
  1.3242    0.0959  0
  7.5581   -1.7513  1
 -3.2451    3.8615  1
 -7.5780   -2.4293  1
 -7.0229    0.9069  0
-18.8537    0.2108  0
  3.7922    2.9811  0
-30.3676    1.0059  0
  2.2084    0.7025  0
  6.4204    1.0425  0
 -6.6535    1.8527  0
 -4.5238   -2.5749  0
  9.1612    2.2466  0
 -6.6118    0.0760  1
-10.3950   -0.5344  1
  3.3154    3.3851  1
 -8.5525   -1.0040  0
  9.0974    1.9204  0
 16.2654   -1.2994  0
  4.7570    1.0039  0
  0.0000    3.1983  0
 -6.1588   -3.0511  0
  3.2564   -4.6830  0
  5.1292    1.1464  0
  9.5310    1.2343  0
 -6.9843   -2.7176  1
  5.1824    3.0985  1
 10.5359    3.6949  1
  1.6287   -2.7268  0
  6.7677    2.0616  0
 -4.8119   -4.0301  0
  3.8134    1.2225  0
 -1.8887    2.3990  0
  4.5728    3.5435  0
  8.7425    2.6963  0
 14.1682    2.7576  0
 -1.4637    3.5666  0
  3.1751    2.1057  1
 12.5848    3.1286  1
 -4.9421   -0.0320  1
 -8.9761    3.9317  0
  2.8685   -0.4992  0
 -0.3868    4.0230  0
 -5.5862    1.7290  0
 17.1775    3.2099  0
 12.4419    0.6906  0
 -9.7348    0.7889  0
 -3.1965    1.3341  0
 -0.6048    2.2593  0
 -7.5370    0.2257  1
  8.2372   -4.6830  1
  6.5048    1.8635  1
  8.4819    5.2782  0
  3.5502    2.5765  0
 21.3643    7.0813  0
 -5.0672   -2.1745  0
  3.4865    5.9513  0
 -8.4937    0.5913  0
 -4.6274   -4.3544  0
 15.6491    5.6768  0
  7.7304    5.6928  0
  4.2437    4.2533  1
 15.8498    7.5247  1
 -4.0280   -5.9187  1
  4.4610    5.1786  0
 -7.3377   -3.5089  0
 10.7697    4.3625  0
 -4.5541    1.5608  0
 -5.7788    1.0099  0
  5.7910    6.8079  0
 -0.5405    4.8742  0
 10.9321    0.9049  0
  1.5795   -1.9020  0
 -2.3136    3.8682  1
 14.3286   -1.1688  1
-16.0568  -15.7321  1
 13.1861    6.0305  0
 14.4654    7.7193  0
 10.7445    5.7448  0
 11.0270    5.4848  0
 -0.6119    4.0191  0
 -7.5230   -3.2812  0
  4.3232    3.8057  0
 16.5667    3.7238  0
 10.4540   -2.5287  0
 10.8155    5.3010  1
 -2.7947   -3.2575  1
 -0.8032   -0.6270  1
 -2.9017   -2.8965  0
-20.8280    6.0662  0
  4.8981    1.8881  0
  4.5633    5.6229  0
