hour min second price      volume
  9 38 09    40.1100      100
  9 38 09    40.1100      100
  9 38 09    40.1100      100
  9 38 09    40.1100      100
  9 38 09    40.0500      100
  9 38 09    40.1000      100
  9 38 09    40.1000      100
  9 38 10    40.0600      200
  9 38 11    40.1000      200
  9 38 11    40.1000      100
  9 38 11    40.1100      100
  9 38 11    40.1100      200
  9 38 11    40.0600      100
  9 38 11    40.0600      100
  9 38 15    40.1000      168
  9 38 15    40.1100      100
  9 38 15    40.1100      100
  9 38 15    40.1100      400
  9 38 16    40.1250      700
  9 38 16    40.1250      400
  9 38 17    40.1000      200
  9 38 18    40.1000      100
  9 38 18    40.1300      200
  9 38 19    40.1200      100
  9 38 21    40.1600      300
  9 38 22    40.1400      100
  9 38 24    40.1200      100
  9 38 24    40.1200      100
  9 38 24    40.1200      300
  9 38 25    40.1300      100
  9 38 25    40.1200      100
  9 38 25    40.1200      100
  9 38 26    40.1000      100
  9 38 26    40.1050      100
  9 38 26    40.1100      100
  9 38 28    40.0600      100
  9 38 28    40.0600      100
  9 38 33    40.1200      160
  9 38 33    40.1200      100
  9 38 43    40.1300      100
  9 38 43    40.1300      100
  9 39 07    40.1200      100
  9 39 12    40.1000      100
  9 39 15    40.1300      900
  9 39 15    40.1000      100
  9 39 15    40.1000      100
  9 39 15    40.1000      100
  9 39 16    40.1000      103
  9 39 16    40.1000      106
  9 39 16    40.1000      100
  9 39 16    40.1000      100
  9 39 16    40.1000      102
  9 39 16    40.1000      100
  9 39 16    40.1000      200
  9 39 16    40.1000      100
  9 39 16    40.1300      100
  9 39 16    40.1000      100
  9 39 16    40.1000      100
  9 39 16    40.1000      121
  9 39 16    40.1000      100
  9 39 16    40.1000      100
  9 39 16    40.0900      100
  9 39 19    40.0900      300
  9 39 24    40.0900      100
  9 39 36    40.0900      100
  9 39 43    40.1300      100
  9 39 44    40.1200      200
  9 39 46    40.0900      100
  9 39 46    40.0900      100
  9 39 46    40.0900      300
  9 39 47    40.1300      100
  9 39 48    40.1000      100
  9 39 50    40.1000      100
  9 39 55    40.0900      100
  9 39 57    40.1300      500
  9 39 57    40.1400      100
  9 39 57    40.1400      100
  9 39 57    40.1400      300
  9 39 57    40.1400      100
  9 39 57    40.1500      100
  9 39 57    40.1500      100
  9 39 57    40.1500      100
  9 39 57    40.1500      100
  9 39 57    40.1500      100
  9 39 57    40.1500      100
  9 39 57    40.1400      600
  9 39 58    40.1600      300
  9 39 58    40.1700      600
  9 39 58    40.1500      300
  9 39 58    40.1300      100
  9 39 58    40.2100      100
  9 39 58    40.1800      100
  9 39 58    40.2400      100
  9 39 58    40.2000      300
  9 39 58    40.2000      100
  9 39 58    40.2000      100
  9 39 59    40.2500      100
  9 39 59    40.2700      100
  9 39 59    40.2700      100
  9 39 59    40.3100      200
  9 40 00    40.3100      100
  9 40 00    40.3100      100
  9 40 00    40.3100      100
  9 40 00    40.3100      100
  9 40 00    40.2900      200
  9 40 03    40.3100      100
  9 40 03    40.3400      135
  9 40 05    40.3300      100
  9 40 05    40.3200      200
  9 40 09    40.3400      100
  9 40 09    40.3400      100
  9 40 09    40.3400      100
  9 40 09    40.3400      200
  9 40 09    40.3400      500
  9 40 09    40.3400      800
  9 40 11    40.3100      200
  9 40 11    40.3100      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 13    40.3400      100
  9 40 14    40.3400      700
  9 40 14    40.3400      500
  9 40 14    40.3400      800
  9 40 14    40.3400     1300
  9 40 14    40.3500      100
  9 40 18    40.3500      100
  9 40 25    40.3600      100
  9 40 26    40.4000      200
  9 40 26    40.4000      200
  9 40 26    40.4000      200
  9 40 26    40.4000      400
  9 40 26    40.4100      100
  9 40 26    40.3900      100
  9 40 28    40.3900      200
  9 40 29    40.3900      100
  9 40 29    40.4200      600
  9 40 29    40.4200      200
  9 40 29    40.4300      100
  9 40 32    40.4210      100
  9 40 33    40.4400      100
  9 40 33    40.4400      200
  9 40 33    40.4300      100
  9 40 33    40.4400      300
  9 40 33    40.4400      400
  9 40 33    40.4300      100
  9 40 33    40.4300      100
  9 40 33    40.4300      100
  9 40 33    40.4400      100
  9 40 33    40.4200      200
  9 40 33    40.4200      200
  9 40 34    40.4200      100
  9 40 36    40.4200      100
  9 40 37    40.4200      100
  9 40 37    40.4200      100
  9 40 38    40.3900      100
  9 40 41    40.3900      200
  9 40 42    40.4000      300
  9 40 42    40.3800      300
  9 40 42    40.3800      200
  9 40 45    40.4000      100
  9 40 45    40.4000      100
  9 40 46    40.4000      100
  9 40 48    40.4300      100
  9 40 48    40.4300      300
  9 40 50    40.4300      100
  9 40 50    40.4300      100
  9 40 50    40.3900      100
  9 40 51    40.4000      100
  9 40 55    40.4300      100
  9 40 55    40.4000      300
  9 40 55    40.3900      100
  9 40 55    40.3900      100
  9 40 58    40.3900      100
  9 40 58    40.4000      100
  9 41 00    40.4200      100
  9 41 00    40.4200      200
  9 41 01    40.4200      100
  9 41 01    40.4200      200
  9 41 01    40.3900      100
  9 41 01    40.3900      100
  9 41 01    40.3900      100
  9 41 02    40.3700      500
  9 41 11    40.3900      100
  9 41 13    40.4300      100
  9 41 20    40.4100      100
  9 41 20    40.4100      100
  9 41 21    40.4400      100
  9 41 21    40.4400      100
  9 41 21    40.3900      100
  9 41 21    40.4000      100
  9 41 26    40.3900      100
  9 41 27    40.3900      100
  9 41 27    40.3900      100
  9 41 27    40.4300      200
  9 41 29    40.4300      100
  9 41 29    40.4300      400
  9 41 29    40.4300      100
  9 41 29    40.4300      200
  9 41 44    40.4064      500
  9 41 48    40.4000      100
  9 41 48    40.4000      100
  9 41 48    40.4200      400
  9 41 48    40.4200      500
  9 41 49    40.4200      100
  9 41 50    40.4000      100
  9 41 52    40.4200      100
  9 41 52    40.4200      100
  9 41 55    40.4125      100
  9 41 55    40.4200      300
  9 41 56    40.4200      100
  9 41 56    40.3900      100
  9 41 56    40.3900      100
  9 41 56    40.3900      100
  9 41 57    40.4200      900
  9 41 57    40.4050      100
  9 41 57    40.4000      100
  9 41 57    40.4000      100
  9 41 57    40.3900      200
  9 41 57    40.4000      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3700      100
  9 41 58    40.3700      100
  9 41 58    40.3800      100
  9 41 58    40.3900      100
  9 41 58    40.4000      100
  9 41 58    40.3900      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3800      100
  9 41 58    40.3600      100
  9 41 58    40.3800      100
  9 41 58    40.3500      200
  9 41 58    40.3500      100
  9 42 00    40.3500      100
  9 42 08    40.3700      100
  9 42 09    40.3700      100
  9 42 09    40.3700      100
  9 42 09    40.3800      100
  9 42 09    40.3800      100
  9 42 09    40.3800      100
  9 42 09    40.3800      100
  9 42 09    40.3900      100
  9 42 09    40.4200      100
  9 42 10    40.4200      100
  9 42 13    40.3500      100
  9 42 13    40.3500      100
  9 42 13    40.3400      100
  9 42 13    40.3400      100
  9 42 17    40.3600      200
  9 42 33    40.3700      100
  9 42 36    40.3700      100
  9 42 43    40.3900      100
  9 42 43    40.3450      300
  9 42 48    40.3500      300
  9 42 53    40.3700      100
  9 42 53    40.4000      400
  9 42 59    40.3700      100
  9 42 59    40.3700      100
  9 43 02    40.4000      100
  9 43 02    40.4000      100
  9 43 08    40.4100      100
  9 43 08    40.4100      100
  9 43 08    40.4100      100
  9 43 09    40.4200      100
  9 43 09    40.4200      100
  9 43 10    40.4200      100
  9 43 10    40.4200      300
  9 43 10    40.4200      100
  9 43 12    40.4300      100
  9 43 16    40.4100      200
  9 43 17    40.4100      100
  9 43 18    40.4100      100
  9 43 18    40.4000      100
  9 43 18    40.4000      100
  9 43 18    40.3900      100
  9 43 18    40.4000      100
  9 43 18    40.4000      100
  9 43 19    40.4000      180
  9 43 19    40.4000      200
  9 43 19    40.4000      200
  9 43 19    40.4000      200
  9 43 19    40.4000      200
  9 43 20    40.4200      100
  9 43 20    40.4300      300
  9 43 20    40.4300      300
  9 43 20    40.4300      100
  9 43 20    40.3800      100
  9 43 21    40.3800      100
  9 43 21    40.3800      100
  9 43 21    40.3800      100
  9 43 23    40.3800      200
  9 43 23    40.3800      100
  9 43 23    40.3800      200
  9 43 23    40.3800      198
  9 43 23    40.3800      100
  9 43 23    40.3800      300
  9 43 23    40.3800      100
  9 43 23    40.3800      100
  9 43 23    40.3800      100
  9 43 23    40.3700      100
  9 43 24    40.3700      200
  9 43 29    40.4100      200
  9 43 29    40.4000      100
  9 43 33    40.3700      100
  9 43 33    40.3700      100
  9 43 33    40.3700      100
  9 43 34    40.3600      100
  9 43 35    40.3400      100
  9 43 37    40.4000      100
  9 43 37    40.4000      100
  9 43 39    40.3800      100
  9 43 40    40.3800      100
  9 43 46    40.4100      100
  9 43 46    40.4100      100
  9 43 46    40.4100      100
  9 43 46    40.4100      160
  9 43 46    40.4100      200
  9 43 46    40.3700      100
  9 43 47    40.3700      100
  9 43 49    40.4100      900
  9 43 50    40.3700      100
  9 43 50    40.3700      100
  9 43 51    40.4100      100
  9 43 51    40.4100      300
  9 43 52    40.4100      100
  9 43 52    40.4100      400
  9 43 53    40.4100      100
  9 43 54    40.4100      100
  9 43 56    40.4200      100
  9 43 56    40.4200      100
  9 43 56    40.4200      200
  9 43 56    40.4700      100
  9 43 57    40.4600      100
  9 43 57    40.4600      100
  9 43 57    40.4300      200
  9 43 57    40.4700      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4200      100
  9 44 01    40.4100      100
  9 44 02    40.4100      100
  9 44 03    40.4500      200
  9 44 03    40.4500      200
  9 44 05    40.4200      100
  9 44 05    40.4200      100
  9 44 05    40.4100      300
  9 44 05    40.4100      200
  9 44 05    40.4200      100
  9 44 07    40.4400     1000
  9 44 09    40.4000      100
  9 44 09    40.4000      100
  9 44 09    40.4000      100
  9 44 09    40.4300      100
  9 44 09    40.4400      100
  9 44 09    40.4400      400
  9 44 09    40.4400      100
  9 44 09    40.4000      200
  9 44 09    40.4400      200
  9 44 12    40.4000      300
  9 44 13    40.4000      100
  9 44 13    40.4000      100
  9 44 13    40.4000      100
  9 44 13    40.4000      100
  9 44 13    40.4000      100
  9 44 13    40.4000      100
  9 44 13    40.4100      100
  9 44 13    40.4000      100
  9 44 13    40.4400      100
  9 44 13    40.4400      200
  9 44 13    40.4400      700
  9 44 14    40.3700      100
  9 44 17    40.3700      100
  9 44 17    40.3700      100
  9 44 19    40.3700      100
  9 44 19    40.3700      100
  9 44 21    40.3800      100
  9 44 21    40.3700      100
  9 44 21    40.3700      100
  9 44 21    40.3600      100
  9 44 21    40.3700      100
  9 44 21    40.3600      100
  9 44 22    40.3600      100
  9 44 22    40.3500      300
  9 44 22    40.3500      200
  9 44 24    40.3300      100
  9 44 24    40.3800      100
  9 44 26    40.3800      100
  9 44 26    40.3800      100
  9 44 26    40.3500      200
  9 44 27    40.3800      100
  9 44 27    40.3799      100
  9 44 27    40.3800      200
  9 44 28    40.3600      100
  9 44 28    40.3800      300
  9 44 28    40.3800      300
  9 44 29    40.3635      140
  9 44 31    40.3600      100
  9 44 36    40.3400      100
  9 44 36    40.3300      100
  9 44 36    40.3600      100
  9 44 36    40.3300      100
  9 44 36    40.3300      100
  9 44 36    40.3600      100
  9 44 36    40.3300      200
  9 44 36    40.3200      100
  9 44 36    40.3300      100
  9 44 36    40.3200      100
  9 44 36    40.3200      100
  9 44 37    40.3200      100
  9 44 37    40.3200      100
  9 44 37    40.3200      100
  9 44 37    40.3200      400
  9 44 37    40.3100      200
  9 44 37    40.3100      100
  9 44 37    40.2900      600
  9 44 37    40.3100      600
  9 44 38    40.3700      300
  9 44 38    40.3700      100
  9 44 38    40.3700      200
  9 44 38    40.3100      100
  9 44 38    40.3000      200
  9 44 38    40.3000      100
  9 44 38    40.3000      100
  9 44 38    40.3000      100
  9 44 38    40.3100      200
  9 44 38    40.3000      100
  9 44 38    40.2900      300
  9 44 38    40.2900      200
  9 44 38    40.3000      200
  9 44 38    40.3000      100
  9 44 38    40.3100      100
  9 44 39    40.3100      100
  9 44 42    40.3000      100
  9 44 42    40.2800      200
  9 44 44    40.2900      100
  9 44 45    40.3100      100
  9 44 45    40.3100      100
  9 44 46    40.3100      100
  9 44 46    40.3000      100
  9 44 47    40.2900      100
  9 44 52    40.3000      100
  9 44 52    40.3000      100
