date      IBM        HPQ      SP
19750829 -0.011827 -0.129825 -0.02107
19750930 0.010738 0.039247 -0.034645
19751031 0.12749 0.033679 0.061643
19751128 0.074794 -0.031328 0.024708
19751231 -0.009387 -0.021992 -0.011508
19760130 0.149387 0.156085 0.118306
19760227 -0.001455 -0.017162 -0.011402
19760331 0.024939 0.077066 0.030689
19760430 -0.03292 -0.079004 -0.010995
19760528 0.019734 -0.014101 -0.014364
19760630 0.078422 0.09416 0.040926
19760730 -0.016712 -0.054466 -0.008055
19760831 0.01378 -0.172811 -0.005124
19760930 0.028323 0.032312 0.022641
19761029 -0.034207 -0.086486 -0.022235
19761130 0.00552 0.094675 -0.007775
19761231 0.029982 -0.056757 0.052498
19770131 -0.013883 -0.117479 -0.05053
19770228 0.011807 -0.058442 -0.02166
19770331 0.001812 0.021724 -0.014025
19770429 -0.064195 -0.060914 0.000203
19770531 -0.041546 0.063063 -0.023568
19770630 0.075356 0.071186 0.04536
19770729 0.015625 0.004747 -0.016222
19770831 0.010256 -0.001575 -0.021042
19770930 -0.02748 -0.014826 -0.00248
19771031 -0.014368 -0.094703 -0.043406
19771130 0.035957 0.033688 0.026966
19771230 0.035985 0.005146 0.002847
19780131 -0.02925 -0.09215 -0.061514
19780228 -0.042825 -0.037594 -0.024762
19780331 -0.062687 -0.022266 0.024931
19780428 0.129512 0.210421 0.085416
19780531 -0.018308 0.029801 0.004234
19780630 -0.003872 0.04373 -0.017585
19780731 0.092323 0.063272 0.05391
19780831 0.04895 0.023222 0.025924
19780929 -0.050964 -0.001135 -0.007261
19781031 -0.046029 -0.122333 -0.091574
19781130 0.030766 0.089141 0.01664
19781229 0.107607 0.071726 0.014889
19790131 0.034338 -0.031989 0.039746
19790228 -0.017198 -0.021552 -0.036526
19790330 0.051667 0.100147 0.055152
19790430 -0.003962 0.018717 0.001673
19790531 -0.021671 -0.01706 -0.026336
19790629 -0.034539 0.040854 0.038656
19790731 -0.049404 -0.03599 0.008746
19790831 0.015914 0.210667 0.053078
19790928 -0.032143 0.028194 0
19791031 -0.079336 -0.094421 -0.068606
19791130 0.05988 0.080569 0.042624
19791231 -0.01341 0.039035 0.016767
19800131 0.066019 0.137421 0.057625
19800229 -0.062149 -0.026022 -0.00438
19800331 -0.122047 -0.03855 -0.101795
19800430 -0.015695 -0.085487 0.04114
19800530 0.024784 0.065217 0.046571
19800630 0.060948 0.02 0.026969
19800731 0.110638 0.218437 0.065039
19800829 0.017011 -0.0625 0.005835
19800930 -0.020992 0.052281 0.025168
19801031 0.038986 -0.018364 0.016021
19801128 0.035422 0.22449 0.102377
19801231 -0.00367 -0.004444 -0.033874
19810130 -0.051565 -0.081006 -0.045742
19810227 0.011417 0.06383 0.013277
19810331 -0.029183 0.058286 0.036033
19810430 -0.06012 0.064865 -0.023456
19810529 0.016802 0.076142 -0.001657
19810630 -0.014894 -0.101462 -0.010408
19810731 -0.030238 0.003942 -0.00221
19810831 -0.002494 -0.089005 -0.062099
19810930 -0.018141 -0.033103 -0.053832
19811030 -0.048499 0.089286 0.049148
19811130 0.074951 -0.095628 0.03659
19811231 0.043578 -0.040846 -0.030075
19820129 0.118681 0.129338 -0.017544
19820226 -0.013988 -0.050279 -0.060548
19820331 -0.034343 -0.048588 -0.010167
19820430 0.075314 0.095975 0.040014
19820528 -0.029416 -0.011299 -0.039162
19820630 -0.014228 -0.0272 -0.02029
19820730 0.082474 -0.020588 -0.022991
19820831 0.08739 0.303303 0.115977
19820930 0.04078 -0.031152 0.007614
19821029 0.088586 0.180952 0.110364
19821130 0.093709 0.169355 0.036123
19821231 0.112717 0.007931 0.015158
19830131 0.027273 0.087329 0.033134
19830228 0.009962 0.061417 0.018995
19830331 0.027778 -0.052522 0.033095
19830429 0.149877 -0.056426 0.074922
19830531 -0.041026 0.101329 -0.012346
19830630 0.080899 0.098944 0.035224
19830729 0.00104 -0.063187 -0.033014
19830831 0.000623 0.020528 0.011319
19830930 0.061715 -0.047816 0.010158
19831031 -0.000985 -0.145015 -0.015174
19831130 -0.066469 0.123675 0.017426
19831230 0.039404 0.06717 -0.008834
19840131 -0.064549 -0.050147 -0.009216
19840229 -0.02563 -0.121118 -0.038859
19840330 0.034014 0.043675 0.013498
19840430 -0.002193 0.00339 0.005466
19840531 -0.044396 -0.054054 -0.059356
19840629 -0.018561 0.044143 0.017469
19840731 0.047281 0 -0.016451
19840831 0.127314 0.075342 0.106332
19840928 0.00404 -0.046369 -0.00348
19841031 0.011871 -0.0301 -6e-05
19841130 -0.023069 -0.093103 -0.015112
19841231 0.011294 0.032091 0.022374
19850131 0.107614 0.107011 0.074085
19850228 -0.009349 -0.013333 0.008685
19850329 -0.052239 -0.079595 -0.002925
19850430 -0.003937 -0.066176 -0.004594
19850531 0.025494 0.047244 0.054051
19850628 -0.037901 0.054286 0.012134
19850731 0.061616 0.082143 -0.004848
19850830 -0.027783 -0.062706 -0.011995
19850930 -0.021718 -0.082958 -0.034724
19851031 0.048436 -0.069231 0.042509
19851129 0.084504 0.18595 0.065062
19851231 0.112701 0.025923 0.045061
19860131 -0.025723 0.071429 0.002367
19860228 0.003135 0.114286 0.071489
19860331 0.004143 0.004103 0.052794
19860430 0.031353 0.028409 -0.014148
19860530 -0.01776 0.022099 0.050229
19860630 -0.038556 -0.112324 0.01411
19860731 -0.095563 -0.039634 -0.058683
19860829 0.055472 0.180952 0.071193
19860930 -0.030631 -0.17086 -0.085439
19861031 -0.080855 0.012987 0.054729
19861128 0.037209 0.115385 0.021477
19861231 -0.056047 -0.036092 -0.028288
19870130 0.072917 0.197015 0.131767
19870227 0.092039 0.094763 0.036924
19870331 0.076165 0.037449 0.02639
19870430 0.066611 -0.015385 -0.01145
19870529 0.006089 0.162946 0.006034
19870630 0.015625 -0.060576 0.047915
19870731 -0.009231 0 0.048224
19870831 0.05264 0.083845 0.034959
19870930 -0.104677 0.065132 -0.024166
19871030 -0.187396 -0.289007 -0.21763
19871130 -0.086939 -0.089776 -0.085349
19871231 0.042889 0.278137 0.072861
19880129 -0.027056 -0.025751 0.040432
19880229 0.055395 0.085903 0.041817
19880331 -0.084043 -0.013144 -0.033343
19880429 0.053426 0.006173 0.009425
19880531 0.001985 -0.07771 0.003176
19880630 0.132222 -0.009933 0.043256
19880729 -0.012758 -0.09417 -0.005411
19880831 -0.104573 -0.079208 -0.0386
19880930 0.034753 0.074409 0.039729
19881031 0.062839 0.012531 0.025964
19881130 -0.024669 -0.042079 -0.018891
19881230 0.028481 0.102532 0.014688
19890131 0.071795 0.084507 0.071115
19890228 -0.061435 -0.04329 -0.028944
19890331 -0.101852 -0.068597 0.020806
19890428 0.044674 0.104623 0.05009
19890531 -0.027763 -0.048458 0.035138
19890630 0.020525 -0.040093 -0.007925
19890731 0.027933 0.038647 0.08837
19890831 0.029 -0.023256 0.015517
19890929 -0.067236 -0.040857 -0.006544
19891031 -0.08238 -0.049751 -0.025175
19891130 -0.014115 -0.049738 0.016541
19891229 -0.035851 0.043636 0.021417
19900131 0.047809 -0.055556 -0.068817
19900228 0.065501 -0.033613 0.008539
19900330 0.021661 0.063304 0.024255
19900430 0.027091 -0.046448 -0.026887
19900531 0.112018 0.094556 0.091989
19900629 -0.020833 -0.008272 -0.008886
19900731 -0.051064 -0.087302 -0.005223
19900831 -0.075471 -0.191304 -0.094314
19900928 0.044172 -0.036416 -0.051184
19901031 -0.009401 -0.223881 -0.006698
19901130 0.089775 0.153846 0.059934
19901231 -0.005501 0.066 0.024828
19910131 0.121681 0.219608 0.041518
19910228 0.025325 0.199357 0.067281
19910328 -0.115534 0.075067 0.022203
19910430 -0.095499 0.0225 0.000346
19910531 0.042087 0.061125 0.038577
19910628 -0.084806 -0.062212 -0.047893
19910731 0.042471 0.059113 0.044859
19910830 -0.031259 -0.016279 0.019649
19910930 0.069677 -0.061466 -0.019144
19911031 -0.05187 0.017677 0.01186
19911129 -0.046209 -0.044665 -0.043928
19911231 -0.037838 0.187013 0.111588
19920131 0.011236 0.039474 -0.0199
19920228 -0.021278 0.232068 0.009565
19920331 -0.038849 0.105479 -0.021832
19920430 0.086826 -0.006211 0.027893
19920529 0.013333 -0.05 0.000964
19920630 0.078512 -0.091118 -0.017359
19920731 -0.031928 0.067151 0.039374
19920831 -0.072982 -0.221088 -0.023998
19920930 -0.067821 -0.022707 0.009106
19921030 -0.171827 0.020179 0.002106
19921130 0.038654 0.169231 0.030262
19921231 -0.261905 0.053759 0.010108
19930129 0.022333 0.030411 0.007046
19930226 0.066311 0.024306 0.010484
19930331 -0.064368 0.034915 0.018697
19930430 -0.044226 -0.01642 -0.025417
19930528 0.095938 0.113523 0.022717
19930630 -0.063981 -0.025487 0.000755
19930730 -0.098734 -0.111111 -0.005327
19930831 0.033708 0.029514 0.034432
19930930 -0.081967 -0.074199 -0.009988
19931029 0.095238 0.076782 0.019393
19931130 0.17663 0.001698 -0.012911
19931231 0.048724 0.074576 0.010091
19940131 0 0.079114 0.032501
19940228 -0.059735 0.06305 -0.030045
19940331 0.033097 -0.091034 -0.045746
19940429 0.052632 -0.022831 0.011531
19940531 0.1 -0.021807 0.012419
19940630 -0.06746 -0.03758 -0.026812
19940729 0.053191 0.031561 0.031467
19940831 0.111111 0.15781 0.037643
19940930 0.016423 -0.024478 -0.026898
19941031 0.070018 0.120172 0.020834
19941130 -0.04698 -0.001277 -0.039505
19941230 0.038869 0.024808 0.012299
19950131 -0.018707 0.006258 0.024278
19950228 0.046794 0.144279 0.036074
19950331 0.091362 0.049348 0.027329
19950428 0.152207 0.09865 0.02796
19950531 -0.014531 -0.00189 0.036312
19950630 0.032258 0.131818 0.021279
19950731 0.134115 0.045302 0.031776
19950831 -0.04822 0.027287 -0.00032
19950929 -0.085852 0.044687 0.040098
19951031 0.029101 0.110945 -0.004979
19951130 -0.003856 -0.103914 0.041049
19951229 -0.054334 0.011446 0.017444
19960131 0.187414 0.01194 0.032617
19960229 0.132488 0.188791 0.006934
19960329 -0.092762 -0.063772 0.007917
19960430 -0.031461 0.124834 0.013431
19960531 -0.006032 0.005903 0.022853
19960628 -0.0726 -0.0623 0.002257
19960731 0.085859 -0.116688 -0.045748
19960830 0.067209 -0.005682 0.018814
19960930 0.088525 0.117029 0.054173
19961031 0.036145 -0.094872 0.026131
19961129 0.238178 0.220963 0.073376
19961231 -0.049412 -0.065058 -0.021505
19970131 0.035479 0.047264 0.061317
19970228 -0.081434 0.066508 0.005928
19970331 -0.045217 -0.04686 -0.042614
19970430 0.169399 -0.016393 0.058406
19970530 0.080374 -0.019048 0.058577
19970630 0.043353 0.090097 0.043453
19970731 0.171745 0.25 0.078123
19970829 -0.03948 -0.121429 -0.057446
19970930 0.045623 0.133374 0.053154
19971031 -0.070755 -0.114106 -0.034478
19971128 0.113706 -0.008114 0.044587
19971231 -0.044521 0.02274 0.015732
19980130 -0.056153 -0.036072 0.01015
19980227 0.05962 0.114345 0.070449
19980331 -0.005386 -0.052015 0.049946
19980430 0.115523 0.189349 0.009076
19980529 0.015922 -0.1733 -0.018826
19980630 -0.022872 -0.03655 0.039438
19980731 0.154056 -0.073069 -0.011615
19980831 -0.14834 -0.125 -0.145797
19980930 0.140954 0.093385 0.062396
19981030 0.155642 0.138135 0.080294
19981130 0.113434 0.038382 0.059126
19981231 0.116578 0.094466 0.056375
19990129 -0.006102 0.147301 0.041009
19990226 -0.072469 -0.152313 -0.032283
19990331 0.044183 0.023104 0.038794
19990430 0.180183 0.163134 0.037944
19990528 0.1102 0.195721 -0.02497
19990630 0.114224 0.067303 0.054438
19990730 -0.027563 0.041667 -0.032046
19990831 -0.007996 0.006567 -0.006254
19990930 -0.0286 -0.137272 -0.028552
19991029 -0.188017 -0.182507 0.062539
19991130 0.050204 0.278854 0.019062
19991231 0.046695 0.200632 0.057844
20000131 0.040556 -0.048352 -0.050904
20000229 -0.083563 0.242494 -0.020108
20000331 0.148418 -0.010892 0.09672
20000428 -0.055085 0.015992 -0.030796
20000531 -0.03583 -0.109722 -0.021915
20000630 0.020373 0.29448 0.023934
20000731 0.026241 -0.125626 -0.016341
20000831 0.175142 0.105896 0.060699
20000929 -0.147727 -0.195362 -0.053483
20001031 -0.124444 -0.041237 -0.004949
20001130 -0.049442 -0.319892 -0.080069
20001229 -0.090909 0.000553 0.004053
20010131 0.317647 0.167525 0.034637
20010228 -0.106875 -0.217096 -0.092291
20010330 -0.037237 0.086655 -0.064205
20010430 0.19713 -0.090822 0.076814
20010531 -0.027792 0.031305 0.00509
20010629 0.010733 -0.021828 -0.025004
20010731 -0.068938 -0.137762 -0.010772
20010831 -0.048665 -0.0588 -0.064108
20010928 -0.082341 -0.305041 -0.081723
20011031 0.17826 0.048598 0.018099
20011130 0.07088 0.306595 0.075176
20011231 0.046457 -0.062301 0.007574
20020131 -0.108052 0.076436 -0.015574
20020228 -0.089258 -0.090005 -0.020766
20020328 0.059927 -0.104374 0.036739
20020430 -0.194615 -0.046823 -0.061418
20020531 -0.037727 0.116374 -0.009081
20020628 -0.105034 -0.19539 -0.072465
20020731 -0.022222 -0.073953 -0.078995
20020830 0.072869 -0.050883 0.004881
20020930 -0.226453 -0.125093 -0.110013
20021031 0.353799 0.353899 0.086436
20021129 0.10299 0.232911 0.05707
20021231 -0.108375 -0.104723 -0.060333
20030131 0.009032 0.00288 -0.027415
20030228 -0.001279 -0.089604 -0.017004
20030331 0.006158 -0.01388 0.008358
20030430 0.082494 0.048231 0.081044
20030530 0.038869 0.196319 0.050899
20030630 -0.062926 0.09641 0.011322
20030731 -0.015152 -0.006103 0.016224
20030829 0.011323 -0.058573 0.017873
20030930 0.077064 -0.024586 -0.011944
20031031 0.013019 0.152376 0.054962
20031128 0.013634 -0.025549 0.007129
20031231 0.023636 0.060258 0.050765
20040130 0.070673 0.035699 0.017276
20040227 -0.025899 -0.045397 0.012209
20040331 -0.04829 0.009247 -0.016359
20040430 -0.039961 -0.137478 -0.016791
20040528 0.006805 0.078173 0.012083
20040630 -0.004967 -0.002825 0.017989
20040730 -0.012252 -0.045024 -0.034291
20040831 -0.025267 -0.112159 0.002287
20040930 0.012398 0.052543 0.009364
20041029 0.046769 -0.0048 0.014014
20041130 0.052033 0.071811 0.038595
20041231 0.046053 0.0525 0.032458
20050131 -0.052343 -0.065808 -0.02529
20050228 -0.007065 0.061766 0.018903
20050331 -0.012962 0.058654 -0.019118
20050429 -0.16415 -0.067001 -0.020109
20050531 -0.008248 0.099658 0.029952
20050630 -0.017869 0.047979 -0.000143
20050729 0.124798 0.047214 0.035968
20050831 -0.031632 0.127539 -0.011222
20050930 -0.004962 0.054755 0.006949
20051031 0.020693 -0.039726 -0.017741
20051130 0.088178 0.058131 0.035186
20051230 -0.075366 -0.032356 -0.000952
20060131 -0.010949 0.089067 0.025467
20060228 -0.010578 0.052277 0.000453
20060331 0.027792 0.005181 0.011065
20060428 -0.001576 -0.01307 0.012187
20060531 -0.02599 -0.002772 -0.030917
20060630 -0.038548 -0.019148 8.7e-05
20060731 0.00768 0.00726 0.005086
20060831 0.049864 0.145722 0.021274
20060929 0.01198 0.005744 0.024566
20061031 0.1268 0.055874 0.031508
20061130 -0.001191 0.018585 0.016467
20061229 0.056897 0.045869 0.012616
20070131 0.020587 0.05074 0.014059
20070228 -0.059607 -0.090804 -0.021846
20070330 0.014203 0.022109 0.00998
20070430 0.084341 0.049826 0.043291
20070531 0.046864 0.084718 0.032549
20070629 -0.012664 -0.022096 -0.017816
20070731 0.051306 0.0316 -0.031982
20070831 0.058202 0.072127 0.012864
20070928 0.009512 0.010537 0.035794
20071031 -0.014261 0.037959 0.014822
20071130 -0.090768 -0.010062 -0.044043
20071231 0.027762 -0.011728 -0.008628
20080131 -0.009158 -0.133914 -0.061163
20080229 0.066754 0.092635 -0.034761
20080331 0.011242 -0.042495 -0.00596
20080430 0.048289 0.015112 0.047547
20080530 0.076471 0.015318 0.010674
20080630 -0.084215 -0.058861 -0.085962
20080731 0.079727 0.013345 -0.009859
20080829 -0.044929 0.047321 0.012191
20080930 -0.039185 -0.012788 -0.090791
20081031 -0.205113 -0.172145 -0.169425
20081128 -0.116919 -0.07837 -0.074849
20081231 0.031373 0.030896 0.007822
