  date         CAP1RET       CAP2RET       CAP9RET      CAP10RET
19771130      0.071404      0.103547      0.060435      0.033942
19771230      0.006608      0.008459      0.006270      0.006086
19780131      0.032874      0.007690     -0.053471     -0.061809
19780228      0.029075      0.035754     -0.016373     -0.015723
19780331      0.092546      0.103003      0.047786      0.022565
19780428      0.106491      0.080179      0.074975      0.086694
19780531      0.101240      0.080444      0.032085      0.011369
19780630      0.010202     -0.003466     -0.006239     -0.016570
19780731      0.027637      0.066473      0.064131      0.054511
19780831      0.187710      0.143754      0.046565      0.029590
19780929      0.019438      0.015666     -0.006393     -0.004070
19781031     -0.287942     -0.279365     -0.125287     -0.080884
19781130      0.052084      0.081874      0.029507      0.029784
19781229     -0.030110     -0.004832      0.009150      0.018444
19790131      0.174854      0.114881      0.061827      0.037196
19790228     -0.025164     -0.012447     -0.030887     -0.026570
19790330      0.086051      0.104341      0.077822      0.054335
19790430      0.038388      0.035633      0.009035      0.004253
19790531      0.005409      0.001873     -0.007605     -0.015315
19790629      0.038462      0.040584      0.066386      0.038718
19790731     -0.003942      0.022589      0.027112      0.007706
19790831      0.110302      0.087691      0.071664      0.059266
19790928     -0.019207     -0.011083     -0.008031      0.004302
19791031     -0.110949     -0.117221     -0.084462     -0.060142
19791130      0.076552      0.070182      0.078419      0.053765
19791231      0.048076      0.079411      0.039973      0.015090
19800131      0.182977      0.130469      0.059304      0.065302
19800229     -0.036217     -0.036753     -0.022756      0.015579
19800331     -0.182890     -0.184101     -0.122209     -0.102678
19800430      0.045081      0.040543      0.067963      0.043687
19800530      0.069798      0.069874      0.078153      0.049460
19800630      0.030641      0.030719      0.059837      0.029838
19800731      0.086211      0.112080      0.082661      0.056671
19800829      0.101221      0.092596      0.012361      0.015123
19800930      0.040902      0.016655      0.035294      0.025182
19801031      0.026547      0.037202      0.014172      0.018381
19801128      0.007224      0.032177      0.084469      0.119196
19801231     -0.048372     -0.034744     -0.024634     -0.037654
19810130      0.041307      0.044590     -0.030241     -0.053007
19810227      0.002344      0.007538      0.019195      0.016163
19810331      0.087974      0.100262      0.085597      0.025008
19810430      0.030486      0.040162     -0.002667     -0.027713
19810529      0.046314      0.037387      0.026294      0.003731
19810630      0.035397      0.016066     -0.017401     -0.003240
19810731     -0.034315     -0.019403     -0.018329      0.009646
19810831     -0.083303     -0.086818     -0.054056     -0.051968
19810930     -0.094626     -0.075200     -0.057608     -0.061972
19811030      0.060038      0.074321      0.065261      0.052880
19811130      0.005314      0.014106      0.048326      0.050238
19811231     -0.024895     -0.028558     -0.024828     -0.032386
19820129      0.014466      0.005074     -0.032254     -0.020366
19820226     -0.023703     -0.046844     -0.044437     -0.056072
19820331      0.005936     -0.010559     -0.006813     -0.011467
19820430      0.046892      0.040891      0.047641      0.038501
19820528     -0.022311     -0.025642     -0.040812     -0.024100
19820630     -0.002023     -0.018622     -0.023406     -0.022882
19820730     -0.001187      0.000797     -0.024686     -0.021572
19820831      0.026093      0.030187      0.124753      0.129092
19820930      0.037227      0.034240      0.022410      0.006250
19821029      0.137253      0.161303      0.125700      0.107492
19821130      0.167634      0.130474      0.052609      0.036117
19821231      0.015600      0.015044      0.015220      0.017010
19830131      0.136372      0.104931      0.034544      0.034714
19830228      0.098456      0.060636      0.021680      0.023877
19830331      0.065033      0.057714      0.026318      0.031946
19830429      0.075020      0.079421      0.060768      0.078169
19830531      0.157705      0.126168      0.042959     -0.014307
19830630      0.044219      0.037688      0.033365      0.039020
19830729     -0.022425     -0.020328     -0.031098     -0.031194
19830831     -0.068906     -0.041859      0.007357      0.019716
19830930     -0.017212     -0.000150      0.015518      0.014066
19831031     -0.060305     -0.063019     -0.029947     -0.010932
19831130      0.062000      0.065153      0.041548      0.017500
19831230     -0.016523     -0.007380     -0.014483     -0.005125
19840131      0.066416      0.036839     -0.021818     -0.004464
19840229     -0.051746     -0.063136     -0.046588     -0.030117
19840330      0.030938      0.011280      0.023079      0.015056
19840430     -0.041193     -0.025228     -0.014773      0.012621
19840531     -0.043694     -0.056787     -0.065432     -0.049751
19840629      0.015309      0.027307      0.023382      0.021829
19840731     -0.059507     -0.045780     -0.028994     -0.008787
19840831      0.086819      0.081664      0.126044      0.109072
19840928     -0.003360     -0.001356      0.009844     -0.000233
19841031     -0.022292     -0.029677      0.004034      0.003573
19841130     -0.063263     -0.060841     -0.007488     -0.010062
19841231     -0.018530      0.004156      0.024629      0.025246
19850131      0.149243      0.147768      0.088447      0.071773
19850228      0.065099      0.036797      0.014432      0.016519
19850329     -0.047315     -0.009333     -0.000462      0.002387
19850430     -0.025536     -0.030968     -0.001580     -0.000691
19850531     -0.003077      0.016884      0.063305      0.062268
19850628     -0.014959      0.012029      0.019962      0.015369
19850731      0.032020      0.030326     -0.005188     -0.006712
19850830     -0.016835     -0.011901     -0.003267     -0.004052
19850930     -0.062545     -0.061702     -0.049450     -0.031604
19851031     -0.001539      0.011092      0.056258      0.043368
19851129      0.057756      0.065597      0.064850      0.070710
19851231      0.039584      0.043689      0.037430      0.047139
19860131      0.073035      0.041167      0.022746      0.001677
19860228      0.088428      0.083042      0.080050      0.072351
19860331      0.054465      0.037045      0.048111      0.056459
19860430      0.016779      0.007932     -0.017679     -0.014025
19860530      0.015744      0.039401      0.045931      0.054570
19860630      0.018317      0.013727      0.011810      0.018099
19860731     -0.090844     -0.075500     -0.061997     -0.049950
19860829      0.021220      0.013004      0.080207      0.074212
19860930     -0.059997     -0.041554     -0.067122     -0.085988
19861031      0.034041      0.030766      0.057360      0.054351
19861128     -0.010146     -0.010042      0.011078      0.023304
19861231     -0.026101     -0.038422     -0.031108     -0.024876
19870130      0.150664      0.084945      0.126647      0.132114
19870227      0.060557      0.069158      0.051104      0.035653
19870331      0.049080      0.057739      0.017431      0.027491
19870430     -0.004368     -0.026231     -0.027468     -0.011089
19870529      0.019373      0.001977      0.002187      0.007885
19870630      0.002197      0.015887      0.040112      0.051842
19870731      0.070828      0.033914      0.058027      0.043497
19870831     -0.016860      0.016773      0.033440      0.039836
19870930     -0.024298     -0.015728     -0.015860     -0.023609
19871030     -0.305747     -0.301270     -0.248545     -0.199203
19871130     -0.075640     -0.065040     -0.052170     -0.086226
19871231     -0.016053      0.024646      0.080866      0.064219
19880129      0.132496      0.101694      0.045084      0.043464
19880229      0.055672      0.056031      0.065909      0.040489
19880331      0.035665      0.029077      0.004040     -0.035688
19880429      0.013119      0.008654      0.008632      0.010326
19880531     -0.018414     -0.034770      0.001389      0.006928
19880630      0.017965      0.073018      0.062739      0.042516
19880729      0.005936      0.004065     -0.015607     -0.003204
19880831     -0.025368     -0.028886     -0.023581     -0.030915
19880930      0.008650      0.012532      0.028462      0.042797
19881031     -0.028248     -0.013441      0.008107      0.029462
19881130     -0.062905     -0.043117     -0.021642     -0.011198
19881230      0.027696      0.024988      0.021618      0.017563
19890131      0.105521      0.046243      0.060081      0.071357
19890228     -0.034312      0.014988     -0.007270     -0.025383
19890331     -0.007828      0.021708      0.010024      0.025021
19890428      0.016615      0.036095      0.045115      0.049588
19890531      0.003290      0.014648      0.038354      0.038986
19890630      0.028629     -0.014722      0.001211     -0.002957
19890731      0.037965      0.035440      0.072462      0.091450
19890831      0.035442      0.017259      0.027172      0.017203
19890929     -0.006643      0.005691     -0.013945     -0.000355
19891031     -0.043852     -0.069789     -0.050868     -0.018926
19891130     -0.007517     -0.012673      0.021732      0.020968
19891229      0.051030     -0.009988      0.020266      0.024614
19900131     -0.035178     -0.052596     -0.070232     -0.067611
19900228      0.002926      0.024992      0.012869      0.013227
19900330      0.017392      0.000816      0.024064      0.023634
19900430     -0.034828     -0.027519     -0.044017     -0.021439
19900531     -0.006896      0.013345      0.083159      0.093629
19900629     -0.005284      0.020709     -0.011802     -0.004960
19900731     -0.015052     -0.038674     -0.023011      0.002147
19900831     -0.124624     -0.132476     -0.094570     -0.083463
19900928     -0.080967     -0.075946     -0.070617     -0.042299
19901031     -0.072648     -0.065455     -0.036214      0.000884
19901130     -0.018933      0.009645      0.080934      0.060289
19901231     -0.031556     -0.025935      0.039897      0.026333
19910131      0.172927      0.147737      0.052594      0.036546
19910228      0.188495      0.151006      0.087362      0.066634
19910328      0.111276      0.097834      0.031911      0.020494
19910430     -0.007585      0.001209      0.017495      0.000388
19910531      0.010100     -0.002114      0.044846      0.038889
19910628     -0.066772     -0.040733     -0.041928     -0.042859
19910731      0.008552      0.009613      0.052947      0.045403
19910830      0.012095     -0.004221      0.022434      0.024178
19910930     -0.005471     -0.004360     -0.005829     -0.015961
19911031     -0.007024     -0.004922      0.018794      0.014696
19911129     -0.032914     -0.032508     -0.043322     -0.036674
19911231     -0.020598      0.032506      0.112540      0.108319
19920131      0.407345      0.200898      0.019239     -0.024455
19920228      0.110258      0.036962      0.021724      0.007631
19920331     -0.027606      0.001353     -0.027224     -0.018566
19920430     -0.079088     -0.040604      0.013702      0.029899
19920529      0.012222     -0.003303      0.003741      0.005691
19920630     -0.035959     -0.055845     -0.019013     -0.014331
19920731      0.000563      0.040801      0.040756      0.041238
19920831     -0.052022     -0.040353     -0.024204     -0.018142
19920930      0.004831      0.007897      0.016062      0.007647
19921030      0.006049      0.016619      0.026763      0.001011
19921130      0.108584      0.072795      0.045468      0.030179
19921231      0.053573      0.037144      0.027854      0.009801
19930129      0.128214      0.081875      0.024517      0.003432
19930226     -0.024016     -0.010068      0.008262      0.014564
19930331      0.016785      0.044564      0.038295      0.020400
19930430      0.005829     -0.007385     -0.022673     -0.024048
19930528      0.071846      0.036230      0.029745      0.023024
19930630      0.029263      0.035595      0.012901      0.002485
19930730      0.017660      0.019611      0.007300     -0.003900
19930831      0.009573      0.023571      0.042398      0.035543
19930930      0.018551      0.038725      0.004900     -0.008718
19931029      0.049485      0.057289      0.005655      0.019578
19931130     -0.006489     -0.047339     -0.026984     -0.009334
19931231     -0.005076      0.016290      0.042474      0.009491
19940131      0.055162      0.058860      0.023221      0.032101
19940228     -0.000799     -0.015102     -0.019519     -0.030818
19940331     -0.042909     -0.046634     -0.043189     -0.040981
19940429     -0.011480     -0.020492      0.010713      0.015656
19940531     -0.004470      0.008205     -0.000690      0.016057
19940630     -0.030546     -0.012172     -0.029290     -0.026080
19940729      0.003591      0.013116      0.038000      0.032919
19940831      0.038383      0.027912      0.039659      0.039427
19940930      0.018950      0.010706     -0.019680     -0.023774
19941031      0.014759     -0.000148     -0.001169      0.022175
19941130     -0.024395     -0.028827     -0.043755     -0.035437
19941230     -0.016417      0.008968      0.013711      0.015168
19950131      0.035029      0.028319      0.018823      0.028026
19950228      0.012269      0.026823      0.045670      0.036372
19950331     -0.004127      0.003333      0.026976      0.028421
19950428      0.032625      0.025616      0.019177      0.025511
19950531      0.003898      0.027001      0.031406      0.039071
19950630      0.047252      0.036925      0.024945      0.020214
19950731      0.073924      0.044804      0.041655      0.032645
19950831      0.028631      0.022194      0.013567      0.004197
19950929      0.032992      0.018710      0.016463      0.047663
19951031     -0.062809     -0.030301     -0.030738     -0.004020
19951130      0.008290      0.007161      0.052460      0.048002
19951229     -0.007661      0.023212      0.008596      0.020086
19960131      0.070705      0.040839      0.022878      0.036556
19960229      0.040681      0.030551      0.018132      0.009259
19960329      0.019606      0.019305      0.024148      0.009234
19960430      0.051596      0.048309      0.024007      0.007813
19960531      0.076428      0.064399      0.010864      0.023835
19960628     -0.026198     -0.030315     -0.010660      0.005543
19960731     -0.078598     -0.068519     -0.061340     -0.041913
19960830      0.027394      0.027849      0.044170      0.021000
19960930      0.015467      0.031912      0.042745      0.052775
19961031     -0.018482     -0.005200      0.006142      0.024754
19961129      0.029848      0.013753      0.059975      0.073035
19961231     -0.001342      0.026175     -0.002990     -0.020881
19970131      0.085195      0.051678      0.025146      0.057485
19970228      0.002016     -0.002456      0.002638      0.013688
19970331     -0.039716     -0.033246     -0.031419     -0.042826
19970430     -0.034097     -0.013692      0.014484      0.055487
19970530      0.067924      0.057724      0.069083      0.059414
19970630      0.048839      0.062615      0.034976      0.048669
19970731      0.046164      0.054399      0.073984      0.074033
19970829      0.045094      0.027774     -0.009754     -0.057469
19970930      0.068736      0.098588      0.057714      0.057209
19971031     -0.008936     -0.035770     -0.043085     -0.027076
19971128     -0.014393     -0.023311      0.014121      0.046421
19971231     -0.002174      0.001243      0.025908      0.025195
19980130      0.032713      0.017258     -0.014293      0.002875
19980227      0.038313      0.031639      0.071149      0.069077
19980331      0.038637      0.035657      0.050109      0.056943
19980430      0.028781      0.006550     -0.001220      0.012300
19980529     -0.023708     -0.025888     -0.035031     -0.014351
19980630     -0.034238      0.065465      0.001166      0.033710
19980731     -0.013645     -0.036129     -0.055013     -0.015753
19980831     -0.170661     -0.189637     -0.173582     -0.142408
19980930      0.001647      0.075431      0.053128      0.049828
19981030      0.006070      0.056719      0.075136      0.088296
19981130      0.026133      0.056010      0.037302      0.057228
19981231     -0.002260     -0.037545      0.042900      0.050857
19990129      0.077696      0.046936     -0.026597      0.021655
19990226     -0.034944     -0.023574     -0.032452     -0.020135
19990331     -0.041020     -0.016140      0.009978      0.032117
19990430      0.090927      0.091131      0.089772      0.044937
19990528      0.061304      0.023060     -0.001796     -0.024105
19990630      0.024988      0.036025      0.031525      0.044105
19990730      0.019466     -0.008225     -0.027898     -0.037325
19990831     -0.015968     -0.035237     -0.041869     -0.018603
19990930      0.029617     -0.045171     -0.029739     -0.030787
19991029      0.054763     -0.036593      0.016504      0.069786
19991130     -0.007872      0.063610      0.009723      0.009555
19991231      0.281775      0.083912      0.040858      0.031475
20000131      0.132022      0.067596     -0.050280     -0.042590
20000229      0.082677      0.053745     -0.010240     -0.044436
20000331     -0.008636      0.010576      0.106637      0.096284
20000428     -0.115553     -0.093652      0.020170     -0.009745
20000531     -0.055960     -0.050679      0.006301     -0.001910
20000630      0.054898      0.045313     -0.015071      0.003298
20000731     -0.016744     -0.002379      0.012273     -0.003172
20000831      0.053922      0.020470      0.070256      0.055923
20000929     -0.025923     -0.013784     -0.002877     -0.016446
20001031     -0.070093     -0.060103     -0.016148      0.004882
20001130     -0.072328     -0.059139     -0.038450     -0.053564
20001229     -0.022364      0.014784      0.090855      0.033094
20010131      0.294212      0.222341      0.028118      0.008334
20010228     -0.072346     -0.061183     -0.023557     -0.064072
20010330     -0.080875     -0.053685     -0.031974     -0.054494
20010430      0.022389      0.032969      0.081274      0.066552
20010531      0.048118      0.064307      0.027883      0.009284
20010629      0.024323      0.016475     -0.015400     -0.033616
20010731     -0.005539     -0.008008     -0.006650     -0.005589
20010831     -0.031786     -0.005613     -0.033373     -0.051225
20010928     -0.095271     -0.090032     -0.106596     -0.064997
20011031      0.029136      0.027360      0.017518      0.002146
20011130      0.046760      0.039431      0.074202      0.062654
20011231      0.034901      0.035165      0.047531      0.012845
20020131      0.078904      0.038794      0.000491     -0.022290
20020228     -0.013278     -0.002669      0.007956     -0.002434
20020328      0.068198      0.044637      0.058657      0.034044
20020430      0.009685      0.020937      0.000566     -0.053384
20020531     -0.001968      0.007226      0.002196     -0.001679
20020628     -0.010818     -0.053567     -0.064231     -0.068944
20020731     -0.086731     -0.072927     -0.095065     -0.072508
20020830      0.029551      0.008652      0.006886      0.011368
20020930      0.007871     -0.047879     -0.090612     -0.103650
20021031     -0.034416     -0.001897      0.028423      0.076245
20021129     -0.040414      0.042766      0.061316      0.048472
20021231      0.121561      0.004198     -0.023455     -0.050220
20030131      0.045516      0.023837     -0.020390     -0.027688
20030228     -0.044440     -0.010142     -0.018147     -0.022106
20030331     -0.003867      0.003254      0.007215      0.012797
20030430      0.053942      0.055044      0.066069      0.082041
20030530      0.117992      0.089150      0.088681      0.049861
20030630      0.065784      0.067002      0.015986      0.015511
20030731      0.046243      0.028510      0.025426      0.008308
20030829      0.043827      0.031656      0.042112      0.013856
20030930      0.039462      0.023317     -0.004305     -0.009329
20031031      0.037785      0.062175      0.063826      0.051255
20031128      0.031774      0.042061      0.028388      0.012059
20031231      0.058378      0.045646      0.036627      0.056132
20040130      0.106044      0.063373      0.025787      0.019082
20040227      0.004307      0.018980      0.025190      0.023872
20040331     -0.000175      0.011884      0.002170     -0.014022
20040430     -0.026268     -0.043099     -0.035814     -0.014781
20040528     -0.011350     -0.016798      0.021021      0.006831
20040630     -0.000427      0.004335      0.027406      0.014920
20040730     -0.027394     -0.027229     -0.033839     -0.026815
20040831     -0.014204      0.008795      0.002932      0.010324
20040930      0.020543      0.053786      0.036560      0.011357
20041029      0.024794      0.001985      0.021149      0.009989
20041130      0.059092      0.046020      0.066314      0.036851
20041231      0.078080      0.036399      0.037831      0.035144
20050131     -0.027446      0.000458     -0.017967     -0.020073
20050228      0.016944      0.019524      0.037264      0.027900
20050331     -0.020272     -0.040102     -0.016686     -0.013579
20050429     -0.044200     -0.019849     -0.035602     -0.017699
20050531      0.069571      0.026734      0.047126      0.023155
20050630     -0.041980      0.033122      0.033774      0.009593
20050729      0.065050      0.040510      0.053255      0.033973
20050831     -0.002244      0.002094     -0.002422     -0.003654
20050930      0.008229      0.026508      0.011300      0.013474
20051031     -0.038579     -0.048182     -0.040252     -0.016495
20051130      0.018107      0.023964      0.048920      0.035450
20051230      0.013405      0.036647      0.013591      0.005577
20060131      0.091065      0.069598      0.045797      0.032681
20060228      0.006584      0.003873     -0.001776      0.001254
20060331      0.036782      0.039674      0.026162      0.012989
20060428      0.026003      0.004619      0.008620      0.019645
20060531     -0.057157     -0.040749     -0.032226     -0.020493
20060630     -0.001305     -0.011049     -0.004288     -0.000054
20060731     -0.022765     -0.014740     -0.014395      0.013127
20060831     -0.009846      0.011646      0.025591      0.019724
20060929      0.004684     -0.005133      0.012921      0.018358
20061031      0.031569      0.017722      0.048510      0.029928
20061130      0.028704      0.027542      0.036261      0.018328
20061229      0.011630      0.017660      0.001227      0.018328
20070131      0.037574      0.030888      0.034849      0.016349
20070228      0.022059      0.016482      0.002024     -0.017089
20070330      0.002229      0.007535      0.012229      0.015963
20070430      0.039265      0.028331      0.037644      0.040706
20070531     -0.009098      0.005985      0.046288      0.039709
20070629      0.002417     -0.017491     -0.019446     -0.018248
20070731     -0.004823     -0.022076     -0.047018     -0.029351
20070831     -0.021541     -0.029757     -0.003373      0.012946
20070928      0.009807      0.030186      0.035127      0.044358
20071031      0.010651      0.033505      0.036269      0.014784
20071130     -0.021210     -0.069310     -0.055912     -0.039508
20071231     -0.002519     -0.018207     -0.001910     -0.005305
20080131     -0.007398     -0.008644     -0.054115     -0.056287
20080229     -0.004806     -0.017025     -0.010847     -0.015339
20080331     -0.030714     -0.024443     -0.028095     -0.012406
20080430      0.006777      0.015660      0.058574      0.049133
20080530      0.026742      0.034079      0.052550      0.010831
20080630     -0.016927     -0.037152     -0.069072     -0.077031
20080731     -0.062297     -0.048765     -0.038081     -0.017650
20080829     -0.000183     -0.012646      0.017067      0.005598
20080930     -0.112060     -0.132327     -0.121940     -0.086404
20081031     -0.126414     -0.129844     -0.226203     -0.177655
20081128     -0.149964     -0.114484     -0.098652     -0.071501
20081231      0.025500     -0.022210      0.057640      0.011136
