date             aa           sp
19980521      -0.000874     -0.003950
19980522      -0.001750     -0.003741
19980526      -0.008764     -0.014814
19980527       0.004421     -0.001636
19980528      -0.011444      0.004907
19980529      -0.011576     -0.006168
19980601      -0.010811      0.000147
19980602       0.008197      0.002053
19980603      -0.010840     -0.009596
19980604      -0.006393      0.011175
19980605       0.010110      0.017382
19980608       0.004550      0.001670
19980609      -0.005435      0.002411
19980610      -0.027322     -0.005481
19980611      -0.021536     -0.015913
19980612      -0.004785      0.003892
19980615      -0.019231     -0.019866
19980616      -0.009804      0.009823
19980617       0.024752      0.017939
19980618      -0.012560     -0.000659
19980619       0.008806     -0.005170
19980622      -0.006790      0.002326
19980623       0.007813      0.014757
19980624      -0.015504      0.011961
19980625      -0.002953     -0.003178
19980626       0.038500      0.003471
19980629       0.004753      0.004668
19980630      -0.001892     -0.004084
19980701       0.016114      0.012982
19980702      -0.011194     -0.001863
19980706      -0.018868      0.009499
19980707       0.010577     -0.002290
19980708       0.010466      0.010142
19980709      -0.009416     -0.006696
19980710      -0.020913      0.004980
19980713       0.015534      0.000739
19980714       0.049713      0.010633
19980715       0.054645     -0.002352
19980716       0.010363      0.007814
19980717      -0.007692      0.002331
19980720      -0.010336     -0.002233
19980721      -0.000870     -0.016071
19980722       0.001742     -0.000850
19980723      -0.008696     -0.020901
19980724      -0.008772      0.000921
19980727      -0.006195      0.005671
19980728      -0.009795     -0.014844
19980729       0.002698     -0.004450
19980730       0.012556      0.015766
19980731      -0.017715     -0.019493
19980803      -0.020739     -0.007344
19980804      -0.033149     -0.036245
19980805      -0.003810      0.008684
19980806       0.001923      0.007583
19980807       0.024952     -0.000165
19980810       0.006554     -0.005792
19980811      -0.026047     -0.013073
19980812       0.000955      0.014257
19980813      -0.021947     -0.008587
19980814      -0.013659     -0.011313
19980817       0.022750      0.019685
19980818       0.036750      0.016177
19980819       0.014925     -0.002851
19980820       0.010110     -0.005883
19980821      -0.032757     -0.009546
19980824      -0.021637      0.006437
19980825      -0.019231      0.004338
19980826      -0.019608     -0.007933
19980827      -0.051000     -0.038370
19980828       0.022129     -0.014819
19980831      -0.012371     -0.068014
19980901       0.054280      0.038609
19980902      -0.014851     -0.003782
19980903       0.040201     -0.008299
19980904      -0.014493     -0.008521
19980908       0.054902      0.050899
19980909      -0.013011     -0.016864
19980910      -0.021657     -0.025850
19980911       0.048123      0.029453
19980914       0.029385      0.020475
19980915       0.002676      0.007730
19980916       0.010676      0.007517
19980917      -0.044014     -0.025452
19980918      -0.000921      0.001197
19980921       0.002765      0.003725
19980922       0.002757      0.005606
19980923       0.057745      0.035411
19980924      -0.024263     -0.021921
19980925       0.019538      0.001947
19980928       0.011324      0.003771
19980929      -0.002584      0.000315
19980930      -0.018998     -0.030514
19981001      -0.039613     -0.030108
19981002       0.013749      0.016434
19981005      -0.013562     -0.014004
19981006       0.063245     -0.004016
19981007       0.001724     -0.014128
19981008       0.008606     -0.011580
19981009       0.063993      0.026005
19981012       0.007217      0.013531
19981013      -0.047771     -0.002917
19981014      -0.023411      0.010786
19981015       0.056507      0.041739
19981016       0.027553      0.008516
19981019      -0.014984      0.005651
19981020       0.003203      0.001450
19981021      -0.002394      0.005630
19981022      -0.008000      0.008001
19981023      -0.018548     -0.007242
19981026      -0.011504      0.001541
19981027       0.009144     -0.006509
19981028      -0.018122      0.002581
19981029       0.040268      0.016703
19981030       0.022581      0.011732
19981102      -0.026025      0.011769
19981103       0.010526     -0.000684
19981104       0.021635      0.007049
19981105       0.008668      0.013570
19981106      -0.007813      0.006315
19981109      -0.003937     -0.009474
19981110      -0.007905     -0.001717
19981111       0.006375     -0.006461
19981112      -0.011085     -0.002926
19981113       0.010408      0.007184
19981116      -0.022979      0.009008
19981117       0.024331      0.003046
19981118       0.003167      0.004529
19981119       0.001579      0.007104
19981120       0.006304      0.009492
19981123       0.006265      0.021194
19981124      -0.030350     -0.004393
19981125       0.001605      0.003280
19981127       0.002404      0.004567
19981130      -0.050360     -0.024038
19981201      -0.016835      0.010012
19981202       0.022260     -0.003429
19981203      -0.020938     -0.018023
19981204      -0.013687      0.023128
19981207       0.030356      0.009314
19981208       0.004209     -0.005321
19981209      -0.004191      0.001786
19981210      -0.021044     -0.015606
19981211       0.003439      0.001236
19981214       0.000000     -0.021655
19981215      -0.025707      0.018954
19981216       0.008795     -0.000765
19981217      -0.017437      0.015526
19981218      -0.015084      0.006822
19981221       0.003604      0.012466
19981222      -0.005386      0.000607
19981223       0.033394      0.020747
19981224       0.010480     -0.001848
19981228      -0.002593     -0.000636
19981229       0.006066      0.013317
19981230       0.023256     -0.007956
19981231       0.004209     -0.002192
19990104      -0.010897     -0.000919
19990105       0.020339      0.013582
19990106       0.039867      0.022140
19990107      -0.012780     -0.002051
19990108       0.101942      0.004221
19990111       0.035977     -0.008792
19990112      -0.033310     -0.019282
19990113      -0.016129     -0.004123
19990114      -0.026826     -0.017993
19990115       0.054364      0.025631
19990119      -0.001452      0.007030
19990120      -0.024000      0.003690
19990121       0.001490     -0.017078
19990122      -0.032738     -0.008072
19990125       0.023077      0.007174
19990126       0.001504      0.014854
19990127      -0.017267     -0.007299
19990128       0.023682      0.017858
19990129      -0.002239      0.011277
19990201      -0.007479     -0.005189
19990202      -0.013564     -0.008649
19990203       0.020626      0.007987
19990204       0.042994     -0.018537
19990205       0.032444     -0.007281
19990208      -0.011173      0.003526
19990209      -0.004237     -0.022215
19990210      -0.017021      0.006093
19990211      -0.002886      0.024919
19990212      -0.019537     -0.019066
19990216      -0.045018      0.009544
19990217      -0.021638     -0.014365
19990218       0.035545      0.010825
19990219       0.012967      0.001568
19990222       0.002259      0.026565
19990223      -0.005259     -0.000755
19990224       0.003021     -0.013979
19990225      -0.009789     -0.006694
19990226      -0.014449     -0.005373
19990301       0.021605     -0.001752
19990302      -0.042296     -0.008623
19990303      -0.022082      0.001795
19990304       0.009677      0.015427
19990305       0.027157      0.023126
19990308      -0.015552      0.005692
19990309      -0.042654     -0.002253
19990310       0.026403      0.005469
19990311       0.003215      0.008424
19990312      -0.041667     -0.002381
19990315       0.010033      0.009787
19990316       0.001656     -0.000673
19990317       0.038017     -0.006552
19990318       0.035032      0.014432
19990319       0.043077     -0.013110
19990322      -0.023599     -0.001755
19990323      -0.033233     -0.026885
19990324       0.025000      0.005110
19990325       0.027439      0.016869
19990326      -0.038576     -0.005574
19990329       0.032407      0.021336
19990330      -0.028401     -0.007190
19990331       0.013846     -0.011055
19990401      -0.007587      0.005714
19990405      -0.003058      0.021179
19990406       0.007669     -0.002445
19990407       0.071537      0.006829
19990408      -0.022727      0.012880
19990409       0.018895      0.003252
19990412       0.028531      0.007632
19990413       0.036061     -0.006492
19990414       0.140562     -0.015839
19990415       0.010563     -0.004200
19990416      -0.020906     -0.002918
19990419       0.037960     -0.022381
19990420      -0.033143      0.012943
19990421      -0.004728      0.022930
19990422       0.016627      0.016989
19990423       0.009346     -0.001450
19990426      -0.013889      0.002351
19990427       0.039906      0.002029
19990428       0.119639     -0.008725
19990429       0.043347     -0.005981
19990430      -0.037681     -0.005697
19990503      -0.024096      0.014567
19990504       0.009259     -0.016706
19990505      -0.015058      0.011494
19990506       0.059190     -0.011326
19990507       0.001961      0.009722
19990510       0.018591     -0.003494
19990511       0.000000      0.011423
19990512      -0.034582      0.006189
19990513      -0.012935      0.002610
19990514       0.008065     -0.021761
19990517       0.010000      0.001263
19990518      -0.029703     -0.004606
19990519      -0.004082      0.008183
19990520      -0.044057     -0.004017
19990521       0.027867     -0.006379
19990524       0.006257     -0.017771
19990525      -0.058031     -0.017028
19990526       0.014301      0.015852
19990527      -0.017354     -0.017896
19990528      -0.028698      0.015943
19990601       0.088636     -0.005823
19990602      -0.010438      0.000425
19990603       0.009494      0.003653
19990604       0.035528      0.021708
19990607      -0.014127      0.005099
19990608       0.032753     -0.012881
19990609      -0.000991      0.000994
19990610       0.027778     -0.011997
19990611      -0.027027     -0.007046
19990614       0.031746      0.000278
19990615      -0.004808      0.005533
19990616       0.003865      0.022480
19990617       0.037536      0.007133
19990618       0.002783      0.002194
19990621      -0.061980      0.004587
19990622      -0.017751     -0.009726
19990623      -0.007028     -0.002111
19990624      -0.023256     -0.012963
19990625       0.037267     -0.000357
19990628       0.009980      0.012195
19990629      -0.004941      0.015097
19990630      -0.016882      0.015731
19990701       0.017172      0.006010
19990702      -0.002979      0.007430
19990706       0.015936     -0.002228
19990707      -0.037255      0.005576
19990708       0.017312     -0.001032
19990709       0.003003      0.006354
19990712      -0.006986     -0.002979
19990713      -0.002010     -0.003960
19990714      -0.004028      0.003308
19990715      -0.017189      0.008189
19990716       0.005144      0.006498
19990719      -0.001024     -0.007845
19990720      -0.009221     -0.021703
19990721      -0.005171      0.001590
19990722       0.022869     -0.013282
19990723      -0.032520     -0.002961
19990726      -0.014706     -0.006765
19990727       0.034115      0.011189
19990728       0.014433      0.001878
19990729      -0.021341     -0.017848
19990730      -0.005192     -0.009180
19990802       0.026096     -0.000504
19990803       0.012208     -0.004420
19990804       0.032382     -0.012744
19990805      -0.010742      0.006420
19990806      -0.010859     -0.010215
19990809       0.047904     -0.001915
19990810       0.012381     -0.012614
19990811       0.044214      0.015998
19990812      -0.023423     -0.002896
19990813      -0.018450      0.022740
19990816       0.005639      0.002327
19990817      -0.001869      0.010062
19990818       0.001873     -0.008422
19990819      -0.025234     -0.006940
19990820       0.038351      0.009837
19990823      -0.023084      0.017664
19990824      -0.016068      0.002411
19990825      -0.023055      0.013414
19990826      -0.005900     -0.014315
19990827       0.009891     -0.010088
19990830       0.004897     -0.017986
19990831       0.006823     -0.002727
19990901       0.002904      0.008073
19990902      -0.006757     -0.008985
19990903       0.000000      0.028906
19990907       0.010690     -0.005003
19990908       0.007692     -0.004665
19990909       0.001908      0.002611
19990910       0.002857      0.002968
19990913      -0.006648     -0.005571
19990914       0.000000     -0.005833
19990915      -0.002868     -0.013710
19990916      -0.018217      0.000387
19990917       0.023438      0.012848
19990920      -0.008588      0.000082
19990921      -0.038499     -0.020928
19990922      -0.007007      0.002241
19990923      -0.022177     -0.022968
19990924      -0.012371     -0.002382
19990927       0.020877      0.004658
19990928      -0.004090     -0.000865
19990929       0.003080     -0.010786
19990930       0.016377      0.011306
19991001      -0.029204      0.000078
19991004       0.035270      0.016986
19991005       0.028056     -0.002491
19991006      -0.033138      0.018481
19991007      -0.006048     -0.005855
19991008       0.000000      0.013949
19991011       0.022312     -0.000606
19991012      -0.012897     -0.016604
19991013      -0.020101     -0.020936
19991014       0.009231     -0.001657
19991015       0.000000     -0.028058
19991018      -0.007114      0.005387
19991019      -0.001024      0.005733
19991020       0.023566      0.022286
19991021       0.000000     -0.004514
19991022       0.006006      0.014054
19991025      -0.002985     -0.006161
19991026      -0.022954     -0.009060
19991027      -0.040858      0.011545
19991028      -0.011715      0.035266
19991029       0.047414      0.015263
19991101       0.005144     -0.006464
19991102      -0.004094     -0.004712
19991103      -0.015190      0.005335
19991104       0.001047      0.005690
19991105       0.024059      0.005570
19991108      -0.021450      0.004948
19991109       0.003132     -0.008518
19991110      -0.008325      0.005991
19991111       0.022036      0.005825
19991112       0.023614      0.010569
19991115       0.026078     -0.001196
19991116      -0.007820      0.018417
19991117      -0.011823     -0.006591
19991118      -0.000997      0.010087
19991119       0.018962     -0.002063
19991122       0.012733     -0.000745
19991123       0.007737     -0.011471
19991124      -0.009597      0.008856
19991126       0.011628     -0.000325
19991129      -0.003831     -0.006205
19991130       0.007692     -0.013439
19991201       0.020038      0.006343
19991202       0.048644      0.008099
19991203       0.016057      0.017217
19991206       0.006146     -0.006956
19991207       0.016579     -0.009949
19991208      -0.014378     -0.003754
19991209       0.022425      0.003013
19991210       0.034072      0.006342
19991213      -0.001647     -0.001284
19991214      -0.014026     -0.008515
19991215       0.057741      0.007234
19991216      -0.034810      0.003863
19991217       0.023770      0.001586
19991220      -0.020016     -0.002069
19991221      -0.005719      0.010817
19991222       0.006574      0.001884
19991223       0.033469      0.015465
19991227      -0.013428     -0.000850
19991228       0.044836      0.000384
19991229       0.002299      0.003979
19991230      -0.014526      0.000690
19991231       0.030256      0.003264
20000103      -0.024849     -0.009549
20000104       0.004633     -0.038345
20000105       0.057648      0.001922
20000106      -0.013081      0.000956
20000107      -0.002946      0.027090
20000110      -0.002954      0.011190
20000111      -0.005926     -0.013063
20000112      -0.008942     -0.004386
20000113      -0.018045      0.012170
20000114      -0.019908      0.010671
20000118      -0.025000     -0.006832
20000119       0.001603      0.000522
20000120      -0.059200     -0.007095
20000121       0.025510     -0.002912
20000124      -0.025705     -0.027634
20000125      -0.015319      0.006065
20000126      -0.014693     -0.004213
20000127      -0.010526     -0.003938
20000128      -0.014184     -0.027457
20000131       0.002698      0.025218
20000201       0.034978      0.010628
20000202       0.037262     -0.000114
20000203      -0.031014      0.011248
20000204      -0.024221     -0.000421
20000207      -0.033688     -0.000091
20000208      -0.032110      0.012273
20000209      -0.019905     -0.020822
20000210       0.013540      0.003634
20000211       0.033397     -0.020969
20000214       0.067405      0.002033
20000215       0.022491      0.008713
20000216      -0.001692     -0.010256
20000217       0.043220      0.000425
20000218      -0.021933     -0.030376
20000222      -0.036545      0.004517
20000223      -0.018966      0.006301
20000224      -0.020211     -0.005336
20000225       0.007175     -0.014829
20000228       0.012467      0.011017
20000229      -0.036060      0.013627
20000301       0.018248      0.009346
20000302      -0.042115      0.001863
20000303       0.016838      0.019837
20000306      -0.017479     -0.012695
20000307      -0.027154     -0.025631
20000308       0.037536      0.008173
20000309       0.004638      0.025602
20000310      -0.010157     -0.004723
20000313       0.015858     -0.008207
20000314      -0.100092     -0.017685
20000315       0.045918      0.024280
20000316       0.076098      0.047639
20000317      -0.061650      0.004114
20000320       0.013527     -0.005353
20000321       0.041945      0.025566
20000322      -0.021043      0.004532
20000323       0.039252      0.017799
20000324       0.029676      0.000072
20000327       0.006987     -0.002357
20000328      -0.013010     -0.010585
20000329       0.014060      0.000524
20000330      -0.003466     -0.013656
20000331      -0.022609      0.007164
20000403       0.021352      0.004931
20000404      -0.014808     -0.007464
20000405      -0.021220     -0.004924
20000406       0.025294      0.009392
20000407      -0.042291      0.009998
20000410      -0.003680     -0.007841
20000411       0.039705     -0.002572
20000412      -0.000888     -0.022271
20000413      -0.007111     -0.018171
20000414      -0.050134     -0.058278
20000417      -0.025448      0.033084
20000418      -0.030948      0.028663
20000419       0.003992     -0.009808
20000420       0.034791      0.004953
20000424      -0.002882     -0.003262
20000425       0.055877      0.033276
20000426      -0.041971     -0.011134
20000427      -0.005714      0.002690
20000428      -0.005747     -0.008526
20000501      -0.022158      0.010892
20000502       0.018719     -0.014957
20000503      -0.011605     -0.021566
20000504       0.015717     -0.003908
20000505       0.030948      0.016360
20000508      -0.007505     -0.005905
20000509       0.000000     -0.008447
20000510      -0.014178     -0.020600
20000511      -0.000959      0.017902
20000512       0.001200      0.009341
20000515       0.040978      0.022098
20000516      -0.013812      0.009419
20000517      -0.023343     -0.012442
20000518       0.003824     -0.007315
20000519      -0.009524     -0.021055
20000522      -0.020192     -0.004428
20000523      -0.027478     -0.019176
20000524      -0.003027      0.018335
20000525      -0.025304     -0.012530
20000526      -0.047767     -0.002533
20000530       0.013086      0.032242
20000531       0.006459     -0.001301
20000601      -0.012834      0.019858
20000602       0.074756      0.019637
20000605      -0.015121     -0.006519
20000606       0.005118     -0.006671
20000607      -0.018330      0.009274
20000608      -0.015560     -0.006586
20000609      -0.021865     -0.003229
20000612      -0.004579     -0.007516
20000613      -0.028139      0.016210
20000614       0.066815      0.000749
20000615       0.022965      0.005569
20000616       0.014286     -0.009650
20000619      -0.032193      0.014708
20000620       0.000000     -0.006763
20000621      -0.049896      0.002155
20000622       0.017505     -0.018220
20000623       0.040860     -0.007368
20000626      -0.045455      0.009594
20000627       0.036797     -0.003271
20000628      -0.010438      0.002944
20000629      -0.021097     -0.008544
20000630       0.000000      0.008465
20000703       0.025862      0.010271
20000705      -0.008403     -0.015862
20000706      -0.019068      0.007219
20000707      -0.045356      0.015261
20000710       0.067873     -0.002218
20000711       0.101695      0.003565
20000712      -0.011538      0.008130
20000713       0.011673      0.001956
20000714       0.013462      0.009453
20000717      -0.041746      0.000338
20000718      -0.039604     -0.011089
20000719       0.010309     -0.007886
20000720      -0.004082      0.009184
20000721       0.040984     -0.010284
20000724      -0.001969     -0.010742
20000725      -0.011834      0.006952
20000726      -0.017964     -0.014955
20000727       0.024390     -0.001928
20000728      -0.041667     -0.020509
20000731       0.002070      0.007705
20000801       0.026860      0.005081
20000802       0.022133      0.000417
20000803      -0.011858      0.009634
20000804      -0.002000      0.007139
20000807       0.038076      0.011204
20000808       0.069498      0.002352
20000809      -0.027076     -0.006697
20000810      -0.003711     -0.008568
20000811      -0.007449      0.007937
20000814       0.024390      0.013398
20000815       0.005495     -0.004780
20000816       0.003643     -0.003085
20000817       0.003630      0.010961
20000818      -0.009042     -0.002908
20000821      -0.034672      0.005202
20000822      -0.003781     -0.000900
20000823       0.015180      0.005233
20000824      -0.007477      0.001554
20000825       0.005650     -0.001233
20000828       0.020599      0.005072
20000829      -0.042202     -0.002807
20000830       0.001916     -0.004802
20000831       0.017208      0.010043
20000901      -0.001880      0.002036
20000905       0.018832     -0.009002
20000906      -0.003697     -0.009840
20000907      -0.027829      0.006876
20000908       0.015267     -0.005331
20000911      -0.048872     -0.003506
20000912      -0.045455     -0.004882
20000913       0.004141      0.001970
20000914      -0.030928     -0.002721
20000915      -0.027660     -0.010170
20000918      -0.010941     -0.014531
20000919      -0.092920      0.010654
20000920      -0.017073     -0.005863
20000921      -0.037221     -0.001578
20000922      -0.023196     -0.000228
20000925       0.007916     -0.006689
20000926       0.000000     -0.008214
20000927      -0.018325     -0.000448
20000928       0.040000      0.022235
20000929       0.038462     -0.014935
20001002      -0.032099     -0.000195
20001003       0.099490     -0.006803
20001004       0.011601      0.005510
20001005      -0.004587      0.001367
20001006       0.016129     -0.019000
20001009       0.038549     -0.004940
20001010       0.034934     -0.010706
20001011      -0.082278     -0.016171
20001012      -0.045977     -0.025509
20001013      -0.004819      0.033381
20001016      -0.021792      0.000327
20001017       0.029703     -0.017932
20001018      -0.050481     -0.005808
20001019      -0.015190      0.034743
20001020      -0.030848      0.005883
20001023       0.018568     -0.000823
20001024       0.039063      0.001684
20001025       0.000000     -0.023767
20001026      -0.007519     -0.000337
20001027       0.010101      0.011096
20001030       0.130000      0.013830
20001031       0.015487      0.021978
20001101       0.017429     -0.005723
20001102      -0.045161      0.004996
20001103      -0.004505     -0.001141
20001106       0.042986      0.003855
20001107       0.006508     -0.000223
20001108      -0.002155     -0.015777
20001109      -0.012959     -0.006486
20001110      -0.004376     -0.024398
20001113      -0.008791     -0.010776
20001114       0.024390      0.023452
20001115       0.012987      0.004960
20001116      -0.044872     -0.012584
20001117      -0.033557     -0.003352
20001120      -0.030093     -0.018352
20001121       0.002387      0.003523
20001122      -0.004762     -0.018548
20001124       0.000000      0.014678
20001127       0.028708      0.005366
20001128       0.034884     -0.009548
20001129       0.002247      0.004371
20001130       0.011211     -0.020105
20001201       0.028825      0.000213
20001204       0.068966      0.007406
20001205       0.016129      0.038922
20001206      -0.005952     -0.018220
20001207      -0.067864     -0.005853
20001208       0.047109      0.019605
20001211       0.053170      0.007526
20001212      -0.017476     -0.006535
20001213       0.033597     -0.008161
20001214      -0.028681     -0.014015
20001215      -0.025591     -0.021463
20001218       0.044444      0.008071
20001219       0.036750     -0.012958
20001220      -0.061567     -0.031296
20001221       0.009940      0.008002
20001222       0.096457      0.024403
20001226      -0.007181      0.007060
20001227      -0.010850      0.010440
20001228       0.012797      0.003988
20001229      -0.032491     -0.010448
20010102      -0.037313     -0.028032
20010103       0.013566      0.050099
20010104       0.032505     -0.010552
20010105      -0.018519     -0.026242
20010108       0.015094     -0.001918
20010109      -0.037175      0.003812
20010110       0.011583      0.009586
20010111      -0.038168      0.010318
20010112       0.009921     -0.006406
20010116       0.055010      0.006319
20010117       0.000000      0.002126
20010118       0.026071      0.013915
20010119      -0.050817     -0.004028
20010122       0.026769      0.000268
20010123       0.011173      0.013032
20010124       0.018416      0.002867
20010125       0.025316     -0.004977
20010126      -0.024691     -0.001886
20010129      -0.015696      0.006805
20010130       0.041152      0.007008
20010131       0.041502     -0.005620
20010201       0.034295      0.005461
20010202      -0.011842     -0.017474
20010205      -0.017843      0.003587
20010206       0.009761     -0.001514
20010207      -0.011815     -0.008408
20010208       0.005435     -0.006235
20010209       0.002703     -0.013336
20010212      -0.016442      0.011827
20010213      -0.021650     -0.008652
20010214      -0.005882     -0.002184
20010215       0.025077      0.008124
20010216      -0.037933     -0.018905
20010220       0.005714     -0.017357
20010221      -0.025000     -0.018508
20010222       0.030012     -0.001952
20010223      -0.018670     -0.005555
20010226       0.037763      0.017490
20010227       0.006944     -0.007660
20010228      -0.013517     -0.014309
20010301       0.020134      0.001040
20010302       0.014254     -0.005680
20010305       0.029189      0.005858
20010306      -0.002363      0.009981
20010307       0.034220      0.006452
20010308      -0.007381      0.002259
20010309      -0.051282     -0.024764
20010312      -0.027297     -0.043181
20010313       0.029453      0.014829
20010314      -0.040486     -0.025842
20010315       0.006189      0.005871
20010316      -0.021806     -0.019624
20010319       0.026865      0.017627
20010320       0.009741     -0.024077
20010321      -0.045204     -0.017924
20010322      -0.037529     -0.004064
20010323       0.008398      0.019909
20010326       0.011303      0.011282
20010327       0.053235      0.025575
20010328      -0.021223     -0.024430
20010329       0.000000     -0.004630
20010330       0.025678      0.010784
20010402      -0.017802     -0.012462
20010403      -0.024356     -0.034393
20010404       0.031930     -0.002901
20010405       0.054852      0.043680
20010406      -0.029333     -0.019984
20010409       0.030220      0.008117
20010410       0.046667      0.027066
20010411      -0.006115     -0.002131
20010412      -0.000513      0.015104
20010416       0.000256     -0.003228
20010417      -0.021026      0.010282
20010418       0.037192      0.038890
20010419      -0.004040      0.012551
20010420       0.023073     -0.008551
20010423       0.001735     -0.014980
20010424      -0.011380     -0.012161
20010425       0.013263      0.015941
20010426       0.039269      0.004696
20010427      -0.002139      0.015010
20010430      -0.014051     -0.002865
20010501       0.002415      0.013590
20010502      -0.000482      0.000782
20010503      -0.010646     -0.014873
20010504       0.024700      0.014440
20010507      -0.021480     -0.002447
20010508      -0.016098     -0.001828
20010509       0.025781     -0.004488
20010510       0.012808     -0.000287
20010511      -0.039131     -0.007577
20010514       0.025577      0.002609
20010515       0.016949      0.000416
20010516       0.059762      0.028453
20010517       0.005617      0.002724
20010518       0.004245      0.002693
20010521       0.009121      0.016154
20010522      -0.038801     -0.002628
20010523      -0.000459     -0.015526
20010524      -0.024553      0.003196
20010525       0.015291     -0.011816
20010529       0.006951     -0.007794
20010530      -0.025311     -0.015655
20010531       0.018650      0.006202
20010601       0.008575      0.003862
20010604       0.005285      0.005108
20010605       0.024914      0.012990
20010606      -0.018956     -0.010549
20010607      -0.010457      0.005457
20010608      -0.011486     -0.009397
20010611      -0.020683     -0.008356
20010612      -0.038918      0.001164
20010613      -0.004691     -0.011347
20010614      -0.027040     -0.017502
20010615      -0.006374     -0.004517
20010618      -0.024891     -0.004883
20010619      -0.010526      0.003434
20010620       0.012766      0.008709
20010621       0.042017      0.011364
20010622      -0.014617     -0.009450
20010625      -0.028133     -0.005509
20010626       0.002895     -0.001510
20010627       0.009184     -0.004676
20010628       0.040042      0.012493
20010629      -0.015000     -0.001452
20010702       0.027411      0.010037
20010703      -0.005682     -0.001827
20010705       0.013168     -0.012321
20010706      -0.024031     -0.023498
20010709       0.014322      0.006879
20010710      -0.021551     -0.014398
20010711      -0.014684     -0.001134
20010712       0.046506      0.023691
20010713       0.017923      0.006241
20010716      -0.043174     -0.010883
20010717      -0.007058      0.009971
20010718       0.038335     -0.005542
20010719      -0.009780      0.006053
20010720      -0.010370     -0.003432
20010723      -0.013224     -0.016369
20010724      -0.058660     -0.016272
20010725       0.049154      0.016080
20010726       0.012289      0.010449
20010727      -0.024026      0.002402
20010730       0.011920     -0.001078
20010731       0.004609      0.005571
20010801      -0.017079      0.003880
20010802      -0.014580      0.003964
20010803      -0.002114     -0.005243
20010806      -0.019592     -0.011422
20010807      -0.000810      0.003265
20010808      -0.026757     -0.017328
20010809      -0.003332     -0.000084
20010810       0.031206      0.005687
20010813       0.003242      0.000949
20010814      -0.005925     -0.003828
20010815      -0.022487     -0.007339
20010816       0.005820      0.003090
20010817       0.011022     -0.016663
20010820       0.030253      0.008124
20010821      -0.010582     -0.012079
20010822       0.020321      0.006956
20010823      -0.003407     -0.002763
20010824       0.032080      0.019654
20010827      -0.004586     -0.004827
20010828      -0.007423     -0.015010
20010829      -0.020113     -0.011115
20010830      -0.013421     -0.017038
20010831       0.016804      0.004030
20010904       0.011018     -0.000565
20010905      -0.014271     -0.001059
20010906      -0.025533     -0.022390
20010907      -0.042409     -0.018637
20010910      -0.046544      0.006226
20010917      -0.110059     -0.049216
