Year Mon FF IP 
1965 5 4.1 38.939
1965 6 4.04 39.241
1965 7 4.09 39.609
1965 8 4.12 39.777
1965 9 4.01 39.877
1965 10 4.08 40.28
1965 11 4.1 40.447
1965 12 4.32 40.95
1966 1 4.42 41.352
1966 2 4.6 41.62
1966 3 4.65 42.19
1966 4 4.67 42.257
1966 5 4.9 42.659
1966 6 5.17 42.86
1966 7 5.3 43.094
1966 8 5.53 43.128
1966 9 5.4 43.53
1966 10 5.53 43.832
1966 11 5.76 43.53
1966 12 5.4 43.631
1967 1 4.94 43.836
1967 2 5 43.339
1967 3 4.53 43.095
1967 4 4.05 43.501
1967 5 3.94 43.122
1967 6 3.98 43.116
1967 7 3.79 43.018
1967 8 3.9 43.842
1967 9 3.99 43.771
1967 10 3.88 44.128
1967 11 4.13 44.759
1967 12 4.51 45.241
1968 1 4.6 45.192
1968 2 4.71 45.354
1968 3 5.05 45.496
1968 4 5.76 45.562
1968 5 6.11 46.073
1968 6 6.07 46.242
1968 7 6.02 46.171
1968 8 6.03 46.3
1968 9 5.78 46.475
1968 10 5.91 46.567
1968 11 5.82 47.17
1968 12 6.02 47.319
1969 1 6.3 47.605
1969 2 6.61 47.91
1969 3 6.79 48.285
1969 4 7.41 48.108
1969 5 8.67 47.926
1969 6 8.9 48.394
1969 7 8.61 48.649
1969 8 9.19 48.761
1969 9 9.15 48.75
1969 10 9 48.765
1969 11 8.85 48.305
1969 12 8.97 48.175
1970 1 8.98 47.283
1970 2 8.98 47.252
1970 3 7.76 47.191
1970 4 8.1 47.069
1970 5 7.94 47.015
1970 6 7.6 46.862
1970 7 7.21 46.978
1970 8 6.61 46.894
1970 9 6.29 46.57
1970 10 6.2 45.639
1970 11 5.6 45.362
1970 12 4.9 46.404
1971 1 4.14 46.761
1971 2 3.72 46.672
1971 3 3.71 46.622
1971 4 4.15 46.883
1971 5 4.63 47.121
1971 6 4.91 47.319
1971 7 5.31 47.182
1971 8 5.56 46.908
1971 9 5.55 47.67
1971 10 5.2 48.027
1971 11 4.91 48.231
1971 12 4.14 48.787
1972 1 3.5 49.964
1972 2 3.29 50.468
1972 3 3.83 50.867
1972 4 4.17 51.35
1972 5 4.27 51.361
1972 6 4.46 51.474
1972 7 4.55 51.469
1972 8 4.8 52.072
1972 9 4.87 52.442
1972 10 5.04 53.123
1972 11 5.06 53.744
1972 12 5.33 54.489
1973 1 5.94 54.926
1973 2 6.58 55.689
1973 3 7.09 55.756
1973 4 7.12 55.582
1973 5 7.84 55.958
1973 6 8.49 55.993
1973 7 10.4 56.193
1973 8 10.5 56.077
1973 9 10.78 56.53
1973 10 10.01 56.885
1973 11 10.03 57.102
1973 12 9.95 56.97
1974 1 9.65 56.673
1974 2 8.97 56.472
1974 3 9.35 56.555
1974 4 10.51 56.54
1974 5 11.31 56.828
1974 6 11.93 56.769
1974 7 12.92 56.699
1974 8 12.01 56.163
1974 9 11.34 56.171
1974 10 10.06 55.909
1974 11 9.45 54.104
1974 12 8.53 52.184
1975 1 7.13 51.613
1975 2 6.24 50.473
1975 3 5.54 49.932
1975 4 5.49 49.893
1975 5 5.22 49.773
1975 6 5.55 50.105
1975 7 6.1 50.619
1975 8 6.14 51.034
1975 9 6.24 51.641
1975 10 5.82 51.734
1975 11 5.22 51.866
1975 12 5.2 52.567
1976 1 4.87 53.337
1976 2 4.77 53.984
1976 3 4.84 53.986
1976 4 4.82 54.38
1976 5 5.29 54.576
1976 6 5.48 54.599
1976 7 5.31 54.876
1976 8 5.29 55.234
1976 9 5.25 55.307
1976 10 5.02 55.399
1976 11 4.95 56.221
1976 12 4.65 56.895
1977 1 4.61 56.623
1977 2 4.68 57.394
1977 3 4.69 58.156
1977 4 4.73 58.694
1977 5 5.35 59.116
1977 6 5.39 59.502
1977 7 5.42 59.689
1977 8 5.9 59.699
1977 9 6.14 59.963
1977 10 6.47 60.104
1977 11 6.51 60.122
1977 12 6.56 60.262
1978 1 6.7 59.563
1978 2 6.78 59.735
1978 3 6.79 60.882
1978 4 6.89 62.051
1978 5 7.36 62.352
1978 6 7.6 62.799
1978 7 7.81 62.794
1978 8 8.04 62.967
1978 9 8.45 63.106
1978 10 8.96 63.564
1978 11 9.76 64.014
1978 12 10.03 64.4
1979 1 10.07 64.074
1979 2 10.06 64.433
1979 3 10.09 64.63
1979 4 10.01 64.074
1979 5 10.24 64.509
1979 6 10.29 64.514
1979 7 10.47 64.322
1979 8 10.94 63.891
1979 9 11.43 63.902
1979 10 13.77 64.161
1979 11 13.18 64.087
1979 12 13.78 64.163
1980 1 13.82 64.52
1980 2 14.13 64.565
1980 3 17.19 64.377
1980 4 17.61 63.098
1980 5 10.98 61.564
1980 6 9.47 60.779
1980 7 9.03 60.398
1980 8 9.61 60.547
1980 9 10.87 61.532
1980 10 12.81 62.171
1980 11 15.85 63.249
1980 12 18.9 63.624
1981 1 19.08 63.244
1981 2 15.93 63.036
1981 3 14.7 63.361
1981 4 15.72 63.084
1981 5 18.52 63.528
1981 6 19.1 63.858
1981 7 19.04 64.323
1981 8 17.82 64.228
1981 9 15.87 63.788
1981 10 15.08 63.294
1981 11 13.31 62.588
1981 12 12.37 61.906
1982 1 13.22 60.797
1982 2 14.78 61.982
1982 3 14.68 61.55
1982 4 14.94 61.044
1982 5 14.45 60.621
1982 6 14.15 60.437
1982 7 12.59 60.216
1982 8 10.12 59.662
1982 9 10.31 59.381
1982 10 9.71 58.872
1982 11 9.2 58.644
1982 12 8.95 58.188
1983 1 8.68 59.219
1983 2 8.51 58.946
1983 3 8.77 59.397
1983 4 8.8 60.187
1983 5 8.63 60.636
1983 6 8.98 61.01
1983 7 9.37 61.936
1983 8 9.56 62.593
1983 9 9.45 63.534
1983 10 9.48 64.036
1983 11 9.34 64.224
1983 12 9.47 64.644
1984 1 9.56 65.926
1984 2 9.59 66.13
1984 3 9.91 66.583
1984 4 10.29 66.975
1984 5 10.32 67.361
1984 6 11.06 67.605
1984 7 11.23 67.809
1984 8 11.64 67.893
1984 9 11.3 67.73
1984 10 9.99 67.627
1984 11 9.43 67.839
1984 12 8.38 67.926
1985 1 8.35 67.731
1985 2 8.5 68.076
1985 3 8.58 68.116
1985 4 8.27 68.096
1985 5 7.97 68.164
1985 6 7.53 68.187
1985 7 7.88 67.748
1985 8 7.9 68.062
1985 9 7.92 68.35
1985 10 7.99 68.033
1985 11 8.05 68.218
1985 12 8.27 68.889
1986 1 8.14 69.288
1986 2 7.86 68.834
1986 3 7.48 68.337
1986 4 6.99 68.385
1986 5 6.85 68.505
1986 6 6.92 68.326
1986 7 6.56 68.706
1986 8 6.17 68.597
1986 9 5.89 68.743
1986 10 5.85 69.023
1986 11 6.04 69.348
1986 12 6.91 69.969
1987 1 6.43 69.585
1987 2 6.1 70.565
1987 3 6.13 70.709
1987 4 6.37 71.176
1987 5 6.85 71.574
1987 6 6.73 72.046
1987 7 6.58 72.499
1987 8 6.73 72.987
1987 9 7.22 73.149
1987 10 7.29 74.146
1987 11 6.69 74.515
1987 12 6.77 74.808
1988 1 6.83 74.846
1988 2 6.58 75.219
1988 3 6.58 75.378
1988 4 6.87 75.683
1988 5 7.09 75.654
1988 6 7.51 75.776
1988 7 7.75 75.942
1988 8 8.01 76.335
1988 9 8.19 76.096
1988 10 8.3 76.495
1988 11 8.35 76.648
1988 12 8.76 76.995
1989 1 9.12 77.205
1989 2 9.36 76.801
1989 3 9.85 77.047
1989 4 9.84 76.992
1989 5 9.81 76.519
1989 6 9.53 76.53
1989 7 9.24 75.783
1989 8 8.99 76.459
1989 9 9.02 76.199
1989 10 8.84 76.138
1989 11 8.55 76.3
1989 12 8.45 76.847
1990 1 8.23 76.45
1990 2 8.24 77.103
1990 3 8.28 77.425
1990 4 8.26 77.422
1990 5 8.18 77.496
1990 6 8.29 77.746
1990 7 8.15 77.625
1990 8 8.13 77.83
1990 9 8.2 77.952
1990 10 8.11 77.417
1990 11 7.81 76.488
1990 12 7.31 75.959
1991 1 6.91 75.656
1991 2 6.25 75.131
1991 3 6.12 74.725
1991 4 5.91 74.892
1991 5 5.78 75.658
1991 6 5.9 76.401
1991 7 5.82 76.396
1991 8 5.66 76.43
1991 9 5.45 77.085
1991 10 5.21 76.934
1991 11 4.81 76.821
1991 12 4.43 76.561
1992 1 4.03 76.123
1992 2 4.06 76.795
1992 3 3.98 77.36
1992 4 3.73 77.894
1992 5 3.82 78.188
1992 6 3.76 78.148
1992 7 3.25 78.746
1992 8 3.3 78.484
1992 9 3.22 78.579
1992 10 3.1 79.168
1992 11 3.09 79.561
1992 12 2.92 79.569
1993 1 3.02 79.878
1993 2 3.03 80.193
1993 3 3.07 80.288
1993 4 2.96 80.472
1993 5 3 80.193
1993 6 3.04 80.359
1993 7 3.06 80.658
1993 8 3.03 80.565
1993 9 3.09 81.034
1993 10 2.99 81.551
1993 11 3.02 81.917
1993 12 2.96 82.432
1994 1 3.05 82.859
1994 2 3.25 82.931
1994 3 3.34 83.663
1994 4 3.56 84.069
1994 5 4.01 84.593
1994 6 4.25 85.17
1994 7 4.26 85.303
1994 8 4.47 85.773
1994 9 4.73 85.911
1994 10 4.76 86.609
1994 11 5.29 87.154
1994 12 5.45 88.114
1995 1 5.53 88.482
1995 2 5.92 88.518
1995 3 5.98 88.534
1995 4 6.05 88.498
1995 5 6.01 88.681
1995 6 6 88.962
1995 7 5.85 88.59
1995 8 5.74 89.802
1995 9 5.8 90.207
1995 10 5.76 90.002
1995 11 5.8 90.33
1995 12 5.6 90.731
1996 1 5.56 90.089
1996 2 5.22 91.267
1996 3 5.31 91.058
1996 4 5.22 91.851
1996 5 5.24 92.517
1996 6 5.27 93.351
1996 7 5.4 93.249
1996 8 5.22 93.927
1996 9 5.3 94.461
1996 10 5.24 94.549
1996 11 5.31 95.444
1996 12 5.29 95.967
1997 1 5.25 96.282
1997 2 5.19 97.65
1997 3 5.39 97.93
1997 4 5.51 98.422
1997 5 5.5 98.783
1997 6 5.56 99.294
1997 7 5.52 99.917
1997 8 5.54 100.87
1997 9 5.54 101.685
1997 10 5.5 102.47
1997 11 5.52 103.173
1997 12 5.5 103.525
1998 1 5.56 104.033
1998 2 5.51 104.337
1998 3 5.49 104.616
1998 4 5.45 105.2
1998 5 5.49 105.722
1998 6 5.56 105.266
1998 7 5.54 105.009
1998 8 5.55 107.115
1998 9 5.51 106.928
1998 10 5.07 107.815
1998 11 4.83 107.502
1998 12 4.68 107.537
1999 1 4.63 108.181
1999 2 4.76 108.562
1999 3 4.81 108.979
1999 4 4.74 109.207
1999 5 4.74 109.958
1999 6 4.76 110.056
1999 7 4.99 110.649
1999 8 5.07 111.379
1999 9 5.22 111.139
1999 10 5.2 112.255
1999 11 5.42 112.848
1999 12 5.3 113.709
2000 1 5.45 113.619
2000 2 5.73 114.271
2000 3 5.85 114.75
2000 4 6.02 115.563
2000 5 6.27 116.281
2000 6 6.53 116.373
2000 7 6.54 115.847
2000 8 6.5 115.714
2000 9 6.52 116.158
2000 10 6.51 115.693
2000 11 6.51 115.598
2000 12 6.4 115.277
2001 1 5.98 114.232
2001 2 5.49 113.624
2001 3 5.31 113.163
2001 4 4.8 112.824
2001 5 4.21 112.257
2001 6 3.97 111.572
2001 7 3.77 111.117
2001 8 3.65 110.875
2001 9 3.07 110.155
2001 10 2.49 109.912
2001 11 2.09 109.354
2001 12 1.82 109.108
2002 1 1.73 109.722
2002 2 1.74 109.893
2002 3 1.73 110.34
2002 4 1.75 110.777
2002 5 1.75 110.95
2002 6 1.75 111.67
2002 7 1.73 111.541
2002 8 1.74 111.493
2002 9 1.75 111.33
2002 10 1.75 111.031
2002 11 1.34 111.156
2002 12 1.24 110.612
2003 1 1.24 111.164
2003 2 1.26 111.581
2003 3 1.25 110.771
2003 4 1.26 110.094
2003 5 1.26 110.019
2003 6 1.22 109.986
2003 7 1.01 110.829
2003 8 1.03 110.857
2003 9 1.01 111.492
2003 10 1.01 111.776
2003 11 1 112.859
2003 12 0.98 113.124
