   ibm        sp
   2.95394   5.11683
  -1.39772  -5.18513
   1.17408  -2.18980
   0.18084  -1.41294
  -6.63535   0.02000
  -4.24379  -2.38522
   7.26555   4.43613
   1.55091  -1.63530
   1.02077  -2.12645
  -2.78646  -0.24831
  -1.44742  -4.43804
   3.53285   2.66127
   3.53478   0.28459
  -2.96863  -6.34831
  -4.37638  -2.50717
  -6.47412   2.46243
  12.17839   8.19670
  -1.84797   0.42211
  -0.38775  -1.77465
   8.83039   5.25071
   4.77897   2.55898
  -5.23043  -0.72865
  -4.71231  -9.60374
   3.03061   1.65031
  10.22045   1.47802
   3.37635   3.89803
  -1.73496  -3.72139
   5.03794   5.36829
  -0.39679   0.16686
  -2.19082  -2.66931
  -3.51506   3.79314
  -5.06619   0.87119
   1.57848   5.17192
  -3.26678   0.00000
  -8.26645  -7.10772
   5.81557   4.17368
  -1.35007   1.66309
   6.39321   5.60211
  -6.41653  -0.43896
 -13.01656 -10.73514
  -1.58246   4.03163
   2.44780   4.55182
   5.91647   2.66127
  10.49364   6.30124
   1.68669   0.58230
  -2.12134   2.48585
   3.82491   1.58930
   3.48071   9.74715
  -0.36768  -3.44569
  -5.29473  -4.68191
   1.13553   1.31926
  -2.96142   3.53961
  -6.20031  -2.37396
   1.66604  -0.16614
  -1.50020  -1.04646
  -3.07067  -0.22124
  -0.24931  -6.41119
  -1.83065  -5.53330
  -4.97156   4.79803
   7.22741   3.59365
   4.26571  -3.05417
  11.21494  -1.76956
  -1.40888  -6.24607
  -3.49435  -1.02221
   7.26090   3.92303
  -2.98614  -3.99474
  -1.43322  -2.04987
   7.92455  -2.32584
   8.37803  10.97329
   3.99704   0.75812
   8.48833  10.46843
   8.95756   3.54830
  10.68075   1.50462
   2.69048   3.25930
   0.99107   1.88218
   2.74011   3.25543
  13.96576   7.22462
  -4.18955  -1.24269
   7.77940   3.46140
   0.10395  -3.35671
   0.06198   1.12564
   5.98902   1.01087
  -0.09905  -1.52862
  -6.87822   1.72798
   3.86436  -0.88692
  -6.67276  -0.92628
  -2.59642  -3.96352
   3.34444   1.34097
  -0.21924   0.54551
  -4.54159  -6.11948
  -1.87344   1.73192
   4.61963  -1.65868
  11.98343  10.10482
   0.40319  -0.34861
   1.18001  -0.00600
  -2.33403  -1.52253
   1.12267   2.21235
  10.22045   7.14738
  -0.93940   0.86425
  -5.36540  -0.29343
  -0.39478  -0.46006
   2.51705   5.26399
  -3.86369   1.20570
   5.97960  -0.48618
  -2.81732  -1.20625
  -2.19594  -3.53371
   4.73033   4.16313
   8.11191   6.30311
  10.67895   4.40743
  -2.60565   0.23672
   0.31351   6.90502
   0.41315   5.14438
   3.08686  -1.42511
  -1.79196   4.90092
  -3.93231   1.40114
 -10.04393  -6.04721
   5.39862   6.87702
  -3.11089  -8.93122
  -8.43168   5.32848
   3.65344   2.12526
  -5.76821  -2.86979
   7.03839  12.37828
   8.80475   3.62548
   7.33991   2.60478
   6.44854  -1.15161
   0.60715   0.60119
   1.55091   4.67977
  -0.92729   4.70935
   5.13013   3.43628
 -11.05741  -2.44669
 -20.75163 -24.54275
  -9.09537  -8.92138
   4.19957   7.03280
  -2.74329   3.96341
   5.39104   4.09692
  -8.77826  -3.39084
   5.20515   0.93759
   0.19780   0.31750
  12.41803   4.23504
  -1.28421  -0.54247
 -11.04512  -3.93647
   3.41599   3.89611
   6.09446   2.56288
  -2.49794  -1.90707
   2.80820   1.45831
   6.93301   6.86955
  -6.34085  -2.93670
 -10.74182   2.05964
   4.37010   4.88759
  -2.81526   3.45367
   2.03123  -0.79515
   2.75471   8.46812
   2.85875   1.54008
  -6.96073  -0.65615
  -8.59719  -2.55024
  -1.42105   1.64047
  -3.65084   2.11938
   4.67023  -7.13027
   6.34442   0.85037
   2.14288   2.39704
   2.67296  -2.72582
  10.61782   8.80017
  -2.10500  -0.89298
  -5.24097  -0.52337
  -7.84698  -9.90582
   4.32223  -5.25362
  -0.94445  -0.67225
   8.59667   5.82029
  -0.55152   2.45267
  11.48276   4.06812
   2.50145   6.51134
 -12.27667   2.19572
 -10.03730   0.03499
   4.12283   3.78544
  -8.86236  -4.90747
   4.15929   4.38829
  -3.17590   1.94594
   6.73595  -1.93255
  -5.32637   1.17902
  -4.73118  -4.49241
  -3.85745  10.57914
   1.11773  -2.01007
  -2.15097   0.95146
  -3.96248  -2.20718
   8.32652   2.75082
   1.32419   0.09595
   7.55805  -1.75125
  -3.24509   3.86148
  -7.57801  -2.42927
  -7.02293   0.90688
 -18.85368   0.21078
   3.79218   2.98112
 -30.36760   1.00592
   2.20843   0.70253
   6.42041   1.04255
  -6.65352   1.85273
  -4.52380  -2.57487
   9.16124   2.24657
  -6.61184   0.07597
 -10.39504  -0.53443
   3.31543   3.38506
  -8.55252  -1.00402
   9.09735   1.92044
  16.26544  -1.29941
   4.75704   1.00394
   0.00000   3.19830
  -6.15882  -3.05108
   3.25640  -4.68296
   5.12918   1.14640
   9.53102   1.23435
  -6.98432  -2.71759
   5.18237   3.09850
  10.53595   3.69489
   1.62866  -2.72684
   6.76773   2.06160
  -4.81194  -4.03013
   3.81336   1.22250
  -1.88872   2.39899
   4.57283   3.54347
   8.74246   2.69632
  14.16818   2.75763
  -1.46366   3.56663
   3.17506   2.10567
  12.58482   3.12855
  -4.94214  -0.03201
  -8.97606   3.93169
   2.86846  -0.49924
  -0.38675   4.02298
  -5.58616   1.72897
  17.17745   3.20993
  12.44187   0.69061
  -9.73483   0.78888
  -3.19655   1.33406
  -0.60483   2.25928
  -7.53703   0.22575
   8.23723  -4.68296
   6.50478   1.86353
   8.48190   5.27822
   3.55023   2.57652
  21.36426   7.08125
  -5.06724  -2.17447
   3.48651   5.95134
  -8.49372   0.59125
  -4.62743  -4.35444
  15.64908   5.67678
   7.73036   5.69284
   4.24367   4.25325
  15.84984   7.52466
  -4.02805  -5.91875
   4.46100   5.17857
  -7.33775  -3.50885
  10.76968   4.36245
  -4.55414   1.56076
  -5.77880   1.00988
   5.79104   6.80791
  -0.54046   4.87425
  10.93207   0.90489
   1.57946  -1.90197
  -2.31356   3.86821
  14.32862  -1.16880
 -16.05679 -15.73207
  13.18612   6.03046
  14.46543   7.71925
  10.74453   5.74478
  11.02704   5.48480
  -0.61187   4.01914
  -7.52301  -3.28125
   4.32319   3.80566
  16.56670   3.72380
  10.45402  -2.52870
  10.81546   5.30098
  -2.79469  -3.25748
  -0.80322  -0.62696
  -2.90169  -2.89655
 -20.82796   6.06623
   4.89806   1.88806
   4.56328   5.62291
