Date      GE       IBM       SP
19340929 -0.011842 0.036364 -0.005464
19341031 -0.04698 -0.014184 -0.031868
19341130 0.169014 0.111511 0.08286
19341231 0.079518 0.016505 -0.004193
19350131 0.05618 -0.006557 -0.042105
19350228 -0.015957 0.049505 -0.03956
19350330 -0.042162 0.01022 -0.030892
19350430 0.085227 0.09348 0.095632
19350531 0.026178 -0.008621 0.032328
19350629 0.052041 0.034783 0.06785
19350731 0.141463 0.033898 0.083089
19350831 0.064103 -0.006831 0.021661
19350930 0.082731 -0.013755 0.023852
19351031 0.063433 0.014065 0.075065
19351130 0.063158 0.012483 0.039326
19351231 0.015182 0.014938 0.037066
19360131 0.029412 0.024527 0.065525
19360229 -0.015873 -0.04788 0.016771
19360331 -0.003226 0.034483 0.02543
19360430 -0.068404 -0.092437 -0.077078
19360529 0.048951 0.024691 0.045752
19360630 0.006667 0.045181 0.030556
19360731 0.166667 -0.045058 0.068059
19360831 0.08 0.022831 0.008833
19360930 -0.042328 0.024182 0.001251
19361031 0.088889 0.002565 0.074953
19361130 0.068878 0.114035 0.004067
19361231 0.060533 -0.001312 -0.005787
19370130 0.159817 -0.044371 0.037835
19370227 -0.035433 -0.015939 0.014582
19370331 -0.042449 -0.045387 -0.009397
19370430 -0.077253 0.016419 -0.083147
19370528 -0.011628 -0.070769 -0.010347
19370630 0.002824 0.003311 -0.052891
19370731 0.104019 0.07 0.102597
19370831 -0.098501 -0.065421 -0.055359
19370930 -0.144418 -0.015 -0.142145
19371030 -0.030812 -0.022222 -0.101744
19371130 0 -0.076923 -0.101133
19371231 -0.026627 0.047348 -0.050405
19380131 -0.042553 0.071298 0.01327
19380228 0.019048 0.047782 0.060804
19380331 -0.30405 -0.100489 -0.250441
19380430 0.162896 0.069231 0.141177
19380531 -0.035019 0.017986 -0.04433
19380630 0.300806 0.095406 0.247033
19380730 0.040498 0.065147 0.072664
19380831 -0.002994 -0.006116 -0.027419
19380930 0.022823 0.012308 0.014925
19381031 0.100295 0.070552 0.07598
19381130 -0.075067 0.008596 -0.033409
19381231 0.013333 0.059659 0.037706
19390131 -0.074713 -0.039865 -0.068887
19390228 0.034161 0.037298 0.03252
19390331 -0.171171 -0.034057 -0.135433
19390429 -0.007299 -0.014881 -0.005464
19390531 0.0625 0.070242 0.062271
19390630 -0.093426 -0.003529 -0.063793
19390731 0.169231 0.068571 0.108656
19390831 -0.078947 -0.093583 -0.071429
19390930 0.182143 -0.014749 0.16458
19391031 -0.027356 0.087613 -0.014593
19391130 -0.024375 0 -0.049104
19391230 0.052117 0.039583 0.02377
19400131 -0.06192 -0.028956 -0.035228
19400229 -0.009901 0.051318 0.006639
19400330 0.049333 -0.006794 0.009893
19400430 -0.041667 -0.013361 -0.004898
19400531 -0.197324 -0.161796 -0.239541
19400629 0.061667 -0.047619 0.076591
19400731 0.06746 0.025271 0.031062
19400831 0.011152 0.005282 0.026239
19400930 0.043382 0.094571 0.00947
19401031 0.007117 0.017771 0.0394
19401130 -0.048057 0.006349 -0.042419
19401231 0.007605 0.01735 -0.002828
19410131 -0.003774 0.000704 -0.048204
19410228 -0.003788 -0.014778 -0.014896
19410331 -0.008365 0.03375 0.004032
19410430 -0.104651 -0.081807 -0.065261
19410531 -0.012987 0.066489 0.004296
19410630 0.14386 0.034913 0.053476
19410731 -0.015504 0.025953 0.054822
19410830 0.031496 -0.007115 -0.008662
19410930 -0.016031 0.025478 -0.009709
19411031 -0.133333 -0.031348 -0.068627
19411129 -0.032579 0.003236 -0.042105
19411231 0.022749 -0.016129 -0.045055
19420131 0.018779 -0.111672 0.013809
19420228 -0.041475 -0.037182 -0.024972
19420331 -0.077885 -0.036585 -0.06752
19420430 -0.026455 -0.008547 -0.043695
19420529 0.086957 0.039332 0.063969
19420630 0.049 0.105236 0.018405
19420731 0.014493 0.028463 0.031325
19420831 0.009524 0.01845 0.007009
19420930 0.050943 0.003623 0.026682
19421031 0.068182 0.020073 0.064407
19421130 -0.004255 0.059034 -0.0138
19421231 0.054701 0.02027 0.051668
19430130 0.114754 0.079849 0.071648
19430227 0.047794 0.011382 0.050621
19430331 0.055439 0.042208 0.052727
19430430 -0.02349 0.006231 0.000864
19430529 0.044674 0.049536 0.044866
19430630 0.055263 0.008929 0.019818
19430731 -0.081761 -0.014749 -0.054251
19430831 0.013699 0.032934 0.010274
19430930 0.056757 0.019006 0.023729
19431030 -0.058065 -0.010043 -0.013245
19431130 -0.047945 -0.031884 -0.075503
19431231 0.071223 0.045317 0.058984
19440131 -0.010169 -0.028902 0.015424
19440229 -0.041096 -0.021875 -0.002532
19440331 0.035 0.108065 0.01692
19440429 -0.003484 -0.009461 -0.012479
19440531 0.01049 0.01396 0.040438
19440630 0.061592 0.005848 0.051012
19440731 -0.016447 0.012718 -0.020801
19440831 0.016722 0.037675 0.008655
19440930 -0.010526 0.006974 -0.00312
19441031 0.036913 -0.036011 0
19441130 0.016181 0.064655 0.003912
19441230 0.015287 0.006803 0.035074
19450131 -0.018987 -0.01527 0.014307
19450228 0.096774 0.049712 0.061618
19450331 -0.043529 -0.008997 -0.046154
19450430 0.086957 0.044693 0.087977
19450531 0.011429 0.044118 0.011456
19450630 -0.027684 -0.015484 -0.003331
19450731 0.020528 0.005242 -0.020053
19450831 0.086207 0.014342 0.057981
19450929 0.032275 0.041451 0.041908
19451031 -0.023256 0.104478 0.030322
19451130 -0.018519 0.099099 0.032432
19451231 0.038275 -0.018557 0.009889
19460131 0.057592 0.02416 0.0697
19460228 -0.05198 0.033333 -0.069467
19460330 -0.009922 0.0575 0.046296
19460430 -0.023936 0.125296 0.037611
19460531 0.087193 0.048319 0.022388
19460628 -0.039599 -0.016129 -0.039103
19460731 -0.015789 0.012295 -0.025502
19460830 -0.080214 -0.062753 -0.07294
19460930 -0.077907 -0.082609 -0.101502
19461031 -0.057325 -0.009479 -0.008021
19461130 -0.054054 0.00299 -0.011456
19461231 0.036429 0.00961 0.042945
19470131 0.090592 0.051755 0.023529
19470228 -0.038339 -0.038462 -0.014687
19470331 -0.045847 -0.011848 -0.01685
19470430 -0.021127 -0.071942 -0.038893
19470529 -0.010791 0.041344 -0.008916
19470630 0.044364 0.03 0.052595
19470731 0.073944 0.043689 0.03616
19470829 -0.036066 0 -0.027919
19470930 0.004082 0.002342 -0.013708
19471031 0 0.011682 0.021178
19471129 -0.041096 0.055139 -0.028516
19471231 0.032857 0.05756 0.02068
19480131 -0.038462 -0.0875 -0.039869
19480228 -0.050909 0.078767 -0.046971
19480331 0.115709 0.048507 0.077143
19480430 -0.03125 0.007117 0.026525
19480528 0.204301 0.038869 0.078165
19480630 -0.01131 0 0.002996
19480730 -0.069909 -0.047945 -0.053166
19480831 0.03268 0.084532 0.007571
19480930 0 -0.048414 -0.030056
19481030 0.083333 0.080702 0.067786
19481130 -0.118343 -0.028409 -0.108223
19481231 0.057047 0.049622 0.030508
19490131 -0.016077 0.053365 0.001316
19490228 -0.058824 -0.047923 -0.039422
19490331 0.065972 0.048986 0.030096
19490430 -0.023102 0.030596 -0.021248
19490531 -0.050676 0 -0.037313
19490630 0.003559 -0.04717 -0.002114
19490729 0.068345 0.10231 0.062147
19490831 0.003367 0 0.011968
19490930 0.010067 0.060241 0.023653
19491031 0.006734 0.117898 0.029525
19491130 0.070234 -0.013977 0.001247
19491231 0.078125 0.176166 0.043587
19500131 0.047478 0.054626 0.017303
19500228 0.048159 -0.008772 0.009971
19500331 0.012973 0.037778 0.004065
19500429 0.045946 -0.019272 0.045113
19500531 0.018088 0.021834 0.039292
19500630 -0.066497 -0.098712 -0.05804
19500731 0.013774 -0.095238 0.008479
19500831 0.038043 0.094737 0.032511
19500929 0.00733 0.028986 0.055917
19501031 0.023684 -0.00939 0.004113
19501130 0 0.010664 -0.001024
19501230 0.057218 0.017668 0.04613
19510131 0.095477 0.057292 0.061244
19510228 0.025229 -0.041379 0.006464
19510331 -0.008949 -0.018072 -0.018349
19510430 0.016018 0.006135 0.048131
19510531 -0.033784 -0.002439 -0.040571
19510629 -0.002331 -0.017199 -0.026022
19510731 0.059242 0.07 0.068702
19510831 0.067114 0.03972 0.039286
19510928 0.041929 -0.020316 -0.000859
19511031 -0.083503 -0.064516 -0.013758
19511130 -0.004444 0.009852 -0.002616
19511231 0.075893 0.071078 0.038899
19520131 -0.021008 -0.032895 0.015566
19520229 -0.053648 -0.048447 -0.036454
19520331 0.088435 0.007874 0.047721
19520430 -0.037975 -0.013021 -0.043086
19520529 0.046053 0.060686 0.023156
19520630 0.067086 0.095 0.046102
19520731 0.001988 -0.004566 0.017628
19520829 0.001984 -0.008028 -0.014567
19520930 0.013861 -0.019744 -0.019577
19521031 -0.01581 0.021327 -0.000815
19521128 0.128514 0.071926 0.046493
19521231 0.046263 0.073967 0.035464
19530130 -0.051546 -0.013815 -0.007151
19530227 0 0.028017 -0.018196
19530331 0.003623 0.014737 -0.023552
19530430 0.027372 -0.049793 -0.026493
19530529 0.024867 0.050218 -0.003249
19530630 -0.005199 -0.030271 -0.0163
19530731 0.03169 0.033369 0.025269
19530831 -0.03413 -0.004167 -0.057778
19530930 0.045936 -0.029412 0.001286
19531030 0.114334 0.008658 0.050964
19531130 0.108729 0.032189 0.008965
19531231 -0.011173 0.057098 0.002019
19540129 0.062857 0.054656 0.051189
19540226 0.079301 0.044146 0.002684
19540331 0.07472 0.232472 0.03021
19540430 0.153216 0.005988 0.048998
19540528 -0.047667 0.067708 0.032909
19540630 0.185942 0.048951 0.000685
19540730 -0.043478 -0.005 0.057172
19540831 -0.056818 -0.048576 -0.034003
19540930 0.063855 0.035336 0.083138
19541029 -0.037143 0.06314 -0.019499
19541130 0.086053 0.186196 0.080808
19541231 0.030601 -0.017639 0.050818
19550131 0.064171 0.026243 0.018066
19550228 0.047739 0.004038 0.003549
19550331 -0.042686 0.067204 -0.004897
19550429 0.065657 0.078086 0.037726
19550531 -0.018957 -0.021028 -0.001317
19550630 0.0343 -0.007177 0.0823
19550729 -0.035294 0.015663 0.060687
19550831 0.034146 -0.039146 -0.007813
19550930 -0.049057 -0.017327 0.011348
19551031 -0.065 -0.042821 -0.030456
19551130 0.149733 0.047368 0.07487
19551230 0.083721 0.040491 -0.000659
19560131 -0.060606 -0.032258 -0.0365
19560229 0.073733 0.051282 0.034687
19560329 0.100858 0.210269 0.069255
19560430 -0.031434 0.070707 -0.002063
19560531 -0.070994 0.01533 -0.06573
19560629 0.074236 0.139697 0.039159
19560731 0.047131 0.052094 0.051522
19560831 -0.039139 -0.057282 -0.038064
19560928 -0.07943 -0.065015 -0.045464
19561031 0.066964 0.030905 0.005072
19561130 -0.008368 0.047109 -0.01097
19561231 0.025316 0.106557 0.035271
19570131 -0.107884 -0.040741 -0.041783
19570228 0.030233 -0.016409 -0.032648
19570329 0.060948 0.021632 0.019649
19570430 0.087983 0.101059 0.036953
19570531 0.053254 0.059732 0.036948
19570628 0.033708 0.123939 -0.001265
19570731 0.018248 0.016616 0.0114
19570830 -0.064516 -0.059138 -0.056147
19570930 -0.070881 -0.049051 -0.06192
19571031 0.004158 -0.006656 -0.03206
19571129 0.078675 0.040536 0.016074
19571231 -0.047985 0.008468 -0.041467
19580131 0.022358 0.054098 0.042761
19580228 -0.04175 0.023795 -0.020624
19580331 0.002075 0.053272 0.030852
19580430 -0.010438 0.014451 0.031829
19580529 0.008439 -0.004558 0.014963
19580630 0.012552 0.058065 0.026083
19580731 0.047917 0.001355 0.043103
19580829 0.011928 0.008525 0.011867
19580930 0.045187 0.096774 0.048377
19581031 0.032197 0.066176 0.02537
19581128 0.023853 0.02908 0.022404
19581231 0.130824 0.22679 0.05202
19590130 -0.009569 -0.064953 0.003804
19590227 0.027375 0.058771 -0.00018
19590331 0.026646 0.026465 0.000541
19590430 0.02765 0.07919 0.038781
19590529 -0.025411 0.204352 0.018927
19590630 -0.009202 -0.046809 -0.003579
19590731 0.012461 -0.044643 0.03489
19590831 0.007692 -0.007009 -0.015039
19590930 -0.030534 -0.030624 -0.045638
19591030 0.023772 -0.006075 0.011252
19591130 0.134675 0.067482 0.013213
19591231 0.087312 0.005161 0.027625
19600129 -0.137453 -0.05077 -0.071464
19600229 0.046784 0.006611 0.009171
19600331 0.009777 0.050239 -0.013899
19600429 -0.013908 0.030752 -0.017528
19600531 0.008463 0.11547 0.026853
19600630 0.037762 0.035714 0.019524
19600729 -0.082656 0.004789 -0.024772
19600831 -0.028065 0.023356 0.026121
19600930 -0.101824 -0.037313 -0.060393
19601031 -0.005111 -0.00969 -0.002429
19601130 0.027397 0.091487 0.04027
19601230 0 0.064632 0.046273
19610131 -0.048658 0.072513 0.063156
19610228 -0.074074 0.0625 0.02687
19610330 -0.001905 0.02963 0.025536
19610428 -0.057692 0.027338 0.003843
19610531 0.057143 0.027521 0.019139
19610630 -0.011583 -0.026612 -0.028846
19610731 0.045276 0.024185 0.032797
19610831 0.067797 0.067967 0.019623
19610929 0.065256 0.035611 -0.019686
19611031 -0.013333 0.092007 0.028323
19611130 0.064189 -0.011745 0.039347
19611229 -0.038095 -0.001724 0.003225
19620131 -0.003322 -0.063903 -0.037876
19620228 -0.005 -0.007841 0.01627
19620330 0.036851 -0.007914 -0.00586
19620430 -0.108943 -0.147818 -0.06197
19620531 -0.040146 -0.133811 -0.08599
19620629 -0.087452 -0.135669 -0.081838
19620731 0.115546 0.140752 0.063562
19620831 0.032015 0.02584 0.015284
19620928 -0.060219 -0.107886 -0.048207
19621031 0.060665 -0.021216 0.004443
19621130 0.103321 0.153902 0.101557
19621231 0.033445 -0.02133 0.013492
19630131 0.019544 0.086538 0.049128
19630228 -0.070288 -0.054277 -0.028852
19630329 0.032646 0.053158 0.035464
19630430 0.055276 0.101544 0.04852
19630531 0.066667 0.031267 0.014327
19630628 -0.053571 -0.085909 -0.020198
19630731 -0.011076 -0.004011 -0.00346
19630830 0.0432 0.025892 0.048749
19630930 -0.019939 0.016301 -0.011034
19631031 0.055118 0.09292 0.032218
19631129 -0.014925 -0.015182 -0.010539
19631231 0.062727 0.044822 0.024444
19640131 0.008608 0.069034 0.026926
19640228 -0.025605 0.052122 0.009865
19640331 0.025401 0.044376 0.015167
19640430 -0.055874 -0.040387 0.006077
19640528 -0.016692 0.05491 0.011452
19640630 -0.008642 -0.00625 0.016424
19640731 0.045455 -0.031447 0.01824
19640831 0.007496 -0.043831 -0.01623
19640930 0.070536 -0.009081 0.028718
19641030 -0.020979 -0.037801 0.008078
19641130 0.058571 -0.014881 -0.005185
19641231 0.012686 -0.007273 0.003909
19650129 0.065684 0.095238 0.033156
19650226 0.005031 0.019509 -0.001485
19650331 0.001752 -0.003291 -0.014526
19650430 0.047739 0.067694 0.034239
19650528 -0.008393 -0.01134 -0.007743
19650630 -0.067231 -0.041841 -0.048632
19650730 0.046936 0.045852 0.013433
19650831 0.042341 0.044885 0.022522
19650930 0.124492 0.027054 0.032006
19651029 0.010684 0.04 0.027345
19651130 -0.038055 -0.012195 -0.008764
19651231 0.043077 -0.049524 0.008951
19660131 -0.027542 -0.006012 0.004869
19660228 -0.050109 0.041331 -0.017873
19660331 0.01055 0.001942 -0.021815
19660429 0.049087 0.080426 0.020509
19660531 -0.09358 -0.021031 -0.05414
19660630 0.02545 -0.02968 -0.016138
19660729 -0.100118 -0.027817 -0.013453
19660831 -0.109948 -0.0562 -0.077751
19660930 0.007647 -0.00936 -0.007004
19661031 0.122059 0.045669 0.047544
19661130 0.027523 0.135843 0.003117
19661230 -0.090306 -0.011968 -0.001492
19670131 -0.007062 0.07537 0.078178
19670228 -0.018492 0.079099 0.001963
19670331 -0.008406 0.048837 0.03941
19670428 0.11782 0.100887 0.042239
19670531 -0.093544 -0.035234 -0.052441
19670630 0.017733 0.067024 0.017512
19670731 0.243165 0.020603 0.045344
19670831 0.011574 -0.013589 -0.011715
19670929 0.032265 0.097049 0.032785
19671031 -0.054627 0.082535 -0.029056
19671130 -0.017689 0.033024 0.001065
19671229 -0.071789 0.02451 0.026277
19680131 -0.084635 -0.051834 -0.043848
19680229 -0.003983 -0.022204 -0.031223
19680329 -0.005755 0.056034 0.0094
19680430 0.109986 0.106122 0.081929
19680531 -0.074055 0.055793 0.011169
19680628 -0.021277 -0.009104 0.00912
19680730 -0.021739 -0.042403 -0.018478
19680830 -0.002963 -0.009151 0.011459
19680930 0.0211 0 0.038539
19681031 0.11437 -0.081642 0.007208
19681129 0.048684 0.087134 0.047964
19681231 -0.051192 -0.05618 -0.041617
19690131 -0.011984 -0.059524 -0.008184
19690228 -0.060377 -0.007004 -0.047374
19690328 0.066474 0.070303 0.034444
19690430 0.059621 0.044586 0.021476
19690529 -0.035806 -0.025 -0.002218
19690630 -0.038196 0.058777 -0.055577
19690731 -0.043056 -0.03923 -0.060178
19690829 -0.027576 0.066256 0.040074
19690930 0.022687 0.000725 -0.025024
19691031 -0.010294 0.044171 0.044244
19691128 -0.047548 -0.006935 -0.035274
19691231 -0.024649 0.021008 -0.018655
19700130 -0.066129 -0.080247 -0.076472
19700227 -0.025907 0.018494 0.052693
19700331 0.055319 -0.005143 0.001453
19700430 -0.033898 -0.119645 -0.090483
19700529 -0.068421 -0.063087 -0.060967
19700630 0.026742 -0.100719 -0.050033
19700731 0.138889 0.0138 0.073295
19700831 0.021138 0.0555 0.044459
19700930 0.083121 0.095775 0.032998
19701030 0.019259 0.011825 -0.0114
19701130 0.027616 0.045068 0.047447
19701231 0.06959 0.034174 0.056766
19710129 0.057257 0.02439 0.040477
19710226 0.089421 0.037788 0.009074
19710331 0.04185 0.062407 0.036796
19710430 0.097098 0.000699 0.036288
19710528 -0.024415 -0.08232 -0.041558
19710630 0.019395 -0.030581 0.000703
19710730 -0.121399 -0.08123 -0.041324
19710831 0.161592 0.04824 0.036095
19710930 -0.002419 -0.000822 -0.006968
19711029 -0.052846 -0.0107 -0.041794
19711130 0.025751 0.020965 -0.002547
19711231 0.053975 0.101473 0.086179
19720131 -0.00998 0.093611 0.018121
19720229 -0.022177 0.005027 0.025303
19720330 0.071753 0.037313 0.005912
19720428 0.046422 0.00981 0.004384
19720531 0.016636 0.033938 0.017275
19720630 -0.038545 -0.014456 -0.021821
19720731 -0.041825 0.022321 0.002333
19720831 0.055556 0.022707 0.034454
19720929 0.003383 -0.004896 -0.004861
19721031 -0.037665 -0.051661 0.009317
19721130 0.068102 0.017769 0.045617
19721229 0.073665 0.028133 0.011828
19730131 -0.039451 0.083333 -0.017111
19730228 -0.039643 -0.00597 -0.03749
19730330 -0.035514 0 -0.001433
19730430 -0.081395 -0.054461 -0.0408
19730531 0.004219 -0.032261 -0.018884
19730629 -0.029832 0.007149 -0.006575
19730731 0.093682 -0.007886 0.037982
19730831 -0.057769 -0.039364 -0.036685
19730928 0.072304 -0.142857 0.040096
19731031 0.037698 0.08624 -0.001291
19731130 -0.028298 -0.050419 -0.113861
19731231 -0.00198 -0.068868 0.016569
19740131 -0.049603 -0.006079 -0.010046
19740228 -0.047599 -0.024852 -0.003624
19740329 -0.041943 -0.008933 -0.02328
19740430 -0.059908 -0.036055 -0.039051
19740531 -0.053922 -0.059274 -0.033551
19740628 0.029016 0.001176 -0.014665
19740731 -0.126904 -0.052291 -0.077791
19740830 -0.119186 -0.040298 -0.090279
19740930 -0.164356 -0.171875 -0.119335
19741031 0.224 0.189465 0.163047
19741129 -0.029412 -0.054858 -0.05318
19741231 -0.090236 -0.052186 -0.020151
19750131 0.157303 0.120536 0.122812
19750228 0.152751 0.152722 0.059886
19750331 0.042493 -0.041183 0.021694
19750430 0 0.015729 0.047265
19750530 -0.013587 0.031566 0.044101
19750630 0.168595 -0.027907 0.044323
19750731 -0.102138 -0.089713 -0.067654
19750829 -0.021164 -0.011827 -0.02107
19750930 -0.04 0.010738 -0.034645
19751031 0.09375 0.12749 0.061643
19751128 0.002597 0.074794 0.024708
19751231 -0.035751 -0.009387 -0.011508
19760130 0.214092 0.149387 0.118306
19760227 -0.046875 -0.001455 -0.011402
19760331 -0.008899 0.024939 0.030689
19760430 0.02381 -0.03292 -0.010995
19760528 -0.053488 0.019734 -0.014364
19760630 0.130713 0.078422 0.040926
19760730 -0.045952 -0.016712 -0.008055
19760831 -0.027523 0.01378 -0.005124
19760930 0.029717 0.028323 0.022641
19761029 -0.013857 -0.034207 -0.022235
19761130 -0.051522 0.00552 -0.007775
19761231 0.107654 0.029982 0.052498
19770131 -0.049438 -0.013883 -0.05053
19770228 -0.044917 0.011807 -0.02166
19770331 -0.018317 0.001812 -0.014025
19770429 0.096692 -0.064195 0.000203
19770531 0.006961 -0.041546 -0.023568
19770630 0.051613 0.075356 0.04536
19770729 -0.037611 0.015625 -0.016222
19770831 -0.018391 0.010256 -0.021042
19770930 -0.029508 -0.02748 -0.00248
19771031 -0.021951 -0.014368 -0.043406
19771130 0.010973 0.035957 0.026966
19771230 -0.004988 0.035985 0.002847
19780131 -0.082707 -0.02925 -0.061514
19780228 -0.021858 -0.042825 -0.024762
19780331 0.05419 -0.062687 0.024931
19780428 0.120643 0.129512 0.085416
19780531 0.011962 -0.018308 0.004234
19780630 -0.032624 -0.003872 -0.017585
19780731 0.061881 0.092323 0.05391
19780831 0.011655 0.04895 0.025924
19780929 -0.013364 -0.050964 -0.007261
19781031 -0.101655 -0.046029 -0.091574
19781130 0.005789 0.030766 0.01664
19781229 0 0.107607 0.014889
19790131 0.023873 0.034338 0.039746
19790228 -0.033161 -0.017198 -0.036526
19790330 0.043478 0.051667 0.055152
19790430 0.023438 -0.003962 0.001673
19790531 0.014249 -0.021671 -0.026336
19790629 0.017812 -0.034539 0.038656
19790731 0.035 -0.049404 0.008746
19790831 0.028986 0.015914 0.053078
19790928 -0.033803 -0.032143 0
19791031 -0.046798 -0.079336 -0.068606
19791130 -0.032041 0.05988 0.042624
19791231 0.097561 -0.01341 0.016767
19800131 0.08642 0.066019 0.057625
19800229 -0.073636 -0.062149 -0.00438
19800331 -0.042289 -0.122047 -0.101795
19800430 -0.012987 -0.015695 0.04114
19800530 0.057895 0.024784 0.046571
19800630 0.040404 0.060948 0.026969
19800731 0.092233 0.110638 0.065039
19800829 -0.031111 0.017011 0.005835
19800930 -0.020642 -0.020992 0.025168
19801031 0.028504 0.038986 0.016021
19801128 0.143187 0.035422 0.102377
19801231 0.00202 -0.00367 -0.033874
19810130 0 -0.051565 -0.045742
19810227 0.089796 0.011417 0.013277
19810331 0.014981 -0.029183 0.036033
19810430 -0.020522 -0.06012 -0.023456
19810529 0.001905 0.016802 -0.001657
19810630 -0.046768 -0.014894 -0.010408
19810731 -0.014141 -0.030238 -0.00221
19810831 -0.084016 -0.002494 -0.062099
19810930 -0.003579 -0.018141 -0.053832
19811030 -0.01139 -0.048499 0.049148
19811130 0.112903 0.074951 0.03659
19811231 -0.036439 0.043578 -0.030075
19820129 0.089325 0.118681 -0.017544
19820226 0.006 -0.013988 -0.060548
19820331 0.020676 -0.034343 -0.010167
19820430 0.011834 0.075314 0.040014
19820528 -0.035088 -0.029416 -0.039162
19820630 0.04202 -0.014228 -0.02029
19820730 0.033399 0.082474 -0.022991
19820831 0.144487 0.08739 0.115977
19820930 0.004651 0.04078 0.007614
19821029 0.148829 0.088586 0.110364
19821130 0.087045 0.093709 0.036123
19821231 0.025676 0.112717 0.015158
19830131 0.090909 0.027273 0.033134
19830228 0.048309 0.009962 0.018995
19830331 -0.024424 0.027778 0.033095
19830429 0.065476 0.149877 0.074922
19830531 -0.075978 -0.041026 -0.012346
19830630 0.073277 0.080899 0.035224
19830729 -0.093182 0.00104 -0.033014
19830831 0.025063 0.000623 0.011319
19830930 0.041076 0.061715 0.010158
