date            hpq           vw            eq            sp
19981013      -0.006024     -0.006303     -0.007987     -0.002917
19981014      -0.035152      0.013490      0.007710      0.010786
19981015       0.043970      0.040648      0.025737      0.041739
19981016       0.039711      0.010601      0.016506      0.008516
19981019       0.001157      0.008346      0.018020      0.005651
19981020       0.017341      0.003382      0.016523      0.001450
19981021       0.037500      0.005568      0.009028      0.005630
19981022       0.013143      0.008729      0.014072      0.008001
19981023       0.002162     -0.005930      0.008595     -0.007242
19981026      -0.004315      0.004552      0.012486      0.001541
19981027      -0.002167     -0.004140      0.004877     -0.006509
19981028       0.015201      0.002617      0.003806      0.002581
19981029       0.023529      0.015519      0.012352      0.016703
19981030       0.007315      0.012700      0.014811      0.011732
19981102       0.006224      0.014378      0.018732      0.011769
19981103      -0.012371     -0.000861      0.004849     -0.000684
19981104       0.052192      0.009082      0.013189      0.007049
19981105      -0.003968      0.012195      0.008808      0.013570
19981106       0.007968      0.006652      0.010636      0.006315
19981109      -0.005929     -0.008205     -0.001040     -0.009474
19981110       0.013917     -0.001758     -0.002224     -0.001717
19981111       0.029412     -0.006366     -0.000756     -0.006461
19981112      -0.007619     -0.002677      0.000695     -0.002926
19981113       0.001919      0.005268      0.003099      0.007184
19981116       0.013410      0.007441      0.002173      0.009008
19981117      -0.091682      0.003120     -0.001663      0.003046
19981118      -0.004162      0.005079      0.003209      0.004529
19981119      -0.012539      0.007273      0.005304      0.007104
19981120      -0.021164      0.008385      0.005409      0.009492
19981123       0.065946      0.019809      0.005599      0.021194
19981124       0.022312     -0.004687     -0.003271     -0.004393
19981125      -0.005952      0.003971      0.007878      0.003280
19981127      -0.006986      0.005689      0.011344      0.004567
19981130       0.006030     -0.022484     -0.007806     -0.024038
19981201      -0.005994      0.008081     -0.000938      0.010012
19981202       0.019095     -0.002458     -0.000911     -0.003429
19981203      -0.018738     -0.015486     -0.006618     -0.018023
19981204       0.023116      0.019714      0.006361      0.023128
19981207       0.015717      0.008864      0.002415      0.009314
19981208       0.025145     -0.004011     -0.003366     -0.005321
19981209      -0.002830      0.001332      0.001407      0.001786
19981210      -0.034059     -0.015154     -0.006028     -0.015606
19981211       0.025465     -0.000603     -0.002452      0.001236
19981214      -0.029608     -0.020555     -0.014881     -0.021655
19981215       0.037402      0.016254      0.002611      0.018954
19981216      -0.016129     -0.000464      0.000243     -0.000765
19981217       0.011572      0.014685      0.005124      0.015526
19981218       0.003813      0.006663      0.004823      0.006822
19981221       0.006230      0.013480      0.000857      0.012466
19981222       0.000000      0.000036     -0.002708      0.000607
19981223       0.026490      0.019205      0.007462      0.020747
19981224       0.000922     -0.000192      0.007123     -0.001848
19981228       0.018416      0.001662     -0.000703     -0.000636
19981229      -0.012658      0.011233      0.008237      0.013317
19981230       0.024725     -0.004908      0.005512     -0.007956
19981231      -0.023235      0.005034      0.025983     -0.002192
19990104       0.009149     -0.000840      0.011401     -0.000919
19990105       0.010879      0.011849      0.009515      0.013582
19990106       0.027803      0.021149      0.014864      0.022140
19990107       0.017452     -0.000792      0.003552     -0.002051
19990108       0.002573      0.004599      0.009407      0.004221
19990111      -0.014542     -0.004998      0.006370     -0.008792
19990112      -0.021701     -0.018211     -0.006127     -0.019282
19990113       0.015084     -0.005730     -0.006718     -0.004123
19990114      -0.018357     -0.015789     -0.001107     -0.017993
19990115       0.004452      0.022991      0.014607      0.025631
19990119      -0.014184      0.007593      0.007703      0.007030
19990120       0.032374      0.002338      0.001373      0.003690
19990121      -0.021777     -0.017365     -0.005435     -0.017078
19990122      -0.008014     -0.006422     -0.001281     -0.008072
19990125       0.025135      0.006543      0.001816      0.007174
19990126       0.017513      0.013890      0.005308      0.014854
19990127      -0.003442     -0.007042     -0.005666     -0.007299
19990128       0.020725      0.015967      0.003247      0.017858
19990129       0.060914      0.009345      0.007896      0.011277
19990201       0.045455     -0.003430     -0.001698     -0.005189
19990202      -0.059497     -0.008685     -0.005123     -0.008649
19990203       0.018654      0.009041      0.007187      0.007987
19990204      -0.039809     -0.018098     -0.001811     -0.018537
19990205      -0.045605     -0.008758     -0.003484     -0.007281
19990208      -0.000869      0.002028      0.000908      0.003526
19990209      -0.017391     -0.022433     -0.012218     -0.022215
19990210       0.024779      0.002855     -0.004914      0.006093
19990211       0.039724      0.024305      0.009228      0.024919
19990212       0.015781     -0.018547     -0.007621     -0.019066
19990216      -0.077678      0.006121     -0.003453      0.009544
19990217      -0.033688     -0.013848     -0.012263     -0.014365
19990218      -0.002752      0.009453      0.000935      0.010825
19990219       0.005520      0.002424      0.003248      0.001568
19990222       0.081427      0.023731      0.006611      0.026565
19990223      -0.010152      0.000686     -0.000790     -0.000755
19990224      -0.032479     -0.012159     -0.004007     -0.013979
19990225       0.006184     -0.007075     -0.003000     -0.006694
19990226      -0.066725     -0.004893      0.000581     -0.005373
19990301      -0.008467     -0.000376     -0.000619     -0.001752
19990302       0.041746     -0.006459     -0.002443     -0.008623
19990303       0.002732     -0.000278     -0.004805      0.001795
19990304      -0.019982      0.013485      0.003214      0.015427
19990305       0.010195      0.020395      0.005858      0.023126
19990308       0.025688      0.006597      0.001915      0.005692
19990309      -0.031306     -0.002187     -0.003048     -0.002253
19990310       0.013850      0.005630      0.006622      0.005469
19990311       0.002732      0.007637      0.002780      0.008424
19990312       0.002725     -0.002951     -0.000839     -0.002381
19990315       0.037138      0.009284      0.001093      0.009787
19990316       0.015721     -0.001244     -0.001801     -0.000673
19990317       0.006879     -0.005092      0.000444     -0.006552
19990318       0.011102      0.012179      0.003852      0.014432
19990319      -0.042230     -0.012279     -0.004006     -0.013110
19990322      -0.024198     -0.002807     -0.002607     -0.001755
19990323      -0.026268     -0.026073     -0.014164     -0.026885
19990324       0.001860      0.005006      0.001840      0.005110
19990325       0.004643      0.017789      0.010954      0.016869
19990326       0.015712     -0.004609      0.002874     -0.005574
19990329       0.013649      0.019361      0.007188      0.021336
19990330      -0.008977     -0.006305     -0.003472     -0.007190
19990331      -0.017210     -0.007850     -0.001826     -0.011055
19990401       0.000922      0.005652      0.001730      0.005714
19990405       0.052486      0.018307      0.000962      0.021179
19990406      -0.020122     -0.002246     -0.004554     -0.002445
19990407      -0.003571      0.004080      0.000051      0.006829
19990408       0.022401      0.013211      0.005329      0.012880
19990409      -0.023663      0.004651      0.008923      0.003252
19990412      -0.017953      0.008931      0.005573      0.007632
19990413       0.035649     -0.002779      0.008956     -0.006492
19990414       0.002648     -0.013461      0.006136     -0.015839
19990415      -0.003521     -0.003219      0.006425     -0.004200
19990416      -0.005300     -0.001395      0.011928     -0.002918
19990419       0.014210     -0.023384     -0.005384     -0.022381
19990420       0.000000      0.012917      0.001660      0.012943
19990421       0.052539      0.024526      0.013821      0.022930
19990422       0.019967      0.013414      0.006110      0.016989
19990423       0.006525      0.001088      0.007101     -0.001450
19990426       0.030794      0.004573      0.005046      0.002351
19990427       0.007862      0.001113      0.005038      0.002029
19990428      -0.010140     -0.008098      0.004984     -0.008725
19990429      -0.011820     -0.004463      0.003541     -0.005981
19990430       0.006380     -0.004374      0.002334     -0.005697
19990503       0.013471      0.011795      0.006623      0.014567
19990504      -0.005473     -0.014275     -0.001983     -0.016706
19990505       0.009434      0.009945      0.001191      0.011494
19990506      -0.036604     -0.010707      0.002424     -0.011326
19990507       0.033953      0.008516      0.004297      0.009722
19990510       0.005473      0.000122      0.005884     -0.003494
19990511       0.002333      0.011781      0.006322      0.011423
19990512       0.033359      0.006250      0.005715      0.006189
19990513       0.045045      0.002792      0.006615      0.002610
19990514      -0.032328     -0.021028     -0.006145     -0.021761
19990517       0.054195      0.000949     -0.002329      0.001263
19990518       0.081690     -0.003231      0.001743     -0.004606
19990519      -0.022786      0.008444      0.005185      0.008183
19990520       0.001999     -0.003344      0.007335     -0.004017
19990521      -0.001330     -0.005364      0.004056     -0.006379
19990524      -0.041278     -0.018899     -0.010202     -0.017771
19990525      -0.005556     -0.017337     -0.009308     -0.017028
19990526       0.044693      0.013250     -0.000137      0.015852
19990527      -0.009358     -0.013961     -0.003712     -0.017896
19990528       0.018219      0.014860      0.009747      0.015943
19990601      -0.044400     -0.007237     -0.002465     -0.005823
19990602      -0.004161      0.001244     -0.003756      0.000425
19990603       0.018802      0.002001      0.002389      0.003653
19990604      -0.010253      0.019606      0.006824      0.021708
19990607       0.038674      0.007255      0.007200      0.005099
19990608      -0.036569     -0.011806     -0.003322     -0.012881
19990609       0.023464      0.002127      0.002575      0.000994
19990610       0.003372     -0.011105     -0.002144     -0.011997
19990611      -0.049731     -0.007224     -0.001229     -0.007046
19990614      -0.028289     -0.004352     -0.007929      0.000278
19990615       0.006550      0.004872     -0.001652      0.005533
19990616       0.049892      0.021876      0.008695      0.022480
19990617      -0.015840      0.007113      0.005545      0.007133
19990618       0.029391      0.002586      0.004991      0.002194
19990621       0.022814      0.005838      0.004622      0.004587
19990622      -0.007989     -0.008893     -0.001889     -0.009726
19990623      -0.002013     -0.001525     -0.000424     -0.002111
19990624      -0.022192     -0.012473     -0.002541     -0.012963
19990625       0.019257     -0.000222      0.002495     -0.000357
19990628       0.051282      0.011704      0.006293      0.012195
19990629       0.000000      0.014297      0.007705      0.015097
19990630       0.032092      0.016012      0.013641      0.015731
19990701       0.014925      0.005619      0.003092      0.006010
19990702      -0.002451      0.007474      0.008041      0.007430
19990706      -0.013514     -0.000247      0.003273     -0.002228
19990707      -0.010585      0.002266      0.000003      0.005576
19990708       0.065450      0.000101      0.002421     -0.001032
19990709       0.008269      0.005754      0.006608      0.006354
19990712       0.004101     -0.002024      0.002674     -0.002979
19990713       0.020420     -0.003841     -0.000468     -0.003960
19990714      -0.008005      0.004845      0.005842      0.003308
19990715       0.042075      0.008323      0.006885      0.008189
19990716       0.008850      0.004634      0.002708      0.006498
19990719       0.019737     -0.007759     -0.001190     -0.007845
19990720      -0.048387     -0.021584     -0.011471     -0.021703
19990721       0.017514      0.002574      0.002998      0.001590
19990722      -0.064964     -0.012930     -0.004800     -0.013282
19990723       0.023753     -0.003225     -0.003377     -0.002961
19990726      -0.019142     -0.009856     -0.010431     -0.006765
19990727       0.033708      0.011286      0.003603      0.011189
19990728       0.006293      0.002146      0.000974      0.001878
19990729      -0.031268     -0.017433     -0.007636     -0.017848
19990730      -0.017019     -0.006756      0.003938     -0.009180
19990802       0.000597     -0.002171     -0.004400     -0.000504
19990803       0.035800     -0.007180     -0.010621     -0.004420
19990804       0.016129     -0.014135     -0.012398     -0.012744
19990805       0.034014      0.005689     -0.003648      0.006420
19990806      -0.026316     -0.009731     -0.001694     -0.010215
19990809      -0.029842     -0.003358     -0.003702     -0.001915
19990810      -0.009286     -0.011360     -0.011311     -0.012614
19990811       0.025190      0.016365      0.008749      0.015998
19990812      -0.057714     -0.001143      0.003085     -0.002896
19990813       0.028502      0.021918      0.009563      0.022740
19990816       0.040094      0.002608      0.000878      0.002327
19990817      -0.052154      0.009587      0.004491      0.010062
19990818      -0.020335     -0.007305     -0.001116     -0.008422
19990819      -0.001221     -0.007251     -0.000499     -0.006940
19990820       0.025672      0.008782      0.005396      0.009837
19990823       0.001192      0.017056      0.004401      0.017664
19990824       0.013690      0.001843     -0.001850      0.002411
19990825      -0.012918      0.011668      0.002794      0.013414
19990826      -0.023200     -0.011686     -0.001587     -0.014315
19990827       0.019488     -0.009210     -0.001155     -0.010088
19990830      -0.017324     -0.017286     -0.007594     -0.017986
19990831       0.024924     -0.001392      0.000719     -0.002727
19990901      -0.003559      0.007409      0.004400      0.008073
19990902      -0.000595     -0.008607     -0.004116     -0.008985
19990903       0.044372      0.027622      0.012706      0.028906
19990907      -0.003137     -0.002667      0.001396     -0.005003
19990908       0.005149     -0.004856     -0.001952     -0.004665
19990909       0.037564      0.003585      0.005570      0.002611
19990910      -0.014811      0.004368      0.006770      0.002968
19990913      -0.012249     -0.006024     -0.001334     -0.005571
19990914      -0.000564     -0.005051     -0.002802     -0.005833
19990915      -0.020869     -0.012370     -0.001748     -0.013710
19990916      -0.042051     -0.001877     -0.006417      0.000387
19990917      -0.030066      0.012210      0.006219      0.012848
19990920       0.033825      0.000041     -0.002586      0.000082
19990921      -0.045045     -0.018910     -0.009973     -0.020928
19990922      -0.006918      0.002836      0.001613      0.002241
19990923      -0.043699     -0.022399     -0.010768     -0.022968
19990924       0.023841     -0.002201     -0.005126     -0.002382
19990927      -0.005175      0.004705      0.004943      0.004658
19990928      -0.009753     -0.002148     -0.006186     -0.000865
19990929      -0.062377     -0.007123     -0.001470     -0.010786
19990930       0.016807      0.009445      0.005629      0.011306
19991001      -0.037190     -0.001595     -0.000326      0.000078
19991004      -0.047210      0.016689      0.004454      0.016986
19991005       0.004505     -0.000889     -0.002763     -0.002491
19991006       0.065770      0.017704      0.004526      0.018481
19991007      -0.015428     -0.004152      0.000102     -0.005855
19991008      -0.003561      0.010626      0.003083      0.013949
19991011       0.008578      0.002445      0.002778     -0.000606
19991012      -0.048193     -0.016295     -0.006387     -0.016604
19991013      -0.008191     -0.020033     -0.009738     -0.020936
19991014      -0.015015     -0.000746     -0.001004     -0.001657
19991015       0.009146     -0.025669     -0.013608     -0.028058
19991018      -0.054381      0.000180     -0.009472      0.005387
19991019      -0.057508      0.007466      0.004584      0.005733
19991020       0.038136      0.018687      0.006742      0.022286
19991021      -0.020408     -0.001292     -0.003513     -0.004514
19991022       0.011667      0.013659      0.008319      0.014054
19991025       0.003295     -0.003882     -0.001807     -0.006161
19991026       0.006568     -0.008121     -0.000309     -0.009060
19991027      -0.125612      0.008247      0.001862      0.011545
19991028       0.063433      0.032534      0.010165      0.035266
19991029       0.041228      0.016995      0.010024      0.015263
19991101       0.005897     -0.003577      0.002804     -0.006464
19991102      -0.031826     -0.002792      0.004906     -0.004712
19991103       0.015571      0.007205      0.008961      0.005335
19991104       0.045145      0.006550      0.004596      0.005690
19991105       0.012225      0.007395      0.004940      0.005570
19991108       0.022544      0.006068      0.005553      0.004948
19991109      -0.021260     -0.007057      0.002210     -0.008518
19991110      -0.047466      0.005527      0.006067      0.005991
19991111      -0.002534      0.004392      0.004145      0.005825
19991112       0.038950      0.010581      0.006684      0.010569
19991115      -0.026895      0.001234      0.008944     -0.001196
19991116       0.020101      0.018112      0.009959      0.018417
19991117       0.024631     -0.006002      0.003997     -0.006591
19991118       0.209135      0.011278      0.009889      0.010087
19991119      -0.011266     -0.000817      0.002464     -0.002063
19991122       0.005362     -0.000070      0.001695     -0.000745
19991123       0.001333     -0.012366     -0.007764     -0.011471
19991124       0.037284      0.008758      0.005867      0.008856
19991126      -0.020539      0.002833      0.010898     -0.000325
19991129       0.006553     -0.006309     -0.000643     -0.006205
19991130      -0.011719     -0.013091     -0.000740     -0.013439
19991201       0.017128      0.005019      0.002378      0.006343
19991202       0.034326      0.011182      0.006959      0.008099
19991203       0.072010      0.015812      0.005112      0.017217
19991206      -0.035047     -0.003127     -0.000060     -0.006956
19991207       0.029661     -0.003836      0.000702     -0.009949
19991208       0.032922     -0.000904      0.004659     -0.003754
19991209       0.006261      0.001667     -0.000424      0.003013
19991210      -0.013575      0.005708      0.008023      0.006342
19991213      -0.028670      0.001047      0.005196     -0.001284
19991214      -0.023613     -0.012658     -0.007057     -0.008515
19991215      -0.021765      0.005382     -0.001478      0.007234
19991216       0.054388      0.006930      0.005045      0.003863
19991217      -0.012896      0.003047      0.002892      0.001586
19991220      -0.007981     -0.000477     -0.001274     -0.002069
19991221       0.043165      0.015057      0.005578      0.010817
19991222      -0.016667      0.003230      0.002586      0.001884
19991223       0.053185      0.013481      0.009818      0.015465
19991227      -0.036626     -0.000518     -0.002170     -0.000850
19991228       0.025922      0.001547      0.004910      0.000384
19991229       0.020775      0.006563      0.014139      0.003979
19991230       0.014301      0.000854      0.005260      0.000690
19991231      -0.013015      0.006226      0.016782      0.003264
20000103       0.032418     -0.006818      0.002878     -0.009549
20000104      -0.075572     -0.039745     -0.017466     -0.038345
20000105      -0.006333     -0.000932      0.007816      0.001922
20000106      -0.061414     -0.007394      0.004499      0.000956
20000107       0.025926      0.032560      0.017007      0.027090
20000110       0.069194      0.018546      0.015330      0.011190
20000111      -0.022510     -0.016887     -0.006076     -0.013063
20000112       0.035118     -0.006952     -0.002508     -0.004386
20000113       0.003337      0.016220      0.013045      0.012170
20000114      -0.002217      0.011118      0.009112      0.010671
20000118       0.009444     -0.000835      0.012031     -0.006832
20000119       0.021464      0.004684      0.008135      0.000522
20000120       0.001078     -0.002799      0.003466     -0.007095
20000121      -0.025834      0.002748      0.008270     -0.002912
20000124      -0.001105     -0.025348     -0.002530     -0.027634
20000125      -0.003319      0.005519      0.000873      0.006065
20000126      -0.034406     -0.004578      0.003853     -0.004213
20000127      -0.002299     -0.003545     -0.002212     -0.003938
20000128       0.002304     -0.028119     -0.015012     -0.027457
20000131      -0.004598      0.014725     -0.005351      0.025218
20000201      -0.022517      0.012294      0.008012      0.010628
20000202       0.044891      0.003110      0.008158     -0.000114
20000203       0.026569      0.015632      0.013508      0.011248
20000204       0.039648      0.001031      0.006727     -0.000421
20000207       0.088983      0.003089      0.009048     -0.000091
20000208      -0.033560      0.012726      0.009961      0.012273
20000209      -0.001510     -0.017170     -0.001750     -0.020822
20000210       0.015121      0.006517      0.007363      0.003634
20000211      -0.035750     -0.017336     -0.001085     -0.020969
20000214       0.013388      0.002668      0.007277      0.002033
20000215       0.026423      0.007321      0.001401      0.008713
20000216       0.013861     -0.005269      0.003993     -0.010256
20000217      -0.007813      0.005036      0.010403      0.000425
20000218       0.015748     -0.026071     -0.006766     -0.030376
20000222      -0.007752      0.000559     -0.000442      0.004517
20000223       0.021484      0.012340      0.005510      0.006301
20000224      -0.009560     -0.000344     -0.001451     -0.005336
